ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L121,MainActivity,com.allen.supperutils.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\allen\supperutils\MainActivity.java,35,1,103,2,0.0,0,0,0,0.0,0.0,0,0,2,2,1,6,0,0,0,0,3,0.0,0.166667,5,0,0,2,0.0967742,6,0,0,0,0,0,25,32,0,0,0,0,3,0,1,0,3,14,0,1,0,56,69,2,0,2,0,4,0,2,0,4,31,0,2,0,0,0,13,5,6,5,0,6,1,0,0,0,12,0,0,0,0,0,0,0,0
L274,AppManger,com.allen.apputils.AppManger,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\AppManger.java,29,1,119,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,17,0,0,0,0,9,0.777778,0.313253,26,26,7,2,0.313253,26,0,0,0,0,0,57,91,2,1,2,1,9,0,8,0,9,28,0,8,0,57,91,2,1,2,1,9,0,8,0,9,28,0,8,0,0,3,7,2,3,2,0,1,0,0,0,2,7,0,2,0,1,0,0,0,0
L348,Arith,com.allen.apputils.Arith,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\Arith.java,27,1,127,2,0.0,0,0,0,0.0,0.0,0,0,5,1,1,9,0,0,0,0,7,1.0,0.571429,52,51,7,0,0.571429,52,0,0,0,0,0,39,101,1,0,1,0,7,0,6,0,7,20,0,6,0,39,101,1,0,1,0,7,0,6,0,7,20,0,6,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
L408,BitmapUtil,com.allen.apputils.BitmapUtil,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\BitmapUtil.java,31,1,80,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,4,0,0,0,0,4,1.0,0.408163,20,19,4,0,0.408163,20,0,0,0,0,0,29,50,0,1,0,1,4,0,3,0,4,19,0,3,0,29,50,0,1,0,1,4,0,3,0,4,19,0,3,0,0,0,3,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0
L486,BtnClickUtils,com.allen.apputils.BtnClickUtils,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\BtnClickUtils.java,19,1,37,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,0,0,0,0,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,14,19,1,0,1,0,2,0,1,0,2,6,0,1,0,14,19,1,0,1,0,2,0,1,0,2,6,0,1,0,0,0,7,0,2,0,0,0,0,0,0,1,7,0,0,0,0,1,0,0,0
L496,CheckViewInRange,com.allen.apputils.CheckViewInRange,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\CheckViewInRange.java,22,1,37,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,6,0,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,15,16,0,0,0,0,2,0,2,0,2,7,0,2,0,15,16,0,0,0,0,2,0,2,0,2,7,0,2,0,0,0,7,0,2,0,0,1,0,0,0,0,7,1,0,0,0,0,0,0,0
L520,DataCleanManager,com.allen.apputils.DataCleanManager,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\DataCleanManager.java,28,1,109,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,15,0,0,0,0,9,1.0,0.415584,32,32,9,0,0.415584,32,0,0,0,0,0,45,82,0,0,0,0,9,0,8,0,9,18,0,8,0,45,82,0,0,0,0,9,0,8,0,9,18,0,8,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
L587,DataUtil,com.allen.apputils.DataUtil,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\DataUtil.java,26,1,150,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,14,0,0,0,0,6,0.666667,0.245283,26,24,4,2,0.245283,26,0,0,0,0,0,80,125,2,2,2,2,6,0,5,0,6,52,0,5,0,80,125,2,2,2,2,6,0,5,0,6,52,0,5,0,0,1,12,1,6,2,0,0,1,0,0,1,11,0,2,0,0,3,0,0,0
L662,DateTimeUtil,com.allen.apputils.DateTimeUtil,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\DateTimeUtil.java,27,1,232,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,21,0,0,0,0,15,0.866667,0.454054,84,78,13,2,0.454054,84,0,0,0,0,0,101,206,9,5,9,5,15,0,14,0,15,52,0,14,0,101,206,9,5,9,5,15,0,14,0,15,52,0,14,0,0,0,12,1,18,1,0,9,1,0,0,1,9,0,8,0,0,0,0,0,2
L758,DigestUtils,com.allen.apputils.DigestUtils,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\DigestUtils.java,22,1,45,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,5,1,0,0,1,5,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,18,24,0,2,0,2,4,0,2,0,4,6,0,2,0,18,24,0,2,0,2,4,0,2,0,4,6,0,2,0,0,0,11,2,1,1,0,1,0,0,0,1,11,0,0,0,0,0,0,0,0
L789,Hex,com.allen.apputils.Hex,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\Hex.java,19,1,51,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,6,0,1,1,0,4,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,26,33,2,0,2,0,4,0,3,0,4,12,0,3,0,26,33,2,0,2,0,4,0,3,0,4,12,0,3,0,0,0,11,0,4,3,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0
L809,IOUtil,com.allen.apputils.IOUtil,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\IOUtil.java,35,1,155,2,0.0,0,0,0,0.0,0.0,0,0,7,2,2,33,1,0,0,1,12,0.0,0.0,0,0,0,11,0.0,0,0,0,0,0,0,108,121,0,0,0,0,11,0,10,0,11,66,0,10,0,108,121,0,0,0,0,11,0,10,0,11,66,0,10,0,0,0,26,3,15,8,0,2,1,0,0,1,25,0,7,0,0,0,0,0,0
L912,LogInfo,com.allen.apputils.LogInfo,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\LogInfo.java,24,1,100,2,0.0,0,0,0,0.0,0.0,0,0,0,2,2,16,1,1,1,0,6,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,56,71,2,6,2,6,6,0,4,0,6,28,0,4,0,62,77,6,6,6,6,6,4,4,0,6,28,4,4,0,0,0,25,0,1,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,7
L967,MLog,com.allen.apputils.MLog,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\MLog.java,32,1,262,2,0.0,0,0,0,0.0,0.0,0,0,1,4,3,51,1,1,2,1,28,0.0,0.0153061,3,3,0,26,0.0153061,3,0,0,0,0,0,193,231,12,0,12,0,27,1,25,0,27,99,1,25,0,193,231,12,0,12,0,27,1,25,0,27,99,1,25,0,0,1,68,1,28,0,0,21,0,1,0,0,57,0,8,0,0,1,0,0,10
L1098,NetUtils,com.allen.apputils.NetUtils,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\NetUtils.java,26,1,78,2,0.0,0,0,0,0.0,0.0,0,0,3,3,3,9,0,0,0,0,4,0.75,0.272727,12,11,3,1,0.272727,12,0,0,0,0,0,32,53,0,0,0,0,4,0,3,0,4,17,0,3,0,32,53,0,0,0,0,4,0,3,0,4,17,0,3,0,0,0,2,0,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0
L1145,NumberUtil,com.allen.apputils.NumberUtil,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\NumberUtil.java,27,1,167,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,17,0,0,0,0,11,1.0,0.562963,76,67,11,0,0.562963,76,0,0,0,0,0,59,141,1,9,1,9,11,0,10,0,11,29,0,10,0,59,141,1,9,1,9,11,0,10,0,11,29,0,10,0,0,3,4,2,6,0,0,1,0,0,0,3,2,0,3,0,2,2,0,0,2
L1225,PaintUtil,com.allen.apputils.PaintUtil,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\PaintUtil.java,30,1,69,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,5,0,0,0,0,5,0.6,0.534884,23,23,3,2,0.534884,23,0,0,0,0,0,20,40,0,2,0,2,5,0,4,0,5,8,0,4,0,20,40,0,2,0,2,5,0,4,0,5,8,0,4,0,0,0,8,0,1,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0
L1261,RegexUtils,com.allen.apputils.RegexUtils,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\RegexUtils.java,30,1,227,2,0.0,0,0,0,0.0,0.0,0,0,15,0,0,16,0,0,0,0,16,1.0,0.626437,109,104,17,0,0.595628,109,0,0,0,0,0,65,189,0,0,0,0,16,0,16,1,16,30,0,16,1,74,198,0,0,0,0,17,0,17,1,17,36,0,17,1,0,0,9,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,2
L1347,ScreenListener,com.allen.apputils.ScreenListener,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\ScreenListener.java,28,1,109,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,8,2,1,0,2,7,0.75,0.301887,16,16,3,1,0.291139,23,0,0,0,0,0,37,60,3,1,3,1,5,0,3,0,5,17,0,3,0,56,82,4,1,4,1,9,0,7,0,9,24,0,7,0,0,0,17,0,3,0,0,0,0,0,0,2,17,0,0,0,0,1,0,0,0
L1419,ScreenUtil,com.allen.apputils.ScreenUtil,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\ScreenUtil.java,27,1,93,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,0,0,0,0,6,0.333333,0.0967742,6,6,2,4,0.0967742,6,0,0,0,0,0,56,67,0,3,0,3,6,0,5,0,6,40,0,5,0,56,67,0,3,0,3,6,0,5,0,6,40,0,5,0,0,0,15,2,1,1,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0
L1481,SecretUtils,com.allen.apputils.SecretUtils,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\SecretUtils.java,38,1,112,2,0.709677,1,8,2,0.4,0.681818,30,30,1,1,1,10,0,0,0,0,3,1.0,0.45,36,24,4,0,0.45,36,0,0,0,0,0,44,75,2,0,2,0,3,0,3,0,3,24,0,3,0,44,75,2,0,2,0,3,0,3,0,3,24,0,3,0,0,0,17,8,6,6,17,6,0,0,0,0,0,0,2,0,0,0,0,0,0
L1528,StatusBarUtils,com.allen.apputils.StatusBarUtils,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\StatusBarUtils.java,38,1,260,2,0.0,0,0,0,0.0,0.0,0,0,6,2,2,29,1,2,2,3,18,0.272727,0.26087,42,34,3,8,0.208955,42,0,0,0,0,0,119,176,4,1,4,1,15,0,10,0,15,61,0,10,0,159,223,8,1,8,1,23,0,15,6,23,76,0,15,6,0,0,48,2,9,0,0,7,1,0,0,2,46,0,0,0,0,2,0,0,1
L1678,ToastUtils,com.allen.apputils.ToastUtils,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\ToastUtils.java,24,1,295,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,26,1,8,8,1,24,0.947368,0.574074,124,124,18,1,0.5,124,0,0,0,0,0,92,240,3,0,3,0,23,0,18,0,23,31,0,18,0,124,272,3,0,3,0,31,0,26,0,31,39,0,26,0,0,2,47,0,5,0,0,4,1,0,0,1,43,0,0,0,2,0,0,0,3
L1833,ToolResource,com.allen.apputils.ToolResource,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\ToolResource.java,30,1,120,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,11,0,0,0,0,9,0.111111,0.0789474,6,6,1,8,0.0789474,6,0,0,0,0,0,70,91,9,8,9,8,9,0,8,0,9,19,0,8,0,70,91,9,8,9,8,9,0,8,0,9,19,0,8,0,0,1,24,1,15,0,0,8,0,0,0,1,21,0,1,0,0,7,0,0,3
L1878,TouchEventUtil,com.allen.apputils.TouchEventUtil,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\TouchEventUtil.java,21,1,45,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,6,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,23,25,0,1,0,1,1,0,1,0,1,13,0,1,0,23,25,0,1,0,1,1,0,1,0,1,13,0,1,0,0,0,5,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L1892,Utils,com.allen.apputils.Utils,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\apputils\src\main\java\com\allen\apputils\Utils.java,29,1,55,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,0,1,3,0,3,1.0,0.580645,18,18,3,0,0.580645,18,0,0,0,0,0,13,27,1,1,1,1,3,0,2,0,3,5,0,2,0,13,27,1,1,1,1,3,0,2,0,3,5,0,2,0,0,1,2,0,2,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0
