ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L138,BaseRecipientAdapter,com.android.ex.chips.BaseRecipientAdapter,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ChipsLibrary\src\com\android\ex\chips\BaseRecipientAdapter.java,62,1,1043,4,0.0,0,0,0,0.0,0.0,0,0,2,4,4,87,12,15,15,21,60,0.26087,0.199248,106,85,6,17,0.178112,166,1,1,3,3,1,426,596,30,18,30,18,39,2,22,1,39,210,2,22,1,766,982,63,19,63,19,56,33,33,2,56,364,33,33,2,0,2,176,12,94,13,0,85,4,11,2,3,118,0,4,0,2,1,0,0,41
L946,ChipsUtil,com.android.ex.chips.ChipsUtil,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ChipsLibrary\src\com\android\ex\chips\ChipsUtil.java,19,1,28,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.3,3,3,1,1,0.3,3,0,0,0,0,0,7,10,0,0,0,0,1,0,1,0,1,1,0,1,0,7,10,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L179,Queries,com.android.ex.chips.Queries,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ChipsLibrary\src\com\android\ex\chips\Queries.java,26,14,99,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,2,0,1,1,1.0,0.465116,20,4,1,0,0.291667,28,0,0,0,0,0,23,24,2,0,2,0,0,2,0,0,0,0,2,0,0,68,74,13,12,13,6,7,10,7,0,15,8,10,15,0,0,0,38,1,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,15
L1013,RecipientAlternatesAdapter,com.android.ex.chips.RecipientAlternatesAdapter,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ChipsLibrary\src\com\android\ex\chips\RecipientAlternatesAdapter.java,50,1,430,4,0.0585683,1,6,2,0.0629921,0.0756014,24,22,1,6,6,74,8,7,5,14,30,0.272727,0.18663,67,31,3,8,0.19086,71,0,0,1,1,0,292,368,9,7,9,7,16,2,10,0,16,179,2,10,0,301,381,9,7,9,7,19,2,13,0,19,179,2,13,0,0,0,63,5,55,9,14,50,0,6,0,0,33,0,0,0,0,1,0,0,10
L1413,RecipientEditTextView,com.android.ex.chips.RecipientEditTextView,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ChipsLibrary\src\com\android\ex\chips\RecipientEditTextView.java,105,1,2858,4,0.0201117,2,14,4,0.0159768,0.0201189,44,44,15,6,5,515,16,23,28,31,160,0.304348,0.171077,375,174,14,32,0.166792,442,1,1,1,1,1,1817,2302,57,14,57,14,129,0,45,12,129,1099,0,45,12,2208,2754,59,14,59,14,156,2,65,12,156,1310,2,65,12,0,8,404,25,299,24,21,270,6,32,4,18,315,1,7,0,0,12,0,0,26
L307,RecipientEntry,com.android.ex.chips.RecipientEntry,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ChipsLibrary\src\com\android\ex\chips\RecipientEntry.java,26,1,239,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,34,0,20,36,0,27,0.269231,0.25,49,43,7,19,0.25,49,0,0,0,0,0,147,214,18,9,18,9,27,2,25,1,27,42,2,25,1,147,214,18,9,18,9,27,2,25,1,27,42,2,25,1,0,0,61,2,6,2,0,3,0,0,0,1,45,0,0,0,2,0,0,0,16
L2403,SingleRecipientArrayAdapter,com.android.ex.chips.SingleRecipientArrayAdapter,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ChipsLibrary\src\com\android\ex\chips\SingleRecipientArrayAdapter.java,26,1,62,4,0.0,0,0,0,0.0,0.0,0,0,1,1,1,5,1,1,1,2,6,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,33,37,2,1,2,1,4,0,2,0,4,15,0,2,0,33,37,2,1,2,1,4,0,2,0,4,15,0,2,0,0,0,11,0,3,1,0,1,0,0,0,1,11,0,0,0,0,0,0,0,0
L183,BaseRecipientAdapter$DirectorySearchParams,com.android.ex.chips.BaseRecipientAdapter$DirectorySearchParams,L138,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ChipsLibrary\src\com\android\ex\chips\BaseRecipientAdapter.java,96,3,105,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,5,0,0,0,1.0,0.230769,3,3,1,0,0.230769,3,0,0,0,0,0,10,10,7,0,7,0,0,7,0,0,0,0,7,0,0,10,10,7,0,7,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5
L207,BaseRecipientAdapter$PhotoQuery,com.android.ex.chips.BaseRecipientAdapter$PhotoQuery,L138,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ChipsLibrary\src\com\android\ex\chips\BaseRecipientAdapter.java,107,3,111,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,5,5,2,0,2,0,0,2,0,0,0,0,2,0,0,5,5,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
L215,BaseRecipientAdapter$DirectoryListQuery,com.android.ex.chips.BaseRecipientAdapter$DirectoryListQuery,L138,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ChipsLibrary\src\com\android\ex\chips\BaseRecipientAdapter.java,113,3,129,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.26087,6,0,0,1,0.26087,6,0,0,0,0,0,17,17,8,0,8,0,0,8,0,0,0,0,8,0,0,17,17,8,0,8,0,0,8,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
