ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L135,ApplicationTest,github.hellocsl.ucmainpager.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\github\hellocsl\ucmainpager\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L804,DemoApplication,github.hellocsl.ucmainpager.DemoApplication,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\github\hellocsl\ucmainpager\DemoApplication.java,9,1,21,2,0,0,0,0,0,0,0,0,1,0,0,2,0,4,8,0,2,0.333333,0.214286,3,3,1,2,0.214286,3,0,0,0,0,0,11,13,1,1,1,1,2,0,2,0,2,3,0,2,0,11,13,1,1,1,1,2,0,2,0,2,3,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
L814,MainActivity,github.hellocsl.ucmainpager.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\github\hellocsl\ucmainpager\MainActivity.java,21,1,109,2,0,0,0,0,0,0,0,0,5,1,1,14,4,1,1,5,15,0.0,0.0,0,0,0,8,0.0,0,1,1,0,0,1,68,83,5,0,5,0,10,0,7,0,10,31,0,7,0,72,89,5,0,5,0,11,0,8,0,11,32,0,8,0,0,0,29,2,4,0,0,2,1,0,0,2,28,2,0,0,0,0,0,0,0
L824,TestFragment,github.hellocsl.ucmainpager.TestFragment,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\github\hellocsl\ucmainpager\TestFragment.java,24,1,91,2,0,0,0,0,0,0,0,0,1,1,1,9,2,2,1,2,9,0.166667,0.0566038,3,3,1,5,0.0483871,3,1,1,0,0,1,50,59,4,0,4,0,7,0,5,1,7,27,0,5,1,59,68,4,0,4,0,9,0,7,1,9,29,0,7,1,0,0,27,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
L973,ExampleUnitTest,github.hellocsl.ucmainpager.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\github\hellocsl\ucmainpager\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L153,RecyclerViewAdapter,github.hellocsl.ucmainpager.adapter.RecyclerViewAdapter,L149,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\github\hellocsl\ucmainpager\adapter\RecyclerViewAdapter.java,17,1,71,2,0,0,0,0,0,0,0,0,3,1,1,7,2,1,1,2,8,0.142857,0.0833333,3,3,1,6,0.0652174,3,0,0,0,0,0,33,42,2,1,2,1,6,0,6,1,6,12,0,6,1,43,55,3,1,3,1,8,1,8,1,8,14,1,8,1,0,0,32,0,1,0,0,0,1,0,0,1,25,0,0,0,0,0,0,0,6
L238,TestFragmentAdapter,github.hellocsl.ucmainpager.adapter.TestFragmentAdapter,L149,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\github\hellocsl\ucmainpager\adapter\TestFragmentAdapter.java,12,1,30,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,3,0.25,0.166667,3,3,1,3,0.166667,3,0,0,0,0,0,15,19,1,2,1,2,3,0,3,0,3,4,0,3,0,15,19,1,2,1,2,3,0,3,0,3,4,0,3,0,0,0,9,0,1,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0
L184,RecyclerViewAdapter$ViewHolder,github.hellocsl.ucmainpager.adapter.RecyclerViewAdapter$ViewHolder,L153,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\github\hellocsl\ucmainpager\adapter\RecyclerViewAdapter.java,57,5,64,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,8,1,0,1,0,1,1,1,0,1,2,1,1,0,7,8,1,0,1,0,1,1,1,0,1,2,1,1,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4
L270,HeaderScrollingViewBehavior,github.hellocsl.ucmainpager.behavior.helper.HeaderScrollingViewBehavior,L263,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\github\hellocsl\ucmainpager\behavior\helper\HeaderScrollingViewBehavior.java,21,1,149,2,0,0,0,0,0,0,0,0,1,4,4,24,2,2,6,4,16,0.5,0.220183,24,16,3,3,0.220183,24,1,1,2,2,1,85,129,7,7,4,5,12,0,5,1,20,40,0,12,3,85,129,7,7,4,5,12,0,5,1,20,40,0,12,3,0,0,24,1,5,0,0,4,0,2,0,0,21,1,0,0,0,1,0,0,1
L395,MathUtils,github.hellocsl.ucmainpager.behavior.helper.MathUtils,L263,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\github\hellocsl\ucmainpager\behavior\helper\MathUtils.java,7,1,17,2,0,0,0,0,0,0,0,0,2,0,0,6,0,1,1,0,2,1.0,0.333333,4,4,1,0,0.333333,4,0,0,0,0,0,8,11,0,0,0,0,2,0,0,0,2,2,0,0,0,8,11,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,5,0,2,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0
L273,ViewOffsetBehavior<V extends View>,github.hellocsl.ucmainpager.behavior.helper.ViewOffsetBehavior,L263,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\github\hellocsl\ucmainpager\behavior\helper\ViewOffsetBehavior.java,13,1,79,2,0,0,0,0,0,0,0,0,1,1,1,15,1,2,6,6,14,0.125,0.118644,7,5,1,7,0.118644,7,0,0,2,4,0,52,67,3,2,3,2,8,0,7,2,8,23,0,7,2,52,67,3,2,3,2,8,0,7,2,8,23,0,7,2,0,0,17,0,3,0,0,0,0,0,0,0,17,1,0,0,0,2,0,0,0
L412,ViewOffsetHelper,github.hellocsl.ucmainpager.behavior.helper.ViewOffsetHelper,L263,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\github\hellocsl\ucmainpager\behavior\helper\ViewOffsetHelper.java,19,1,98,2,0,0,0,0,0,0,0,0,1,2,2,12,0,1,5,0,8,0.428571,0.320513,25,22,3,4,0.320513,25,0,0,0,0,0,53,80,5,2,5,2,8,0,6,2,8,26,0,6,2,53,80,5,2,5,2,8,0,6,2,8,26,0,6,2,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
L488,UcNewsContentBehavior,github.hellocsl.ucmainpager.behavior.uc.UcNewsContentBehavior,L482,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\github\hellocsl\ucmainpager\behavior\uc\UcNewsContentBehavior.java,23,1,102,2,0,0,0,0,0,0,0,0,2,2,2,20,2,0,0,4,15,0.166667,0.0714286,5,5,1,5,0.0714286,5,2,2,0,0,1,65,80,10,10,3,3,11,0,5,0,30,31,0,17,3,65,80,10,10,3,3,11,0,5,0,30,31,0,17,3,0,0,26,0,5,2,0,2,1,0,0,0,25,1,0,0,0,0,0,0,0
