ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L121,OverviewActivity,com.wirelesspienetwork.overviewexample.OverviewActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\wirelesspienetwork\overviewexample\OverviewActivity.java,42,1,154,2,0.0,0,0,0,0.0,0.0,0,0,8,1,1,12,5,0,0,3,12,0.4,0.202381,17,5,2,3,0.180851,17,1,1,0,0,1,67,102,2,0,2,0,9,0,4,0,9,29,0,4,0,77,113,4,2,2,0,11,0,6,0,21,32,0,16,1,0,0,29,2,10,2,0,4,2,0,0,3,27,3,0,0,0,0,0,0,0
L306,ApplicationTest,com.wirelesspienetwork.overview.ApplicationTest,L297,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\androidTest\java\com\wirelesspienetwork\overview\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L330,OverviewConfiguration,com.wirelesspienetwork.overview.misc.OverviewConfiguration,L320,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\misc\OverviewConfiguration.java,13,1,100,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,0,8,2,0,3,0.666667,0.197368,15,10,2,1,0.197368,15,0,0,0,0,0,61,88,17,1,17,1,3,17,2,0,3,25,17,2,0,61,88,17,1,17,1,3,17,2,0,3,25,17,2,0,0,1,14,0,1,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,7
L430,ReferenceCountedTrigger,com.wirelesspienetwork.overview.misc.ReferenceCountedTrigger,L320,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\misc\ReferenceCountedTrigger.java,13,1,104,2,0.0,0,0,0,0.0,0.0,0,0,4,3,2,20,0,6,4,0,8,0.888889,0.186667,14,12,8,1,0.16092,14,0,0,0,0,0,61,80,7,1,7,1,8,0,8,0,8,34,0,8,0,73,92,7,1,7,1,11,0,11,0,11,37,0,11,0,0,0,28,2,13,2,0,13,1,0,0,0,26,0,0,0,0,0,0,0,1
L510,Utilities,com.wirelesspienetwork.overview.misc.Utilities,L320,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\misc\Utilities.java,28,1,139,2,0.0,0,0,0,0.0,0.0,0,0,3,2,2,15,0,2,2,0,4,1.0,0.0824742,8,6,5,0,0.0824742,8,0,0,0,0,0,89,112,1,0,1,0,4,0,4,1,4,60,0,4,1,89,112,1,0,1,0,4,0,4,1,4,60,0,4,1,0,0,11,2,4,2,0,4,1,0,0,0,10,0,0,0,0,0,0,0,0
L236,"OverviewAdapter<VH extends ViewHolder, Model extends Object>",com.wirelesspienetwork.overview.model.OverviewAdapter,L608,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\model\OverviewAdapter.java,28,1,141,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,24,4,5,8,5,17,0.384615,0.186047,16,15,5,8,0.186813,17,0,0,1,1,0,70,110,2,2,2,2,12,0,12,1,12,34,0,12,1,74,114,2,2,2,2,14,0,14,1,14,34,0,14,1,0,0,29,0,8,1,0,6,1,0,0,0,28,1,0,0,0,0,0,0,0
L241,"ViewHolder<V extends View, Model extends Object>",com.wirelesspienetwork.overview.model.ViewHolder,L608,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\model\ViewHolder.java,7,1,49,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,9,1,6,9,1,7,0.0,0.0,0,0,0,6,0.0,0,0,0,0,0,0,35,43,5,3,5,3,6,2,5,2,6,11,2,5,2,35,43,5,3,5,3,6,2,5,2,6,11,2,5,2,0,0,19,0,1,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,4
L729,"ObjectPool<V extends Object, T extends Object>",com.wirelesspienetwork.overview.views.ObjectPool,L717,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\ObjectPool.java,8,1,59,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,7,1,1,3,4,7,0.5,0.121951,5,3,1,1,0.106383,5,0,0,0,0,0,36,46,3,0,3,0,3,0,1,0,3,20,0,1,0,42,52,3,0,3,0,7,0,5,0,7,20,0,5,0,0,0,20,1,13,1,0,13,0,0,0,0,20,0,0,0,0,0,0,0,0
L138,Overview,com.wirelesspienetwork.overview.views.Overview,L717,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\Overview.java,30,1,124,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,14,6,1,2,7,17,0.222222,0.0833333,6,5,2,7,0.0789474,6,1,1,0,0,1,66,91,4,0,4,0,10,0,8,2,10,31,0,8,2,70,95,4,0,4,0,12,0,10,2,12,31,0,10,2,0,0,29,0,10,0,0,10,1,0,0,0,28,0,0,0,0,0,0,0,0
L680,OverviewCard,com.wirelesspienetwork.overview.views.OverviewCard,L717,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\OverviewCard.java,20,1,215,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,21,5,4,10,3,20,0.4,0.106383,15,11,4,6,0.0931677,15,0,0,0,0,0,126,169,6,2,6,2,17,0,9,4,17,59,0,9,4,146,196,6,2,6,2,23,0,15,4,23,61,0,15,4,0,0,51,0,18,0,0,12,2,0,0,0,48,5,1,0,0,0,0,0,1
L1013,OverviewCardTransform,com.wirelesspienetwork.overview.views.OverviewCardTransform,L717,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\OverviewCardTransform.java,11,1,121,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,19,0,4,6,0,10,0.454545,0.0961538,10,5,5,6,0.0961538,10,0,0,0,0,0,94,111,8,0,8,0,10,7,10,0,10,47,7,10,0,94,111,8,0,8,0,10,7,10,0,10,47,7,10,0,0,0,26,0,6,0,0,1,1,0,0,0,19,0,0,0,0,5,0,0,6
L816,OverviewStackView,com.wirelesspienetwork.overview.views.OverviewStackView,L717,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\OverviewStackView.java,22,1,568,2,0.0,0,0,0,0.0,0.0,0,0,3,5,5,79,16,3,4,38,67,0.263158,0.159292,72,22,5,14,0.15565,73,1,3,0,0,3,380,531,22,1,22,1,29,0,18,3,29,221,0,18,3,396,547,22,1,22,1,34,0,23,3,34,224,0,23,3,0,0,81,5,56,6,0,54,1,4,2,1,67,0,0,1,0,0,0,0,6
L1182,OverviewStackViewLayoutAlgorithm,com.wirelesspienetwork.overview.views.OverviewStackViewLayoutAlgorithm,L717,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\OverviewStackViewLayoutAlgorithm.java,11,1,326,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,40,3,3,9,2,14,0.666667,0.265683,72,40,4,2,0.265683,72,0,0,0,0,0,199,316,17,3,17,3,12,0,5,0,12,148,0,5,0,199,316,17,3,17,3,12,0,5,0,12,148,0,5,0,0,0,14,3,33,2,0,32,0,0,0,1,11,0,0,0,0,1,0,0,3
L1186,OverviewStackViewScroller,com.wirelesspienetwork.overview.views.OverviewStackViewScroller,L717,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\OverviewStackViewScroller.java,13,1,183,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,29,3,4,11,1,20,0.857143,0.148148,20,18,6,1,0.134228,20,0,0,0,0,0,115,157,6,3,6,3,19,0,6,4,19,58,0,6,4,129,171,6,3,6,3,22,0,9,4,22,62,0,9,4,0,1,41,0,26,0,0,26,0,0,0,0,40,0,1,0,0,0,0,0,1
L1190,OverviewStackViewTouchHandler,com.wirelesspienetwork.overview.views.OverviewStackViewTouchHandler,L717,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\OverviewStackViewTouchHandler.java,11,1,371,2,0.159877,2,6,4,0.124654,0.125436,45,36,5,4,4,57,7,1,3,16,31,0.272727,0.12766,42,8,3,8,0.12766,42,1,1,0,0,1,287,361,22,1,22,1,15,0,10,0,15,176,0,10,0,287,361,22,1,22,1,15,0,10,0,15,176,0,10,0,0,0,55,2,32,4,15,27,1,4,2,2,27,0,0,0,0,1,0,0,6
L1739,SwipeHelper,com.wirelesspienetwork.overview.views.SwipeHelper,L717,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\SwipeHelper.java,37,1,341,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,60,2,5,5,5,22,0.2,0.106557,26,11,1,4,0.0928571,26,0,0,0,0,0,218,263,22,6,22,6,17,5,4,3,17,114,5,4,3,254,305,22,7,22,7,28,5,15,3,28,125,5,15,3,0,0,82,2,12,3,0,5,0,0,0,5,74,0,0,0,0,1,0,0,8
L1052,ViewAnimation,com.wirelesspienetwork.overview.views.ViewAnimation,L717,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\ViewAnimation.java,7,1,48,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,1,0.382353,13,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,21,42,9,0,9,0,2,0,2,0,2,2,0,2,0,0,0,10,0,9,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,2
L253,OverviewActivity$1,com.wirelesspienetwork.overviewexample.OverviewActivity$1,L205,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\wirelesspienetwork\overviewexample\OverviewActivity.java,107,9,118,10,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,2,0,0,1,3,0.0,0.0,0,0,0,3,0.0,0,1,1,0,0,1,12,12,2,2,0,0,2,0,2,0,12,3,0,12,1,12,12,2,2,0,0,2,0,2,0,12,3,0,12,1,0,0,8,0,1,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0
L445,ReferenceCountedTrigger$1,com.wirelesspienetwork.overview.misc.ReferenceCountedTrigger$1,L430,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\misc\ReferenceCountedTrigger.java,22,50,27,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L451,ReferenceCountedTrigger$2,com.wirelesspienetwork.overview.misc.ReferenceCountedTrigger$2,L430,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\misc\ReferenceCountedTrigger.java,28,50,33,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L930,OverviewCard$1,com.wirelesspienetwork.overview.views.OverviewCard$1,L680,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\OverviewCard.java,31,56,36,14,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L1229,OverviewStackView$1,com.wirelesspienetwork.overview.views.OverviewStackView$1,L816,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\OverviewStackView.java,58,56,63,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L1049,ViewAnimation$OverviewCardEnterContext,com.wirelesspienetwork.overview.views.ViewAnimation$OverviewCardEnterContext,L1052,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\ViewAnimation.java,9,5,32,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,2,3,0,0,1,0.0,0.428571,9,9,0,2,0.428571,9,0,0,0,0,0,12,24,7,0,7,0,1,0,1,0,1,1,0,1,0,12,24,7,0,7,0,1,0,1,0,1,1,0,1,0,0,0,4,0,7,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,1
L2073,ViewAnimation$OverviewCardExitContext,com.wirelesspienetwork.overview.views.ViewAnimation$OverviewCardExitContext,L1052,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\ViewAnimation.java,35,5,46,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,1,0.5,0.363636,4,4,1,1,0.363636,4,0,0,0,0,0,7,12,2,0,2,0,1,0,1,0,1,1,0,1,0,7,12,2,0,2,0,1,0,1,0,1,1,0,1,0,0,0,3,0,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
L503,ReferenceCountedTrigger$3,com.wirelesspienetwork.overview.misc.ReferenceCountedTrigger$3,L490,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\misc\ReferenceCountedTrigger.java,92,46,97,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L1079,OverviewCard$2,com.wirelesspienetwork.overview.views.OverviewCard$2,L1046,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\OverviewCard.java,171,62,191,18,0.0,0,0,0,0.0,0.0,0,0,4,0,0,4,2,0,0,1,5,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,15,21,0,0,0,0,4,0,4,0,4,1,0,4,0,15,21,0,0,0,0,4,0,4,0,4,1,0,4,0,0,0,12,0,3,0,0,0,1,0,0,0,11,3,0,0,0,0,0,0,0
L1104,OverviewCard$3,com.wirelesspienetwork.overview.views.OverviewCard$3,L1094,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\OverviewCard.java,208,68,213,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,5,6,0,0,0,0,1,0,1,0,1,0,0,1,0,5,6,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
L1435,OverviewStackView$2,com.wirelesspienetwork.overview.views.OverviewStackView$2,L1420,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\OverviewStackView.java,416,78,421,14,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L1508,OverviewStackView$3,com.wirelesspienetwork.overview.views.OverviewStackView$3,L1490,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\OverviewStackView.java,560,69,565,14,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L1680,OverviewStackViewScroller$1,com.wirelesspienetwork.overview.views.OverviewStackViewScroller$1,L1665,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\wirelesspienetwork\overview\views\OverviewStackViewScroller.java,123,86,128,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
