ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L120,APIWebViewActivity,com.shuyu.APIWebViewActivity,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shuyu\APIWebViewActivity.java,41,1,386,2,0.201613,2,8,4,0.138728,0.186529,48,36,3,2,2,18,1,3,3,0,11,0.5,0.455056,81,43,1,1,0.371336,114,0,0,0,0,0,97,200,3,0,3,0,11,0,1,3,11,54,0,1,3,193,346,3,0,3,0,30,0,20,3,30,82,0,20,3,0,0,97,3,14,3,50,11,3,0,0,0,44,0,0,0,0,3,0,0,0
L461,MainActivity,com.shuyu.MainActivity,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shuyu\MainActivity.java,20,1,118,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,4,3,2,0,4,7,0.0,0.119048,5,0,0,1,0.0649351,5,0,0,0,0,0,37,60,2,0,2,0,3,0,0,0,3,21,0,0,0,72,99,3,0,3,0,8,0,5,0,8,36,0,5,0,0,1,30,0,4,1,0,2,2,0,0,1,28,0,0,0,0,1,0,0,0
L246,APIWebViewActivity$JsCallAndroidInterface,com.shuyu.APIWebViewActivity$JsCallAndroidInterface,L120,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shuyu\APIWebViewActivity.java,329,5,337,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,1.0,0.5,6,6,2,0,0.5,6,0,0,0,0,0,6,9,0,0,0,0,1,0,1,0,1,1,0,1,0,6,9,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L488,MainActivity$CustomWebViewClient,com.shuyu.MainActivity$CustomWebViewClient,L461,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shuyu\MainActivity.java,92,5,117,6,0.0,0,0,0,0.0,0.0,0,0,2,1,1,4,2,1,0,1,4,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,22,26,1,0,1,0,3,0,3,0,3,9,0,3,0,22,26,1,0,1,0,3,0,3,0,3,9,0,3,0,0,0,10,0,1,0,0,0,1,0,0,0,9,0,0,0,0,1,0,0,0
L226,APIWebViewActivity$1,com.shuyu.APIWebViewActivity$1,L154,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shuyu\APIWebViewActivity.java,139,61,144,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.166667,1,0,0,2,0.166667,1,0,0,0,0,0,5,6,0,0,0,0,1,0,1,0,1,0,0,1,0,5,6,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L259,APIWebViewActivity$2,com.shuyu.APIWebViewActivity$2,L156,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shuyu\APIWebViewActivity.java,154,55,238,10,0.142012,1,1,1,0.117647,0.137931,10,8,10,1,1,14,1,0,0,1,11,0.909091,0.216216,16,14,10,1,0.216216,16,0,0,0,0,0,58,85,0,0,0,0,10,0,10,0,10,18,0,10,0,58,85,0,0,0,0,10,0,10,0,10,18,0,10,0,0,0,32,2,2,2,12,0,1,0,0,0,19,0,0,0,0,2,0,0,0
L356,APIWebViewActivity$3,com.shuyu.APIWebViewActivity$3,L158,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shuyu\APIWebViewActivity.java,245,59,292,10,0.23301,1,1,1,0.208333,0.266667,10,8,6,1,1,7,1,0,0,1,7,0.857143,0.230769,9,6,6,1,0.230769,9,0,0,0,0,0,30,48,0,0,0,0,6,0,6,0,6,9,0,6,0,30,48,0,0,0,0,6,0,6,0,6,9,0,6,0,0,0,29,0,0,0,15,0,1,0,0,0,13,0,0,0,0,0,0,0,0
L427,APIWebViewActivity$4,com.shuyu.APIWebViewActivity$4,L415,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shuyu\APIWebViewActivity.java,314,92,319,14,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.166667,1,0,0,2,0.166667,1,0,0,0,0,0,5,6,0,0,0,0,1,0,1,0,1,0,0,1,0,5,6,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L506,MainActivity$1,com.shuyu.MainActivity$1,L468,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shuyu\MainActivity.java,56,81,66,10,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,2,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,11,11,0,0,0,0,1,0,1,0,1,5,0,1,0,11,11,0,0,0,0,1,0,1,0,1,5,0,1,0,0,1,5,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L524,MainActivity$2,com.shuyu.MainActivity$2,L468,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shuyu\MainActivity.java,69,57,74,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
