ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L146,ApplicationTest,jack.hive.ApplicationTest,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\jack\hive\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L222,HiveAdapter,jack.hive.HiveAdapter,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\jack\hive\HiveAdapter.java,14,1,51,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,7,1,4,5,2,9,0.125,0.09375,3,3,1,7,0.09375,3,0,0,0,0,0,29,38,1,1,1,1,7,0,7,0,7,9,0,7,0,29,38,1,1,1,1,7,0,7,0,7,9,0,7,0,0,0,18,0,1,0,0,1,1,0,0,0,17,0,0,0,0,0,0,0,0
L242,ImageViewHolder,jack.hive.ImageViewHolder,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\jack\hive\ImageViewHolder.java,15,1,33,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,3,1,2,2,4,0.333333,0.157895,3,3,1,2,0.157895,3,0,0,0,0,0,16,19,2,0,2,0,2,0,2,0,2,8,0,2,0,16,19,2,0,2,0,2,0,2,0,2,8,0,2,0,0,0,7,0,2,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0
L324,MainActivity,jack.hive.MainActivity,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\jack\hive\MainActivity.java,11,1,116,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,3,3,3,5,10,0.0,0.117647,8,0,0,1,0.0851064,8,0,0,0,0,0,60,80,6,1,6,1,5,1,0,0,5,23,1,0,0,86,106,6,1,6,1,8,1,3,0,8,39,1,3,0,0,0,31,0,4,0,0,4,0,0,0,0,26,0,0,0,0,0,0,0,5
L407,ExampleUnitTest,jack.hive.ExampleUnitTest,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\jack\hive\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L414,HiveBucket,jack.hive.HiveBucket,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\hivelayoutmanager-library\src\main\java\jack\hive\HiveBucket.java,6,1,122,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,26,0,1,4,0,9,0.5,0.0377358,4,3,1,1,0.0377358,4,0,0,0,0,0,102,117,4,0,4,0,9,0,1,0,9,54,0,1,0,102,117,4,0,4,0,9,0,1,0,9,54,0,1,0,0,0,21,0,12,0,0,11,0,0,0,0,21,0,0,0,0,1,0,0,0
L467,HiveConstants,jack.hive.HiveConstants,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\hivelayoutmanager-library\src\main\java\jack\hive\HiveConstants.java,8,1,33,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,1.0,0.176471,3,3,1,0,0.130435,3,0,0,0,0,0,14,20,12,0,12,0,0,0,0,0,0,0,0,0,0,20,26,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,0,12,0,0,0,0,8,0,0,0,0,0,0,0,2
L307,HiveDrawable,jack.hive.HiveDrawable,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\hivelayoutmanager-library\src\main\java\jack\hive\HiveDrawable.java,18,1,167,2,0.0,0,0,0,0.0,0.0,0,0,1,2,1,27,5,1,1,2,20,0.0769231,0.0227273,3,3,1,12,0.0227273,3,0,0,0,0,0,129,150,7,5,7,5,18,0,12,5,18,64,0,12,5,129,150,7,5,7,5,18,0,12,5,18,64,0,12,5,0,1,40,0,2,0,0,1,0,0,0,1,39,0,1,0,0,0,0,0,1
L651,HiveLayoutHelper,jack.hive.HiveLayoutHelper,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\hivelayoutmanager-library\src\main\java\jack\hive\HiveLayoutHelper.java,8,1,34,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,2,0,0,3,0.25,0.1875,3,3,1,3,0.157895,3,0,0,1,1,0,13,22,3,2,3,2,3,0,3,0,3,2,0,3,0,16,27,3,4,3,3,4,0,4,0,6,2,0,6,0,0,0,14,1,4,0,0,3,0,0,0,0,14,1,1,0,0,0,0,0,0
L335,HiveLayoutManager,jack.hive.HiveLayoutManager,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\hivelayoutmanager-library\src\main\java\jack\hive\HiveLayoutManager.java,22,1,431,2,0.235153,2,12,4,0.136585,0.190813,56,54,4,4,3,61,7,5,1,12,38,0.333333,0.181538,59,56,4,8,0.200565,71,0,0,0,0,0,266,389,17,3,17,3,26,7,11,2,26,158,7,11,2,283,410,27,3,27,3,26,7,11,2,26,158,7,11,2,0,0,89,1,21,1,28,19,1,1,0,2,49,0,0,0,0,0,0,0,10
L903,HiveMathUtils,jack.hive.HiveMathUtils,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\hivelayoutmanager-library\src\main\java\jack\hive\HiveMathUtils.java,16,1,259,2,0.120181,2,28,4,0.163934,0.181818,40,40,2,4,3,64,7,2,2,1,21,0.0625,0.0265487,6,3,1,15,0.0265487,6,1,1,0,0,1,220,244,1,14,1,14,20,0,15,0,20,115,0,15,0,220,244,1,14,1,14,20,0,15,0,20,115,0,15,0,0,0,64,2,2,1,18,1,1,0,0,0,43,0,2,0,0,0,0,0,2
L795,HivePositionInfo,jack.hive.HivePositionInfo,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\hivelayoutmanager-library\src\main\java\jack\hive\HivePositionInfo.java,6,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,0,3,1,0,3,0.333333,0.15,3,3,1,2,0.15,3,0,0,0,0,0,17,21,2,0,2,0,3,0,2,0,3,3,0,2,0,17,21,2,0,2,0,3,0,2,0,3,3,0,2,0,0,0,9,0,3,0,0,2,0,0,0,0,9,1,0,0,0,0,0,0,0
L1097,ApplicationTest,jack.hivelayoutmanager_library.ApplicationTest,L1086,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\hivelayoutmanager-library\src\androidTest\java\jack\hivelayoutmanager_library\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L1100,ExampleUnitTest,jack.hivelayoutmanager_library.ExampleUnitTest,L1086,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\hivelayoutmanager-library\src\test\java\jack\hivelayoutmanager_library\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L686,HiveLayoutManager$AnchorInfo,jack.hive.HiveLayoutManager$AnchorInfo,L335,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\hivelayoutmanager-library\src\main\java\jack\hive\HiveLayoutManager.java,407,5,413,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.375,3,3,1,0,0.375,3,0,0,0,0,0,5,7,3,0,3,0,0,0,0,0,0,0,0,0,0,5,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
L690,HiveLayoutManager$LayoutState,jack.hive.HiveLayoutManager$LayoutState,L335,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\hivelayoutmanager-library\src\main\java\jack\hive\HiveLayoutManager.java,418,5,428,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.25,3,3,1,0,0.25,3,0,0,0,0,0,9,11,7,0,7,0,0,0,0,0,0,0,0,0,0,9,11,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1
