ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L514,ExampleInstrumentedTest,com.xiaomai.environmentswitcher.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\environmentswitcher\src\androidTest\java\com\xiaomai\environmentswitcher\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L523,EnvironmentSwitchActivity,com.xiaomai.environmentswitcher.EnvironmentSwitchActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\environmentswitcher\src\main\java\com\xiaomai\environmentswitcher\EnvironmentSwitchActivity.java,24,1,167,2,0.126761,1,12,2,0.152778,0.174603,22,22,2,3,3,11,4,3,1,7,9,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,53,62,4,0,4,0,2,0,1,0,2,31,0,1,0,126,144,4,5,4,5,9,0,8,0,9,68,0,8,0,0,0,60,10,11,11,29,10,1,0,0,0,30,0,0,0,0,0,0,0,0
L696,ExampleUnitTest,com.xiaomai.environmentswitcher.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\environmentswitcher\src\test\java\com\xiaomai\environmentswitcher\ExampleUnitTest.java,12,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L721,ExampleInstrumentedTest,com.xiaomai.demo.ExampleInstrumentedTest,L700,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\androidTest\java\com\xiaomai\demo\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L983,MainActivity,com.xiaomai.demo.MainActivity,L700,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\xiaomai\demo\MainActivity.java,21,1,93,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,4,6,1,0,4,7,0.0,0.0512821,2,0,0,2,0.0689655,4,1,1,0,0,1,37,51,1,0,1,0,3,0,1,0,3,20,0,1,0,54,73,1,0,1,0,5,0,3,0,5,29,0,3,0,0,0,18,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0
L1078,ExampleUnitTest,com.xiaomai.demo.ExampleUnitTest,L700,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\test\java\com\xiaomai\demo\ExampleUnitTest.java,12,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L182,EnvironmentBean,com.xiaomai.environmentswitcher.bean.EnvironmentBean,L178,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\base\src\main\java\com\xiaomai\environmentswitcher\bean\EnvironmentBean.java,12,1,109,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,35,1,8,5,4,20,0.0588235,0.0804598,7,7,1,16,0.0804598,7,0,0,0,0,0,80,98,5,4,5,4,16,0,16,5,16,37,0,16,5,80,98,5,4,5,4,16,0,16,5,16,37,0,16,5,0,0,37,1,8,0,0,6,0,1,0,1,35,1,1,0,0,0,0,0,1
L194,ModuleBean,com.xiaomai.environmentswitcher.bean.ModuleBean,L178,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\base\src\main\java\com\xiaomai\environmentswitcher\bean\ModuleBean.java,14,1,87,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,25,1,7,7,0,12,0.0769231,0.107692,7,7,1,12,0.107692,7,0,0,0,0,0,58,74,3,3,3,3,12,0,12,3,12,26,0,12,3,58,74,3,3,3,3,12,0,12,3,12,26,0,12,3,0,0,27,0,4,0,0,4,0,0,0,0,27,0,0,0,0,0,0,0,0
L339,EnvironmentSwitcherCompilerRelease,com.xiaomai.environmentswitcher.compiler.EnvironmentSwitcherCompilerRelease,L320,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\compiler-release\src\main\java\com\xiaomai\environmentswitcher\compiler\EnvironmentSwitcherCompilerRelease.java,11,1,33,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,3,0,0,2,3,0.0,0.0,0,0,0,1,0.0,0,1,1,0,0,1,21,23,25,2,0,0,1,0,0,0,5,3,25,3,0,21,23,25,2,0,0,1,0,0,0,5,3,25,3,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5
L340,EnvironmentSwitcherCompilerDebug,com.xiaomai.environmentswitcher.compiler.EnvironmentSwitcherCompilerDebug,L320,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\compiler\src\main\java\com\xiaomai\environmentswitcher\compiler\EnvironmentSwitcherCompilerDebug.java,32,1,325,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,12,6,1,1,4,8,0.0,0.0,0,0,0,4,0.0,0,0,0,1,1,0,253,294,25,2,25,2,4,25,3,0,4,64,25,3,0,253,294,25,2,25,2,4,25,3,0,4,64,25,3,0,0,5,24,2,25,1,0,25,0,0,0,0,11,0,6,0,0,0,0,0,13
