ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L409,ApplicationTest,com.cunoraz.tagview.ApplicationTest,L385,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\com\cunoraz\tagview\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L412,Constants,com.cunoraz.tagview.Constants,L385,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cunoraz\tagview\Constants.java,5,1,36,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0.0,0.115385,3,3,0,1,0.115385,3,0,0,0,0,0,23,32,18,0,18,0,1,18,0,0,1,1,18,0,0,23,32,18,0,18,0,1,18,0,0,1,1,18,0,0,0,0,12,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,7
L232,Tag,com.cunoraz.tagview.Tag,L385,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cunoraz\tagview\Tag.java,6,1,147,2,0,0,0,0,0,0,0,0,1,0,0,27,1,9,8,0,27,0.0,0.0,0,0,0,27,0.0,0,0,0,0,0,0,113,142,14,12,14,12,27,0,26,12,27,39,0,26,12,113,142,14,12,14,12,27,0,26,12,27,39,0,26,12,0,0,67,2,3,1,0,1,0,0,0,2,57,0,1,0,0,0,0,0,10
L153,TagView,com.cunoraz.tagview.TagView,L385,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cunoraz\tagview\TagView.java,23,1,456,2,0,0,0,0,0,0,0,0,1,4,4,47,6,10,4,15,45,0.4,0.318318,106,87,10,15,0.293801,109,0,0,0,0,0,227,399,14,7,14,7,30,0,24,8,30,133,0,24,8,262,434,14,7,14,7,37,0,31,8,37,143,0,31,8,0,0,82,1,8,1,0,6,0,2,0,1,70,0,0,0,0,1,0,0,10
L870,Utils,com.cunoraz.tagview.Utils,L385,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cunoraz\tagview\Utils.java,7,1,17,2,0,0,0,0,0,0,0,0,1,0,0,2,0,1,9,0,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,9,11,0,0,0,0,2,0,1,0,2,3,0,1,0,9,11,0,0,0,0,2,0,1,0,2,3,0,1,0,0,0,7,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0
L885,ExampleUnitTest,com.cunoraz.tagview.ExampleUnitTest,L385,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\cunoraz\tagview\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L130,ApplicationTest,cuneyt.example.com.tagview.ApplicationTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\cuneyt\example\com\tagview\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L347,Constants,cuneyt.example.com.tagview.Constants,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\cuneyt\example\com\tagview\Constants.java,6,1,257,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0275591,7,7,1,0,0.0275591,7,0,0,0,0,0,247,252,1,0,1,0,0,1,0,0,0,0,1,0,0,247,252,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4
L147,MainActivity,cuneyt.example.com.tagview.Activity.MainActivity,L144,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\cuneyt\example\com\tagview\Activity\MainActivity.java,28,1,170,2,0,0,0,0,0,0,0,0,3,3,3,12,7,2,1,11,16,0.0,0.15,12,3,0,3,0.114035,13,0,0,0,0,0,68,103,3,0,3,0,5,0,2,1,5,43,0,2,1,101,143,3,0,3,0,12,0,9,1,12,54,0,9,1,0,2,42,3,3,2,0,1,2,0,0,1,40,2,2,0,0,0,0,0,0
L164,TagClass,cuneyt.example.com.tagview.Models.TagClass,L351,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\cuneyt\example\com\tagview\Models\TagClass.java,11,1,69,2,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,0,9,0.1,0.0833333,4,4,1,9,0.0833333,4,0,0,0,0,0,44,59,3,4,3,4,9,0,9,3,9,21,0,9,3,44,59,3,4,3,4,9,0,9,3,9,21,0,9,3,0,1,21,0,1,0,0,0,0,0,0,0,21,1,1,0,0,0,0,0,0
