ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L122,MainActivity,com.pixelcan.ipidemo.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\pixelcan\ipidemo\MainActivity.java,9,1,28,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,2,3,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,15,20,3,0,3,0,1,0,0,0,1,7,0,0,0,15,20,3,0,3,0,1,0,0,0,1,7,0,0,0,0,0,5,0,3,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0
L128,TestFragmentAdapter,com.pixelcan.ipidemo.TestFragmentAdapter,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\pixelcan\ipidemo\TestFragmentAdapter.java,18,1,91,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,4,1,1,1,1,5,0.2,0.136364,3,3,1,4,0.0491803,3,0,0,0,0,0,19,25,2,3,2,3,4,0,4,0,4,4,0,4,0,58,74,4,3,4,3,8,0,8,0,8,28,0,8,0,0,0,22,0,2,0,0,1,0,0,0,1,22,0,0,0,0,0,0,0,0
L136,InkPageIndicator,com.pixelcan.inkpageindicator.InkPageIndicator,L287,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\InkPageIndicator\src\main\java\com\pixelcan\inkpageindicator\InkPageIndicator.java,49,1,907,2,0.268487,4,18,8,0.195576,0.228525,168,141,3,3,3,80,5,12,6,4,34,0.0833333,0.169847,89,32,1,11,0.174029,130,0,0,0,0,0,435,634,51,5,51,5,30,0,11,6,30,246,0,11,6,617,859,57,5,57,5,56,1,33,6,62,325,1,39,6,0,0,225,4,17,1,53,15,4,1,0,4,149,0,1,0,0,0,0,0,18
L194,TestFragmentAdapter$TestFragment,com.pixelcan.ipidemo.TestFragmentAdapter$TestFragment,L128,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\pixelcan\ipidemo\TestFragmentAdapter.java,42,5,90,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,0,1,1,0,4,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,39,49,2,0,2,0,4,0,4,0,4,24,0,4,0,39,49,2,0,2,0,4,0,4,0,4,24,0,4,0,0,0,11,0,1,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0
L706,InkPageIndicator$PendingStartAnimator,com.pixelcan.inkpageindicator.InkPageIndicator$PendingStartAnimator,L136,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\InkPageIndicator\src\main\java\com\pixelcan\inkpageindicator\InkPageIndicator.java,672,5,689,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,1,5,5,1,3,0.333333,0.166667,3,3,1,2,0.166667,3,0,0,2,2,0,15,18,2,0,2,0,2,0,2,0,2,6,0,2,0,15,18,2,0,2,0,2,0,2,0,2,6,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
L377,InkPageIndicator$PendingRetreatAnimator,com.pixelcan.inkpageindicator.InkPageIndicator$PendingRetreatAnimator,L136,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\InkPageIndicator\src\main\java\com\pixelcan\inkpageindicator\InkPageIndicator.java,696,5,784,6,0.488095,1,6,2,0.460674,0.492958,41,35,0,2,2,8,6,1,1,4,5,0.5,0.283019,15,5,1,1,0.21978,20,1,1,0,0,1,38,50,2,0,0,0,1,0,1,0,3,25,0,3,0,71,89,2,0,0,0,5,0,5,0,7,43,0,7,0,0,0,54,0,0,0,32,0,1,0,0,0,21,0,0,0,0,0,0,0,0
L381,InkPageIndicator$PendingRevealAnimator,com.pixelcan.inkpageindicator.InkPageIndicator$PendingRevealAnimator,L136,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\InkPageIndicator\src\main\java\com\pixelcan\inkpageindicator\InkPageIndicator.java,789,5,815,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,3,6,1,1,2,0.5,0.176471,3,3,1,1,0.142857,4,1,1,0,0,1,14,16,3,0,1,0,1,0,1,0,3,7,0,3,0,24,27,3,0,1,0,3,0,3,0,5,10,0,5,0,0,0,15,0,1,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0
L710,InkPageIndicator$StartPredicate,com.pixelcan.inkpageindicator.InkPageIndicator$StartPredicate,L136,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\InkPageIndicator\src\main\java\com\pixelcan\inkpageindicator\InkPageIndicator.java,820,5,830,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,5,3,0,2,0.5,0.3,3,3,1,1,0.3,3,0,0,2,2,0,7,11,1,0,1,0,2,0,1,0,2,1,0,1,0,7,11,1,0,1,0,2,0,1,0,2,1,0,1,0,0,0,5,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
L632,InkPageIndicator$RightwardStartPredicate,com.pixelcan.inkpageindicator.InkPageIndicator$RightwardStartPredicate,L136,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\InkPageIndicator\src\main\java\com\pixelcan\inkpageindicator\InkPageIndicator.java,835,5,844,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,2,2,1,3,0.5,0.272727,3,3,1,1,0.272727,3,1,1,0,0,1,8,10,1,0,0,0,2,0,1,0,3,2,0,2,0,8,10,1,0,0,0,2,0,1,0,3,2,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
L637,InkPageIndicator$LeftwardStartPredicate,com.pixelcan.inkpageindicator.InkPageIndicator$LeftwardStartPredicate,L136,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\InkPageIndicator\src\main\java\com\pixelcan\inkpageindicator\InkPageIndicator.java,849,5,858,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,2,2,1,3,0.5,0.272727,3,3,1,1,0.272727,3,1,1,0,0,1,8,10,1,0,0,0,2,0,1,0,3,2,0,2,0,8,10,1,0,0,0,2,0,1,0,3,2,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
L795,InkPageIndicator$SavedState,com.pixelcan.inkpageindicator.InkPageIndicator$SavedState,L136,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\InkPageIndicator\src\main\java\com\pixelcan\inkpageindicator\InkPageIndicator.java,876,5,906,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,0,2,2,0,3,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,18,22,2,0,2,0,3,1,2,0,3,5,1,2,0,26,31,2,0,2,0,5,1,4,0,5,7,1,4,0,0,0,21,0,1,0,0,1,1,0,0,0,16,0,0,0,0,0,0,0,4
