ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L122,ApplicationTest,me.everything.app.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\me\everything\providers\sample\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L2063,MainActivity,me.everything.providers.sample.MainActivity,L137,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\me\everything\providers\sample\MainActivity.java,14,1,52,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,6,1,0,0,0,4,0.0,0.0294118,1,0,0,3,0.0294118,1,0,0,0,0,0,33,39,0,0,0,0,4,0,2,1,4,16,0,2,1,33,39,0,0,0,0,4,0,2,1,4,16,0,2,1,0,1,12,2,1,1,0,0,1,0,0,1,11,0,1,0,0,1,0,0,0
L2084,MainApplication,me.everything.providers.sample.MainApplication,L137,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\me\everything\providers\sample\MainApplication.java,13,1,39,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,4,0,0,4,5,0.0,0.117647,2,0,0,2,0.0909091,2,0,0,0,0,0,15,22,0,0,0,0,1,0,1,0,1,6,0,1,0,20,27,0,0,0,0,2,0,2,0,2,8,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
L2123,ApplicationTest,me.everything.providers.android.ApplicationTest,L2113,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\providers-android\src\androidTest\java\me\everything\providers\android\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L3288,ApplicationTest,me.everything.providers.core.ApplicationTest,L3266,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\providers-core\src\androidTest\java\me\everything\providers\core\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L810,AbstractProvider,me.everything.providers.core.AbstractProvider,L3266,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\providers-core\src\main\java\me\everything\providers\core\AbstractProvider.java,14,1,79,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,13,2,8,40,6,12,0.5,0.0666667,4,3,1,1,0.0666667,4,0,0,8,8,0,56,66,2,3,2,3,6,0,1,0,6,32,0,1,0,56,66,2,3,2,3,6,0,1,0,6,32,0,1,0,0,0,15,1,8,2,0,5,0,0,0,1,15,0,1,0,0,0,0,0,0
L232,Data<T extends Entity>,me.everything.providers.core.Data,L3266,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\providers-core\src\main\java\me\everything\providers\core\Data.java,8,1,49,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,7,1,78,8,2,7,0.166667,0.111111,4,4,1,5,0.111111,4,0,0,0,0,0,32,42,2,2,2,2,5,0,5,0,5,14,0,5,0,32,42,2,2,2,2,5,0,5,0,5,14,0,5,0,0,0,13,0,4,1,0,2,0,0,0,1,13,0,0,0,0,0,0,0,0
L274,Entity,me.everything.providers.core.Entity,L3266,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\providers-core\src\main\java\me\everything\providers\core\Entity.java,15,1,270,2,0.0,0,0,0,0.0,0.0,0,0,2,4,4,48,5,134,9,5,17,0.461538,0.171429,42,37,6,7,0.171429,42,0,0,24,24,0,203,256,0,8,0,8,12,0,12,0,12,123,0,12,0,203,256,0,8,0,8,12,0,12,0,12,123,0,12,0,0,0,22,13,9,10,0,6,1,2,0,4,17,0,0,1,0,2,0,0,1
L3596,ApplicationTest,me.everything.providers.stetho.ApplicationTest,L3576,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\providers-stetho\src\androidTest\java\me\everything\providers\stetho\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L3599,Database,me.everything.providers.stetho.Database,L3576,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\providers-stetho\src\main\java\me\everything\providers\stetho\Database.java,34,1,218,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,13,10,7,1,12,20,0.0,0.0240964,2,0,0,6,0.035461,5,0,0,0,0,0,81,117,4,2,4,2,8,0,5,0,8,40,0,5,0,136,185,20,2,20,2,9,14,6,0,9,45,14,6,0,0,1,76,3,5,2,0,3,0,0,0,3,45,0,1,0,0,0,0,0,31
