ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L2814,AsciiString,com.firenio.AsciiString,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-core\src\main\java\com\firenio\AsciiString.java,25,1,140,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,22,1,0,0,1,13,0.0833333,0.0288462,3,3,1,11,0.0288462,3,0,0,0,0,0,101,116,5,0,5,0,12,0,11,0,12,58,0,11,0,101,116,5,0,5,0,12,0,11,0,12,58,0,11,0,0,0,27,4,3,5,0,1,0,0,0,0,27,0,1,0,0,0,0,0,0
L10316,Develop,com.firenio.Develop,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-core\src\main\java\com\firenio\Develop.java,23,1,40,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,1,9,6,1,2,0.5,0.166667,3,3,1,1,0.166667,3,0,0,0,0,0,15,18,8,0,8,0,1,8,1,0,1,2,8,1,0,15,18,8,0,8,0,1,8,1,0,1,2,8,1,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5
L10339,DevelopConfig,com.firenio.DevelopConfig,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-core\src\main\java\com\firenio\DevelopConfig.java,21,1,33,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,1.0,0.230769,3,3,1,0,0.230769,3,0,0,0,0,0,10,13,8,0,8,0,0,8,0,0,0,0,8,0,0,10,13,8,0,8,0,0,8,0,0,0,0,8,0,0,0,0,7,0,7,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,5
L3458,LifeCycle,com.firenio.LifeCycle,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-core\src\main\java\com\firenio\LifeCycle.java,25,1,159,2,0.0,0,0,0,0.0,0.0,0,0,1,7,3,36,4,15,39,8,19,0.0,0.0,0,0,0,7,0.0,0,0,0,5,21,0,121,135,8,0,8,0,11,0,6,0,11,62,0,6,0,121,135,8,0,8,0,11,0,6,0,11,62,0,6,0,0,0,29,15,8,0,0,2,0,3,0,3,25,2,10,0,4,2,0,0,1
L10351,LifeCycleListener,com.firenio.LifeCycleListener,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-core\src\main\java\com\firenio\LifeCycleListener.java,18,1,30,2,0.0,0,0,0,0.0,0.0,0,0,5,0,0,5,1,3,1,0,5,0.0,0.0,0,0,0,6,0.0,0,0,0,1,1,0,7,13,0,0,0,0,5,0,5,0,5,0,0,5,0,7,13,0,0,0,0,5,0,5,0,5,0,0,5,0,0,0,14,5,6,1,0,5,1,0,0,0,13,5,0,0,0,0,0,0,0
L10921,Options,com.firenio.Options,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-core\src\main\java\com\firenio\Options.java,23,1,157,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,32,1,11,11,4,33,0.0434783,0.0280374,3,3,1,22,0.0280374,3,0,0,0,0,0,104,135,11,5,11,5,29,0,22,14,29,32,0,22,14,104,135,11,5,11,5,29,0,22,14,29,32,0,22,14,0,0,67,1,11,1,0,11,0,0,0,0,61,0,0,0,0,0,0,0,6
L7961,TimeoutException,com.firenio.TimeoutException,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-core\src\main\java\com\firenio\TimeoutException.java,20,1,30,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,1,1,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,9,11,0,0,0,0,2,0,2,0,2,2,0,2,0,9,11,0,0,0,0,2,0,2,0,2,2,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
L11017,EmojiUtil,sample.http11.EmojiUtil,L11002,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-sample\sample-http\src\main\java\sample\http11\EmojiUtil.java,26,1,45,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,3,1,1,1,0,1,0.5,0.2,4,3,1,1,0.2,4,0,0,0,0,0,16,20,1,0,1,0,1,1,1,0,1,9,1,1,0,16,20,1,0,1,0,1,1,1,0,1,9,1,1,0,0,0,9,0,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4
L11025,HttpFrameAcceptor,sample.http11.HttpFrameAcceptor,L11002,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-sample\sample-http\src\main\java\sample\http11\HttpFrameAcceptor.java,25,1,35,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,3,10,1,0,2,0.5,0.3,3,3,1,1,0.3,3,0,0,9,9,0,7,11,0,0,0,0,2,0,1,0,2,1,0,1,0,7,11,0,0,0,0,2,0,1,0,2,1,0,1,0,0,0,5,3,2,1,0,1,0,0,0,2,5,1,0,0,0,0,0,0,0
L11041,HttpFrameHandle,sample.http11.HttpFrameHandle,L11002,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-sample\sample-http\src\main\java\sample\http11\HttpFrameHandle.java,43,1,390,2,0.0,0,0,0,0.0,0.0,0,0,2,4,3,49,20,1,2,34,51,0.1,0.00389105,1,1,1,9,0.00320513,1,2,2,1,1,1,256,278,6,4,5,4,17,0,9,3,18,176,0,10,3,311,348,13,11,12,11,30,0,11,7,31,192,0,12,7,0,1,81,6,41,1,0,11,1,1,2,8,72,1,1,0,0,26,0,0,5
L11210,HttpUtil,sample.http11.HttpUtil,L11002,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-sample\sample-http\src\main\java\sample\http11\HttpUtil.java,23,1,75,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,2,4,5,3,2,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,42,53,3,1,3,1,1,3,1,0,1,3,3,1,0,42,53,3,1,3,1,1,3,1,0,1,3,3,1,0,0,0,9,0,23,0,0,0,0,0,0,0,5,0,0,0,0,23,0,0,4
L11723,Sl4jLogger,sample.http11.Sl4jLogger,L11002,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-sample\sample-http\src\main\java\sample\http11\Sl4jLogger.java,25,1,298,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,27,0,1,0,0,24,0.958333,0.596774,148,148,23,1,0.596774,148,0,0,0,0,0,100,274,1,3,1,3,24,0,23,0,24,29,0,23,0,100,274,1,3,1,3,24,0,23,0,24,29,0,23,0,0,1,7,0,3,0,0,0,0,0,0,0,5,1,2,0,0,1,0,0,2
L11830,SpringHttpFrameHandle,sample.http11.SpringHttpFrameHandle,L11002,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-sample\sample-http\src\main\java\sample\http11\SpringHttpFrameHandle.java,24,1,68,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,8,9,2,2,6,10,0.0,0.025,1,0,0,4,0.025,1,3,3,0,0,1,39,45,8,5,2,1,4,0,3,0,22,20,0,13,3,39,45,8,5,2,1,4,0,3,0,22,20,0,13,3,0,0,11,1,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0
L11944,IntMap<V extends Object>,test.backup.IntMap,L11936,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-test\src\main\java\test\backup\IntMap.java,25,1,299,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,60,1,4,7,1,24,0.105263,0.0714286,18,7,2,17,0.0714286,18,0,0,0,0,0,234,275,10,0,10,0,23,0,18,0,23,154,0,18,0,234,275,10,0,10,0,23,0,18,0,23,154,0,18,0,0,0,49,0,10,3,0,1,0,0,0,0,45,0,6,0,0,0,0,0,4
L12208,DelayedRunnable,test.io.DelayedRunnable,L12033,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-test\src\main\java\test\io\DelayedRunnable.java,6,1,52,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,9,0,0,0,0,9,0.1,0.0810811,3,3,1,9,0.0810811,3,0,0,0,0,0,34,47,5,3,5,3,9,0,9,1,9,9,0,9,1,34,47,5,3,5,3,9,0,9,1,9,9,0,9,1,0,0,21,0,3,0,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0
L12823,Test,test.io.Test,L12033,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-test\src\main\java\test\io\Test.java,28,1,109,2,0.0,0,0,0,0.0,0.0,0,0,4,2,2,17,3,0,0,5,11,0.5,0.0675676,5,3,1,1,0.0675676,5,0,0,0,0,0,69,82,0,1,0,1,6,0,1,0,6,51,0,1,0,69,82,0,1,0,1,6,0,1,0,6,51,0,1,0,0,1,16,5,8,6,0,6,1,0,0,1,15,0,1,0,0,0,0,0,0
L12843,Test1,test.io.Test1,L12033,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-test\src\main\java\test\io\Test1.java,9,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,4,9,0,0,0,0,1,0,1,0,1,0,0,1,0,4,9,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
L12847,Test3,test.io.Test3,L12033,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-test\src\main\java\test\io\Test3.java,27,1,56,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,3,0,0,3,5,1.0,0.375,9,9,2,0,0.375,9,0,0,0,0,0,15,30,2,0,2,0,2,0,1,0,2,7,0,1,0,15,30,2,0,2,0,2,0,1,0,2,7,0,1,0,0,0,3,4,3,4,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0
L12861,Test5,test.io.Test5,L12033,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-test\src\main\java\test\io\Test5.java,21,1,51,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,6,0,0,0,0,2,0.5,0.107143,3,3,1,1,0.107143,3,0,0,0,0,0,25,31,0,0,0,0,2,0,1,0,2,17,0,1,0,25,31,0,0,0,0,2,0,1,0,2,17,0,1,0,0,0,7,3,1,3,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0
L12869,Test6,test.io.Test6,L12033,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-test\src\main\java\test\io\Test6.java,28,1,53,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.272727,3,3,1,1,0.1875,3,0,0,0,0,0,8,19,1,0,1,0,1,0,1,0,1,2,0,1,0,13,26,1,0,1,0,2,0,1,0,2,3,0,1,0,0,0,9,4,2,2,0,2,0,0,0,1,9,0,1,0,0,0,0,0,0
L12882,Test7,test.io.Test7,L12033,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-test\src\main\java\test\io\Test7.java,27,1,51,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,4,1,0,0,0,2,0.5,0.12,3,3,1,1,0.12,3,0,0,0,0,0,22,25,0,0,0,0,2,0,1,0,2,13,0,1,0,22,25,0,0,0,0,2,0,1,0,2,13,0,1,0,0,0,8,4,2,3,0,2,1,0,0,1,7,0,0,0,0,0,0,0,0
L12895,Test8,test.io.Test8,L12033,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-test\src\main\java\test\io\Test8.java,26,1,79,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,7,0,0,0,0,3,0.5,0.142857,6,3,1,1,0.142857,6,0,0,0,0,0,36,54,0,0,0,0,3,0,1,0,3,32,0,1,0,36,54,0,0,0,0,3,0,1,0,3,32,0,1,0,0,0,10,2,4,3,0,3,1,0,0,0,9,0,0,0,0,0,0,0,0
L12911,TestAdd,test.io.TestAdd,L12033,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-test\src\main\java\test\io\TestAdd.java,9,1,38,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,2,3,0.5,0.315789,6,6,1,1,0.230769,6,0,0,0,0,0,13,23,0,0,0,0,1,0,1,0,1,8,0,1,0,20,30,0,0,0,0,2,0,2,0,3,11,0,3,0,0,0,9,1,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0
L12922,TestByteBufSkip,test.io.TestByteBufSkip,L12033,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-test\src\main\java\test\io\TestByteBufSkip.java,26,1,73,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,2,0,0,8,11,0.5,0.0882353,3,3,1,1,0.0882353,3,0,0,0,0,0,31,48,0,0,0,0,3,0,1,0,3,23,0,1,0,31,48,0,0,0,0,3,0,1,0,3,23,0,1,0,0,0,9,8,2,8,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0
L12933,TestDio,test.io.TestDio,L12033,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-test\src\main\java\test\io\TestDio.java,29,1,100,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,2,0,0,12,17,0.5,0.0909091,6,6,1,1,0.0909091,6,0,0,0,0,0,60,72,2,0,2,0,5,0,1,0,5,37,0,1,0,60,72,2,0,2,0,5,0,1,0,5,37,0,1,0,0,2,13,6,6,5,0,6,0,0,0,1,13,0,2,0,0,0,0,0,0
L12971,TestExcel,test.io.TestExcel,L12033,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-test\src\main\java\test\io\TestExcel.java,32,1,358,2,0.108222,1,4,2,0.0795107,0.09319,26,26,3,7,7,42,0,0,0,0,11,0.666667,0.07,21,10,2,1,0.07,21,0,0,0,0,0,279,327,1,1,1,1,11,0,2,0,11,218,0,2,0,279,327,1,1,1,1,11,0,2,0,11,218,0,2,0,0,3,44,6,18,8,9,14,1,5,0,1,25,0,2,0,0,2,0,0,4
L13045,TestFloat,test.io.TestFloat,L12033,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\firenio-test\src\main\java\test\io\TestFloat.java,24,1,59,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,4,0,0,0,0,1,0.5,0.0882353,3,3,1,1,0.0882353,3,0,0,0,0,0,31,36,0,0,0,0,1,0,1,0,1,28,0,1,0,31,36,0,0,0,0,1,0,1,0,1,28,0,1,0,0,0,5,13,1,13,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
