ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L126,ApplicationTest,com.tinderview.ApplicationTest,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\mobile\src\androidTest\java\com\tinderview\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L1643,MainActivity,com.tinderview.MainActivity,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\wear\src\main\java\com\letsventure\MainActivity.java,8,1,24,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,11,13,1,0,1,0,1,0,0,0,1,4,0,0,0,15,17,1,0,1,0,2,0,1,0,2,5,0,1,0,0,0,10,2,0,1,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
L147,MainScreenActivity,com.tinderview.activities.MainScreenActivity,L140,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\mobile\src\main\java\com\tinderview\activities\MainScreenActivity.java,34,1,226,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,8,3,3,0,4,10,0.333333,0.347826,32,13,1,2,0.246753,38,0,0,0,0,0,60,122,7,0,7,0,6,2,2,3,6,32,2,2,3,116,193,8,4,8,4,14,2,10,3,14,49,2,10,3,0,0,37,2,4,1,0,1,2,0,0,4,30,0,0,0,0,0,0,0,5
L335,CardStackAdapter,com.tinderview.adapters.CardStackAdapter,L332,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\mobile\src\main\java\com\tinderview\adapters\CardStackAdapter.java,20,1,36,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,1,1,0,2,0.333333,0.421053,8,7,1,2,0.421053,8,0,0,0,0,0,11,17,0,1,0,1,2,0,2,0,2,4,0,2,0,11,17,0,1,0,1,2,0,2,0,2,4,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L366,RippleAnimation,com.tinderview.animation.RippleAnimation,L363,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\mobile\src\main\java\com\tinderview\animation\RippleAnimation.java,25,1,207,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,14,1,2,2,1,8,0.714286,0.304054,45,16,5,2,0.291925,47,0,0,0,0,0,103,169,18,0,18,0,7,0,6,0,7,65,0,6,0,114,183,18,0,18,0,9,0,7,0,9,69,0,7,0,0,0,17,11,6,2,0,4,0,0,0,10,14,0,0,0,0,1,0,0,3
L315,Chat,com.tinderview.fragments.Chat,L1155,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\mobile\src\main\java\com\tinderview\fragments\Chat.java,18,1,30,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0.5,0.4,6,6,1,1,0.4,6,0,0,0,0,0,9,13,1,0,1,0,1,0,1,0,1,3,0,1,0,9,13,1,0,1,0,1,0,1,0,1,3,0,1,0,0,0,3,0,2,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0
L305,Connect,com.tinderview.fragments.Connect,L1155,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\mobile\src\main\java\com\tinderview\fragments\Connect.java,26,1,117,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,9,4,2,1,8,14,0.5,0.428571,33,13,2,2,0.407407,33,0,0,0,0,0,44,87,4,0,4,0,6,0,3,0,6,25,0,3,0,48,92,4,0,4,0,7,0,4,0,7,26,0,4,0,0,0,9,0,6,1,0,4,0,0,0,0,9,0,0,0,0,1,0,0,0
L310,Discover,com.tinderview.fragments.Discover,L1155,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\mobile\src\main\java\com\tinderview\fragments\Discover.java,15,1,27,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0.5,0.25,3,3,1,1,0.25,3,0,0,0,0,0,9,13,1,0,1,0,1,0,1,0,1,3,0,1,0,9,13,1,0,1,0,1,0,1,0,1,3,0,1,0,0,0,3,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L1242,CheatSheet,com.tinderview.tabbarview.CheatSheet,L1237,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\mobile\src\main\java\com\tinderview\tabbarview\CheatSheet.java,15,1,127,2,0.0,0,0,0,0.0,0.0,0,0,5,1,1,7,0,4,4,0,5,1.0,0.525253,52,44,5,0,0.468468,52,0,0,0,0,0,47,101,1,0,1,0,5,0,4,0,5,23,0,4,0,59,113,1,0,1,0,8,0,7,0,8,26,0,7,0,0,0,16,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0
L169,TabBarView,com.tinderview.tabbarview.TabBarView,L1237,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\mobile\src\main\java\com\tinderview\tabbarview\TabBarView.java,25,1,297,2,0.186585,1,3,3,0.142857,0.176166,39,34,1,3,3,39,3,8,5,5,21,0.5,0.146465,29,22,7,7,0.130045,29,0,0,0,0,0,169,240,14,0,14,0,16,6,13,6,16,100,6,13,6,194,273,14,1,14,1,22,6,19,6,22,106,6,19,6,0,0,110,2,6,2,41,2,0,0,0,1,62,0,1,0,0,2,0,0,7
