ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L203,Mirror,com.genymobile.mirror.Mirror,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\genymobile\mirror\Mirror.java,20,1,49,2,0,0,0,0,0,0,0,0,2,0,0,5,5,6,23,6,11,0.0,0.04,1,0,0,5,0.04,1,0,0,0,0,0,24,30,0,0,0,0,5,0,4,0,5,10,0,4,0,24,30,0,0,0,0,5,0,4,0,5,10,0,4,0,0,0,12,0,4,0,0,4,1,0,0,0,11,0,0,0,0,0,0,0,0
L250,MirrorHandler,com.genymobile.mirror.MirrorHandler,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\genymobile\mirror\MirrorHandler.java,31,1,176,2,0,0,0,0,0,0,0,0,1,3,3,29,10,2,2,11,21,0.0,0.0687023,9,4,0,3,0.0687023,9,0,0,0,0,0,122,146,7,2,7,2,10,0,2,1,10,71,0,2,1,122,146,7,2,7,2,10,0,2,1,10,71,0,2,1,0,0,24,7,7,11,0,2,0,0,0,1,23,0,0,0,0,0,0,0,1
L264,MirrorValidator,com.genymobile.mirror.MirrorValidator,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\genymobile\mirror\MirrorValidator.java,35,1,219,2,0,0,0,0,0,0,0,0,1,6,3,49,8,1,1,10,23,0.5,0.0411765,7,5,1,1,0.0411765,7,0,0,0,0,0,163,185,2,0,2,0,13,0,1,0,13,97,0,1,0,163,185,2,0,2,0,13,0,1,0,13,97,0,1,0,0,0,32,0,6,2,0,2,0,3,0,2,29,0,0,0,0,0,0,0,0
L235,ReflectionFinder,com.genymobile.mirror.ReflectionFinder,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\genymobile\mirror\ReflectionFinder.java,27,1,85,2,0,0,0,0,0,0,0,0,3,2,2,13,2,4,14,1,11,0.166667,0.0625,3,3,1,5,0.0625,3,0,0,0,0,0,45,59,2,0,2,0,10,0,5,0,10,20,0,5,0,45,59,2,0,2,0,10,0,5,0,10,20,0,5,0,0,0,24,0,7,0,0,5,1,0,0,2,23,0,0,0,0,0,0,0,0
L230,Unwrapper,com.genymobile.mirror.Unwrapper,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\genymobile\mirror\Unwrapper.java,28,1,92,2,0,0,0,0,0,0,0,0,1,2,2,18,3,3,4,3,10,0.333333,0.05,3,3,1,2,0.05,3,0,0,0,0,0,57,65,1,0,1,0,7,0,2,0,7,29,0,2,0,57,65,1,0,1,0,7,0,2,0,7,29,0,2,0,0,0,17,0,1,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0
L240,Wrapper,com.genymobile.mirror.Wrapper,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\genymobile\mirror\Wrapper.java,28,1,80,2,0,0,0,0,0,0,0,0,1,1,1,12,4,2,3,3,9,0.5,0.0625,3,3,1,1,0.0625,3,0,0,0,0,0,45,53,2,0,2,0,6,0,1,0,6,22,0,1,0,45,53,2,0,2,0,6,0,1,0,6,22,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
L598,FieldTest,com.genymobile.mirror.FieldTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\test\java\com\genymobile\mirror\FieldTest.java,30,1,94,2,0,0,0,0,0,0,0,0,1,0,0,8,5,0,0,9,17,0.0,0.0,0,0,0,9,0.0,0,0,0,0,0,0,50,65,2,0,2,0,8,1,8,0,8,21,1,8,0,50,65,2,0,2,0,8,1,8,0,8,21,1,8,0,0,0,23,3,1,4,0,0,0,0,0,0,19,0,0,0,0,0,0,0,4
L641,MethodTest,com.genymobile.mirror.MethodTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\test\java\com\genymobile\mirror\MethodTest.java,30,1,104,2,0,0,0,0,0,0,0,0,1,0,0,9,5,0,0,11,20,0.0,0.0,0,0,0,10,0.0,0,0,0,0,0,0,57,75,2,0,2,0,9,1,9,0,9,25,1,9,0,57,75,2,0,2,0,9,1,9,0,9,25,1,9,0,0,0,25,1,2,2,0,1,0,0,0,0,21,0,0,0,0,0,0,0,4
L679,MirrorTest,com.genymobile.mirror.MirrorTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\test\java\com\genymobile\mirror\MirrorTest.java,30,1,98,2,0,0,0,0,0,0,0,0,1,0,0,8,5,0,0,6,14,0.0,0.0,0,0,0,9,0.0,0,0,0,0,0,0,52,69,3,0,3,0,8,1,8,0,8,22,1,8,0,52,69,3,0,3,0,8,1,8,0,8,22,1,8,0,0,0,23,1,2,2,0,1,0,0,0,0,19,0,0,0,0,0,0,0,4
L699,MirrorValidatorTest,com.genymobile.mirror.MirrorValidatorTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\test\java\com\genymobile\mirror\MirrorValidatorTest.java,27,1,113,2,0,0,0,0,0,0,0,0,17,0,0,17,19,0,0,1,18,0.0,0.0,0,0,0,18,0.0,0,0,0,0,0,0,70,87,0,0,0,0,17,0,17,0,17,17,0,17,0,70,87,0,0,0,0,17,0,17,0,17,17,0,17,0,0,0,40,7,0,7,0,0,1,0,1,0,37,0,0,0,0,0,0,0,1
L851,Sample,com.genymobile.mirror.Sample,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\genymobile\mirror\Sample.java,18,1,48,2,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,5,7,0.0,0.047619,1,0,0,2,0.047619,1,0,0,0,0,0,20,31,0,0,0,0,2,0,1,0,2,14,0,1,0,20,31,0,0,0,0,2,0,1,0,2,14,0,1,0,0,0,5,7,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L870,ShyClass,com.genymobile.mirror.ShyClass,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\genymobile\mirror\ShyClass.java,18,1,33,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,12,16,1,0,1,0,3,0,1,0,3,3,0,1,0,12,16,1,0,1,0,3,0,1,0,3,3,0,1,0,0,0,9,1,2,1,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0
