ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L937,RxStoreExample,com.example.rxstore.RxStoreExample,L928,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\example\rxstore\RxStoreExample.java,29,1,89,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,6,0,0,12,13,0.0,0.363636,16,0,0,2,0.320755,17,0,0,0,0,0,28,52,0,0,0,0,1,0,1,0,1,13,0,1,0,36,61,2,0,2,0,2,0,1,0,2,15,0,1,0,0,0,6,0,2,0,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0
L185,ConverterException,au.com.gridstone.rxstore.ConverterException,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxstore\src\main\java\au\com\gridstone\rxstore\ConverterException.java,26,1,41,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,4,0,4,6,0,4,0.2,0.235294,4,4,1,4,0.235294,4,0,0,0,0,0,13,16,0,0,0,0,4,0,4,0,4,3,0,4,0,13,16,0,0,0,0,4,0,4,0,4,3,0,4,0,0,0,11,1,1,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0
L441,RealListStore<T extends Object>,au.com.gridstone.rxstore.RealListStore,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxstore\src\main\java\au\com\gridstone\rxstore\RealListStore.java,41,1,401,2,0.147952,2,22,5,0.130194,0.125424,47,37,8,0,0,28,5,17,1,2,30,0.0,0.0,0,0,0,28,0.0,0,1,1,0,0,1,127,162,5,0,5,0,28,0,27,0,28,49,0,27,0,295,361,6,3,6,3,49,0,47,0,49,158,0,47,0,0,0,249,2,6,0,89,6,1,0,0,0,155,0,2,0,0,0,0,0,4
L668,RealValueStore<T extends Object>,au.com.gridstone.rxstore.RealValueStore,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxstore\src\main\java\au\com\gridstone\rxstore\RealValueStore.java,45,1,153,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,10,4,7,1,2,12,0.0,0.0,0,0,0,10,0.0,0,1,1,0,0,1,53,66,5,0,5,0,10,0,9,0,10,19,0,9,0,93,109,5,0,5,0,17,0,16,0,17,39,0,16,0,0,0,59,0,1,0,0,1,1,0,0,0,58,0,0,0,0,0,0,0,0
L745,RxStore,au.com.gridstone.rxstore.RxStore,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxstore\src\main\java\au\com\gridstone\rxstore\RxStore.java,31,1,51,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,5,2,3,2,5,1.0,0.518519,14,14,3,0,0.518519,14,0,0,0,0,0,13,21,0,0,0,0,3,0,2,0,3,3,0,2,0,13,21,0,0,0,0,3,0,2,0,3,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0
L782,Utils,au.com.gridstone.rxstore.Utils,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxstore\src\main\java\au\com\gridstone\rxstore\Utils.java,25,1,81,2,0.0,0,0,0,0.0,0.0,0,0,4,2,2,13,2,20,37,2,7,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,48,57,0,0,0,0,5,0,0,0,5,29,0,0,0,48,57,0,0,0,0,5,0,0,0,5,29,0,0,0,0,1,14,4,4,0,0,4,1,0,0,5,13,0,0,0,0,0,0,0,0
L882,JacksonConverterTest,au.com.gridstone.converters.JacksonConverterTest,L874,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\converters\jackson-converter\src\test\java\au\com\gridstone\converters\JacksonConverterTest.java,37,1,92,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,5,0,0,8,10,0.333333,0.173913,4,4,1,2,0.0869565,4,0,0,0,0,0,19,26,1,0,1,0,2,1,2,0,2,10,1,2,0,42,56,3,0,3,0,6,3,6,0,6,19,3,6,0,0,1,26,0,3,2,0,0,0,0,0,0,18,1,1,0,0,0,0,0,8
L163,GsonConverter,au.com.gridstone.rxstore.converters.GsonConverter,L131,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\converters\gson-converter\src\main\java\au\com\gridstone\rxstore\converters\GsonConverter.java,32,1,63,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,6,2,0,0,1,5,0.2,0.0967742,3,3,1,4,0.0967742,3,1,1,0,0,1,28,32,1,0,1,0,4,0,4,0,4,13,0,4,0,28,32,1,0,1,0,4,0,4,0,4,13,0,4,0,0,2,11,2,0,0,0,0,0,0,0,2,11,0,0,0,0,2,0,0,0
L235,JacksonConverter,au.com.gridstone.rxstore.converters.JacksonConverter,L131,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\converters\jackson-converter\src\main\java\au\com\gridstone\rxstore\converters\JacksonConverter.java,33,1,71,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,7,2,1,2,1,5,0.2,0.111111,4,4,1,4,0.111111,4,1,1,0,0,1,32,39,1,0,1,0,4,0,4,0,4,15,0,4,0,32,39,1,0,1,0,4,0,4,0,4,15,0,4,0,0,1,11,1,0,0,0,0,0,0,0,1,11,0,0,0,0,1,0,0,0
L261,MoshiConverter,au.com.gridstone.rxstore.converters.MoshiConverter,L131,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\converters\moshi-converter\src\main\java\au\com\gridstone\rxstore\converters\MoshiConverter.java,30,1,70,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,7,2,1,1,1,5,0.0,0.0,0,0,0,5,0.0,0,1,1,0,0,1,35,41,1,0,1,0,4,0,4,0,4,18,0,4,0,35,41,1,0,1,0,4,0,4,0,4,18,0,4,0,0,0,11,1,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0
L465,RealListStore$ListType,au.com.gridstone.rxstore.RealListStore$ListType,L441,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxstore\src\main\java\au\com\gridstone\rxstore\RealListStore.java,382,3,400,4,0.0,0,0,0,0.0,0.0,0,0,0,0,0,4,0,1,1,0,4,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,15,19,1,3,1,3,4,0,3,0,4,4,0,3,0,15,19,1,3,1,3,4,0,3,0,4,4,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
L679,ValueStore$ValueUpdate<T extends Object>,au.com.gridstone.rxstore.ValueStore$ValueUpdate,L670,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxstore\src\main\java\au\com\gridstone\rxstore\ValueStore.java,95,3,126,4,0.0,0,0,0,0.0,0.0,0,0,2,1,1,9,0,5,4,0,4,0.333333,0.212121,7,6,1,2,0.212121,7,0,0,0,0,0,26,32,3,0,3,0,4,2,2,0,4,14,2,2,0,26,32,3,0,3,0,4,2,2,0,4,14,2,2,0,0,0,16,0,5,0,0,5,1,0,0,0,11,0,0,0,0,0,0,0,4
L888,JacksonConverterTest$TestData,au.com.gridstone.converters.JacksonConverterTest$TestData,L882,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\converters\jackson-converter\src\test\java\au\com\gridstone\converters\JacksonConverterTest.java,62,3,91,4,0.0,0,0,0,0.0,0.0,0,0,1,1,1,8,0,1,2,0,4,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,23,30,2,0,2,0,4,2,4,0,4,9,2,4,0,23,30,2,0,2,0,4,2,4,0,4,9,2,4,0,0,1,15,0,1,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,4
