ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L134,ExampleInstrumentedTest,com.seek.sample.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\seek\sample\ExampleInstrumentedTest.java,17,1,26,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L157,FileUtils,com.seek.sample.FileUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\seek\sample\FileUtils.java,7,1,35,2,0,0,0,0,0,0,0,0,0,1,1,5,0,1,1,0,2,0.333333,0.2,5,5,1,2,0.2,5,0,0,0,0,0,20,29,2,2,2,2,2,0,2,0,2,13,0,2,0,20,29,2,2,2,2,2,0,2,0,2,13,0,2,0,0,0,5,0,2,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0
L187,MainActivity,com.seek.sample.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\seek\sample\MainActivity.java,23,1,163,2,0,0,0,0,0,0,0,0,1,3,3,7,4,1,0,3,6,0.0,0.482143,54,0,0,2,0.435714,61,0,0,0,0,0,58,112,6,1,6,1,3,0,1,0,3,22,0,1,0,79,141,6,1,6,1,6,0,4,0,6,32,0,4,0,0,0,15,1,11,1,0,8,1,0,0,1,13,0,1,0,0,1,0,0,1
L302,ExampleUnitTest,com.seek.sample.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\seek\sample\ExampleUnitTest.java,12,1,17,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L338,ExampleInstrumentedTest,com.seek.biscuit.ExampleInstrumentedTest,L306,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\com\seek\biscuit\ExampleInstrumentedTest.java,17,1,26,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L206,Biscuit,com.seek.biscuit.Biscuit,L306,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\seek\biscuit\Biscuit.java,20,1,330,2,0,0,0,0,0,0,0,0,4,2,2,46,12,4,3,14,42,0.125,0.0287356,5,5,3,21,0.0298507,8,0,0,0,0,0,169,203,15,5,15,5,28,2,23,7,28,77,2,23,7,260,311,27,5,27,5,42,2,37,7,42,118,2,37,7,0,1,104,8,10,10,0,3,1,0,1,4,87,0,2,0,0,0,0,0,15
L249,CompressException,com.seek.biscuit.CompressException,L306,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\seek\biscuit\CompressException.java,7,1,20,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,2,0.333333,0.214286,3,3,1,2,0.214286,3,0,0,0,0,0,11,14,1,0,1,0,2,1,2,0,2,4,1,2,0,11,14,1,0,1,0,2,1,2,0,2,4,1,2,0,0,0,11,1,1,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,4
L262,CompressResult,com.seek.biscuit.CompressResult,L306,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\seek\biscuit\CompressResult.java,9,1,17,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0.5,0.272727,3,3,1,1,0.272727,3,0,0,0,0,0,8,9,2,0,2,0,1,2,1,0,1,2,2,1,0,8,9,2,0,2,0,1,2,1,0,1,2,2,1,0,0,0,7,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
L347,Dispatcher,com.seek.biscuit.Dispatcher,L306,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\seek\biscuit\Dispatcher.java,11,1,49,2,0,0,0,0,0,0,0,0,1,0,0,3,2,3,3,1,4,0.5,0.157895,3,3,1,1,0.0833333,3,0,0,0,0,0,16,21,3,0,3,0,3,0,1,0,3,5,0,1,0,33,39,3,0,3,0,5,0,3,0,5,12,0,3,0,0,0,16,1,3,1,0,2,0,0,0,0,16,0,0,0,0,1,0,0,0
L437,HandlerExecutor,com.seek.biscuit.HandlerExecutor,L306,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\seek\biscuit\HandlerExecutor.java,13,1,42,2,0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,1,3,0.333333,0.157895,3,3,1,2,0.103448,3,1,1,0,0,1,16,19,2,0,2,0,2,0,2,0,2,7,0,2,0,26,30,2,0,2,0,4,0,4,0,4,10,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
