ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L232,ApplicationTest,com.github.ivbaranov.mfb.ApplicationTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\materialfavoritebutton\src\androidTest\java\com\github\ivbaranov\mfb\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L166,MaterialFavoriteButton,com.github.ivbaranov.mfb.MaterialFavoriteButton,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\materialfavoritebutton\src\main\java\com\github\ivbaranov\mfb\MaterialFavoriteButton.java,15,1,559,2,0.0404463,1,6,2,0.0348624,0.0473815,19,19,1,4,4,52,3,10,3,3,34,0.375,0.176136,62,61,9,15,0.171488,83,0,0,0,0,0,290,406,37,1,37,1,31,4,23,19,31,135,4,23,19,401,545,51,1,51,1,50,4,42,19,50,186,4,42,19,0,0,120,0,2,1,9,0,0,2,1,0,91,0,0,0,0,1,0,0,17
L594,Utils,com.github.ivbaranov.mfb.Utils,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\materialfavoritebutton\src\main\java\com\github\ivbaranov\mfb\Utils.java,6,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,4,0,1,0.5,0.3,3,3,1,1,0.3,3,0,0,0,0,0,7,10,0,0,0,0,1,0,1,0,1,2,0,1,0,7,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
L142,MainActivity,com.github.ivbaranov.mfb.example.MainActivity,L131,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\main\java\com\github\ivbaranov\mfb\example\MainActivity.java,12,1,84,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,4,4,2,0,3,6,0.0,0.16,8,0,0,3,0.119403,8,0,0,0,0,0,42,56,2,0,2,0,3,0,2,0,3,19,0,2,0,59,73,2,0,2,0,6,0,5,0,6,24,0,5,0,0,0,23,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0
L169,MaterialFavoriteButton$Builder,com.github.ivbaranov.mfb.MaterialFavoriteButton$Builder,L166,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\materialfavoritebutton\src\main\java\com\github\ivbaranov\mfb\MaterialFavoriteButton.java,406,3,511,4,0.0,0,0,0,0.0,0.0,0,0,1,1,1,15,1,1,0,14,28,0.0666667,0.0322581,3,3,1,14,0.0322581,3,0,0,0,0,0,90,106,14,0,14,0,14,0,14,0,14,45,0,14,0,90,106,14,0,14,0,14,0,14,0,14,45,0,14,0,0,0,34,0,1,0,0,0,0,0,1,0,31,0,0,0,0,1,0,0,2
L371,MaterialFavoriteButton$1,com.github.ivbaranov.mfb.MaterialFavoriteButton$1,L297,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\materialfavoritebutton\src\main\java\com\github\ivbaranov\mfb\MaterialFavoriteButton.java,151,48,155,8,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L482,MaterialFavoriteButton$2,com.github.ivbaranov.mfb.MaterialFavoriteButton$2,L452,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\materialfavoritebutton\src\main\java\com\github\ivbaranov\mfb\MaterialFavoriteButton.java,379,59,387,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,1,0,1,3,0,1,0,9,9,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L498,MaterialFavoriteButton$3,com.github.ivbaranov.mfb.MaterialFavoriteButton$3,L452,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\materialfavoritebutton\src\main\java\com\github\ivbaranov\mfb\MaterialFavoriteButton.java,392,59,398,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L183,MainActivity$1,com.github.ivbaranov.mfb.example.MainActivity$1,L155,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\main\java\com\github\ivbaranov\mfb\example\MainActivity.java,31,63,37,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,7,7,0,0,0,0,1,0,1,0,1,1,0,1,0,7,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L205,MainActivity$2,com.github.ivbaranov.mfb.example.MainActivity$2,L155,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\main\java\com\github\ivbaranov\mfb\example\MainActivity.java,46,63,55,10,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,3,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,10,10,0,0,0,0,1,0,1,0,1,3,0,1,0,10,10,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
