ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L145,NoSQLDeleteTaskTest,com.colintmiller.simplenosql.NoSQLDeleteTaskTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\SimpleNoSQL\src\androidTest\java\com\colintmiller\simplenosql\NoSQLDeleteTaskTest.java,28,1,138,2,0.534,3,6,5,0.369369,0.393258,41,35,1,1,1,6,8,1,0,13,18,0.2,0.0555556,5,3,1,4,0.0531915,5,0,0,0,0,0,85,107,3,1,3,1,5,0,4,1,5,49,0,4,1,89,111,3,1,3,1,6,0,5,1,6,50,0,5,1,0,0,38,1,11,6,18,4,0,0,2,1,18,0,1,0,0,0,0,0,0
L287,NoSQLEntityTest,com.colintmiller.simplenosql.NoSQLEntityTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\SimpleNoSQL\src\androidTest\java\com\colintmiller\simplenosql\NoSQLEntityTest.java,18,1,59,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,3,0,0,12,15,0.25,0.0810811,3,3,1,3,0.0810811,3,0,0,0,0,0,34,42,1,0,1,0,3,0,3,0,3,22,0,3,0,34,42,1,0,1,0,3,0,3,0,3,22,0,3,0,0,0,10,0,7,2,0,4,1,0,0,1,9,0,0,0,0,0,0,0,0
L322,NoSQLRetrieveTaskTest,com.colintmiller.simplenosql.NoSQLRetrieveTaskTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\SimpleNoSQL\src\androidTest\java\com\colintmiller\simplenosql\NoSQLRetrieveTaskTest.java,27,1,313,2,0.0895284,1,2,2,0.0801394,0.0717489,23,16,1,1,1,18,10,3,1,30,44,0.1,0.037234,7,5,1,9,0.0550847,13,0,0,0,0,0,181,243,4,3,4,3,14,0,9,1,14,112,0,9,1,223,287,4,3,4,3,20,0,15,1,20,128,0,15,1,0,0,74,2,29,20,12,7,0,0,3,2,59,0,1,0,0,1,0,0,0
L471,NoSQLSaveTaskTest,com.colintmiller.simplenosql.NoSQLSaveTaskTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\SimpleNoSQL\src\androidTest\java\com\colintmiller\simplenosql\NoSQLSaveTaskTest.java,28,1,123,2,0.346639,2,3,2,0.28125,0.275,27,22,1,1,1,7,8,1,0,16,21,0.2,0.05,4,3,1,4,0.047619,4,0,0,0,0,0,76,92,3,1,3,1,5,0,4,1,5,46,0,4,1,80,96,3,1,3,1,6,0,5,1,6,48,0,5,1,0,0,31,0,14,8,12,4,0,0,1,1,18,0,1,0,0,0,0,0,0
L431,OldSampleBean,com.colintmiller.simplenosql.OldSampleBean,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\SimpleNoSQL\src\androidTest\java\com\colintmiller\simplenosql\OldSampleBean.java,6,1,34,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,6,0,1,1,0,6,0.142857,0.115385,3,3,1,6,0.115385,3,0,0,0,0,0,23,29,3,3,3,3,6,0,6,3,6,6,0,6,3,23,29,3,3,3,3,6,0,6,3,6,6,0,6,3,0,0,15,0,1,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0
L201,SampleBean,com.colintmiller.simplenosql.SampleBean,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\SimpleNoSQL\src\androidTest\java\com\colintmiller\simplenosql\SampleBean.java,9,1,102,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,34,0,10,14,0,16,0.0588235,0.038961,3,3,1,16,0.038961,3,0,0,0,0,0,74,94,7,6,7,6,16,0,16,7,16,39,0,16,7,74,94,7,6,7,6,16,0,16,7,16,39,0,16,7,0,0,40,0,10,0,0,8,0,1,0,2,35,0,0,0,0,0,0,0,4
L549,SynchronousTest,com.colintmiller.simplenosql.SynchronousTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\SimpleNoSQL\src\androidTest\java\com\colintmiller\simplenosql\SynchronousTest.java,26,1,109,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,4,8,0,0,11,15,0.4,0.145161,9,9,2,3,0.12,9,0,0,0,0,0,53,71,1,0,1,0,4,0,4,1,4,32,0,4,1,66,84,1,0,1,0,7,0,7,1,7,36,0,7,1,0,0,26,1,9,5,0,4,0,0,0,0,26,0,1,0,0,0,0,0,0
L613,TestUtils,com.colintmiller.simplenosql.TestUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\SimpleNoSQL\src\androidTest\java\com\colintmiller\simplenosql\TestUtils.java,10,1,27,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,3,1,1,5,7,0.5,0.2,3,3,1,1,0.157895,3,0,0,0,0,0,12,14,0,0,0,0,2,0,1,0,2,3,0,1,0,16,18,0,0,0,0,3,0,2,0,3,4,0,2,0,0,0,12,0,1,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0
L153,GsonSerialization,com.colintmiller.simplenosql.GsonSerialization,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\SimpleNoSQL\src\main\java\com\colintmiller\simplenosql\GsonSerialization.java,10,1,31,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,4,2,4,7,0,4,0.2,0.227273,5,5,1,4,0.227273,5,1,2,0,0,2,17,22,1,0,1,0,4,0,4,0,4,4,0,4,0,17,22,1,0,1,0,4,0,4,0,4,4,0,4,0,0,0,12,0,1,0,0,0,0,0,0,1,11,0,0,1,0,0,0,0,0
L873,NoSQL,com.colintmiller.simplenosql.NoSQL,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\SimpleNoSQL\src\main\java\com\colintmiller\simplenosql\NoSQL.java,28,1,208,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,23,7,6,16,6,18,1.0,0.454023,79,77,9,0,0.454023,79,0,0,0,0,0,95,181,9,0,9,0,12,0,8,0,12,44,0,8,0,95,181,9,0,9,0,12,0,8,0,12,44,0,8,0,0,2,10,0,4,0,0,3,0,0,0,1,8,0,0,0,2,0,0,0,2
