ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L154,ApplicationTest,me.wangyuwei.flipshare.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\me\wangyuwei\flipshare\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L168,MainActivity,me.wangyuwei.flipshare.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\me\wangyuwei\flipshare\MainActivity.java,11,1,129,2,0.118294,1,2,2,0.210084,0.186916,25,20,1,1,1,8,4,0,0,4,6,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,93,101,6,0,6,0,2,0,1,0,2,27,0,1,0,107,119,6,0,6,0,6,0,5,0,6,29,0,5,0,0,0,65,5,2,1,40,0,2,0,0,0,21,2,4,0,0,0,0,0,2
L261,ExampleUnitTest,me.wangyuwei.flipshare.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\me\wangyuwei\flipshare\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L268,ApplicationTest,me.wangyuwei.flipshare.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\FlipShare\src\androidTest\java\me\wangyuwei\flipshare\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.666667,0.375,3,3,2,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L211,FlipShareView,me.wangyuwei.flipshare.FlipShareView,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\FlipShare\src\main\java\me\wangyuwei\flipshare\FlipShareView.java,35,1,660,2,0.0,0,0,0,0.0,0.0,0,0,2,6,4,82,4,8,3,1,26,0.1,0.0528634,24,24,1,9,0.0442804,24,0,0,0,0,0,430,522,36,2,36,2,25,3,9,6,25,277,3,9,6,518,626,43,2,43,2,42,3,26,10,48,308,3,32,10,0,0,137,7,21,3,0,3,2,8,0,17,111,3,0,0,0,2,0,0,16
L217,ShareItem,me.wangyuwei.flipshare.ShareItem,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\FlipShare\src\main\java\me\wangyuwei\flipshare\ShareItem.java,10,1,59,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,7,0,3,1,0,7,0.125,0.0869565,4,4,1,7,0.0869565,4,0,0,0,0,0,42,50,4,0,4,0,7,4,7,0,7,16,4,7,0,42,50,4,0,4,0,7,4,7,0,7,16,4,7,0,0,0,21,0,1,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,4
L845,ExampleUnitTest,me.wangyuwei.flipshare.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\FlipShare\src\test\java\me\wangyuwei\flipshare\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.666667,0.333333,3,3,2,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L452,FlipShareView$MyAnimListener,me.wangyuwei.flipshare.FlipShareView$MyAnimListener,L211,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\FlipShare\src\main\java\me\wangyuwei\flipshare\FlipShareView.java,585,5,600,6,0.0,0,0,0,0.0,0.0,0,0,3,0,0,3,0,3,0,0,3,0.0,0.0,0,0,0,4,0.0,0,0,0,2,2,0,11,16,0,0,0,0,3,0,3,0,3,0,0,3,0,11,16,0,0,0,0,3,0,3,0,3,0,0,3,0,0,0,10,3,3,0,0,3,1,0,0,0,9,3,0,0,0,0,0,0,0
L214,FlipShareView$Builder,me.wangyuwei.flipshare.FlipShareView$Builder,L211,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\FlipShare\src\main\java\me\wangyuwei\flipshare\FlipShareView.java,602,5,658,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,8,3,1,0,7,15,0.0,0.0,0,0,0,9,0.0,0,0,0,0,0,0,47,57,7,0,7,0,8,0,8,4,8,22,0,8,4,47,57,7,0,7,0,8,0,8,4,8,22,0,8,4,0,0,20,0,3,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,1
L235,MainActivity$1,me.wangyuwei.flipshare.MainActivity$1,L204,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\me\wangyuwei\flipshare\MainActivity.java,52,86,62,18,1.0,1,1,1,1.0,1.0,11,9,2,0,0,2,2,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,1,1,0,0,1,9,11,0,0,0,0,2,0,2,0,2,1,0,2,0,9,11,0,0,0,0,2,0,2,0,2,1,0,2,0,0,0,23,0,1,0,15,0,1,0,0,0,7,1,0,0,0,0,0,0,0
L257,MainActivity$2,me.wangyuwei.flipshare.MainActivity$2,L204,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\me\wangyuwei\flipshare\MainActivity.java,107,92,117,18,1.0,1,1,1,1.0,1.0,11,9,2,0,0,2,2,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,1,1,0,0,1,9,11,0,0,0,0,2,0,2,0,2,1,0,2,0,9,11,0,0,0,0,2,0,2,0,2,1,0,2,0,0,0,23,0,1,0,15,0,1,0,0,0,7,1,0,0,0,0,0,0,0
L457,FlipShareView$1,me.wangyuwei.flipshare.FlipShareView$1,L408,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\FlipShare\src\main\java\me\wangyuwei\flipshare\FlipShareView.java,125,53,133,10,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,3,0,0,2,3,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,9,9,0,0,0,0,1,0,1,0,4,3,0,4,0,9,9,0,0,0,0,1,0,1,0,4,3,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L616,FlipShareView$2,me.wangyuwei.flipshare.FlipShareView$2,L586,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\FlipShare\src\main\java\me\wangyuwei\flipshare\FlipShareView.java,420,88,425,14,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L623,FlipShareView$3,me.wangyuwei.flipshare.FlipShareView$3,L586,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\FlipShare\src\main\java\me\wangyuwei\flipshare\FlipShareView.java,429,87,436,14,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,1,0,1,3,0,1,0,8,8,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
