ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L134,ApplicationTest,me.wangyuwei.qingtingbanner.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\me\wangyuwei\qingtingbanner\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L148,Banner,me.wangyuwei.qingtingbanner.Banner,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\me\wangyuwei\qingtingbanner\Banner.java,8,1,152,2,0,0,0,0,0,0,0,0,0,0,0,12,1,1,1,0,12,0.0769231,0.343284,23,23,1,12,0.194915,23,0,0,0,0,0,44,80,6,6,6,6,12,0,12,6,12,12,0,12,6,95,145,13,13,13,13,26,0,26,13,26,26,0,26,13,0,0,67,0,2,0,0,0,0,0,0,2,57,0,0,0,0,0,0,0,10
L242,MainActivity,me.wangyuwei.qingtingbanner.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\me\wangyuwei\qingtingbanner\MainActivity.java,22,1,73,2,0,0,0,0,0,0,0,0,1,1,1,4,5,0,0,5,7,1.0,0.15,6,4,1,0,0.136364,6,0,0,0,0,0,34,48,1,0,1,0,2,0,0,0,2,24,0,0,0,38,52,1,0,1,0,3,0,1,0,3,25,0,1,0,0,0,11,2,0,1,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0
L329,ExampleUnitTest,me.wangyuwei.qingtingbanner.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\me\wangyuwei\qingtingbanner\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L362,ApplicationTest,me.wangyuwei.banner.ApplicationTest,L336,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\banner\src\androidTest\java\me\wangyuwei\banner\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L266,BannerEntity,me.wangyuwei.banner.BannerEntity,L336,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\banner\src\main\java\me\wangyuwei\banner\BannerEntity.java,6,1,29,2,0,0,0,0,0,0,0,0,1,1,1,10,0,5,0,0,2,0.333333,0.142857,3,3,1,2,0.142857,3,0,0,0,0,0,18,24,2,0,2,0,2,2,2,0,2,11,2,2,0,18,24,2,0,2,0,2,2,2,0,2,11,2,2,0,0,0,11,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,4
L378,BannerLayout,me.wangyuwei.banner.BannerLayout,L336,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\banner\src\main\java\me\wangyuwei\banner\BannerLayout.java,15,1,43,2,0,0,0,0,0,0,0,0,0,1,1,5,1,1,1,0,4,0.2,0.111111,3,3,1,4,0.111111,3,0,0,0,0,0,24,29,2,0,2,0,4,0,4,1,4,10,0,4,1,24,29,2,0,2,0,4,0,4,1,4,10,0,4,1,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
L428,BannerLine,me.wangyuwei.banner.BannerLine,L336,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\banner\src\main\java\me\wangyuwei\banner\BannerLine.java,14,1,76,2,0,0,0,0,0,0,0,0,1,2,1,10,0,2,4,0,8,0.142857,0.0545455,3,3,1,6,0.0545455,3,0,0,0,0,0,52,63,7,0,7,0,8,0,6,3,8,24,0,6,3,52,63,7,0,7,0,8,0,6,3,8,24,0,6,3,0,0,20,0,1,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,1
L501,BannerPagerAdapter,me.wangyuwei.banner.BannerPagerAdapter,L336,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\banner\src\main\java\me\wangyuwei\banner\BannerPagerAdapter.java,14,1,75,2,0,0,0,0,0,0,0,0,2,1,1,9,3,2,2,2,10,0.125,0.0625,3,3,1,7,0.0555556,3,0,0,0,0,0,45,56,4,1,4,1,8,0,7,3,8,16,0,7,3,51,62,4,1,4,1,9,0,8,3,9,18,0,8,3,0,0,25,0,3,0,0,0,1,0,0,3,24,0,0,0,0,0,0,0,0
L249,BannerView,me.wangyuwei.banner.BannerView,L336,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\banner\src\main\java\me\wangyuwei\banner\BannerView.java,23,1,177,2,0,0,0,0,0,0,0,0,2,2,1,17,4,6,3,5,18,0.2,0.0961538,10,10,2,8,0.0714286,10,0,0,0,0,0,94,115,10,0,10,0,13,0,9,5,13,44,0,9,5,130,155,10,0,10,0,20,0,16,5,20,56,0,16,5,0,0,60,0,6,0,0,0,2,0,0,2,56,2,0,0,0,2,0,0,2
