ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L128,ExampleInstrumentedTest,com.lvr.livecircle.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\LiveCircle\app\src\androidTest\java\com\lvr\livecircle\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L5741,ExampleUnitTest,com.lvr.livecircle.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\LiveCircle\app\src\test\java\com\lvr\livecircle\ExampleUnitTest.java,12,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L165,CardAdapter,com.lvr.livecircle.adapter.CardAdapter,L151,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\LiveCircle\app\src\main\java\com\lvr\livecircle\adapter\CardAdapter.java,22,1,60,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,4,5,1,1,5,9,0.2,0.111111,3,3,1,4,0.0882353,3,0,0,0,0,0,24,30,3,1,3,1,4,0,4,0,4,8,0,4,0,31,39,4,1,4,1,5,1,5,0,5,10,1,5,0,0,0,22,0,3,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,6
L248,HomeViewPagerAdapter,com.lvr.livecircle.adapter.HomeViewPagerAdapter,L151,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\LiveCircle\app\src\main\java\com\lvr\livecircle\adapter\HomeViewPagerAdapter.java,14,1,22,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,1,1,1,2,4,0.333333,0.272727,3,3,1,2,0.272727,3,1,1,0,0,1,8,9,2,3,0,0,2,0,2,0,7,2,0,7,0,8,9,2,3,0,0,2,0,2,0,7,2,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L279,NewsChannelAdapter,com.lvr.livecircle.adapter.NewsChannelAdapter,L151,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\LiveCircle\app\src\main\java\com\lvr\livecircle\adapter\NewsChannelAdapter.java,28,1,139,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,15,6,5,4,4,15,0.111111,0.112676,8,6,1,8,0.1,10,1,1,0,0,1,63,82,5,2,5,2,11,0,8,2,11,25,0,8,2,90,112,9,2,9,2,15,0,12,2,15,34,0,12,2,0,0,42,3,5,2,0,0,0,0,0,6,41,0,0,0,0,0,0,0,1
L424,NewsChannelGridAdapter,com.lvr.livecircle.adapter.NewsChannelGridAdapter,L151,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\LiveCircle\app\src\main\java\com\lvr\livecircle\adapter\NewsChannelGridAdapter.java,20,1,69,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,6,2,1,1,2,7,0.166667,0.0697674,3,3,1,5,0.0638298,3,0,0,0,0,0,40,46,3,4,3,4,5,0,5,0,5,19,0,5,0,44,50,5,4,5,4,5,0,5,0,5,19,0,5,0,0,0,16,1,5,0,0,2,0,0,0,4,16,0,0,0,0,0,0,0,0
L465,NewsListAdapter,com.lvr.livecircle.adapter.NewsListAdapter,L151,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\LiveCircle\app\src\main\java\com\lvr\livecircle\adapter\NewsListAdapter.java,37,1,346,2,0.0,0,0,0,0.0,0.0,0,0,1,5,2,42,13,4,3,22,38,0.111111,0.118182,26,13,1,8,0.0921986,26,0,0,0,0,0,194,241,9,4,9,4,16,0,8,9,16,122,0,8,9,256,310,22,4,22,4,22,0,14,9,22,147,0,14,9,0,0,71,2,14,2,0,0,0,0,1,14,65,0,0,0,0,0,0,0,5
L730,PhotoListAdapter,com.lvr.livecircle.adapter.PhotoListAdapter,L151,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\LiveCircle\app\src\main\java\com\lvr\livecircle\adapter\PhotoListAdapter.java,20,1,56,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,5,3,1,1,3,8,0.166667,0.107143,3,3,1,5,0.0857143,3,0,0,0,0,0,25,29,3,2,3,2,5,0,5,0,5,7,0,5,0,32,37,4,2,4,2,6,0,6,0,6,9,0,6,0,0,0,18,0,3,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0
L772,ApiConstants,com.lvr.livecircle.api.ApiConstants,L767,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\LiveCircle\app\src\main\java\com\lvr\livecircle\api\ApiConstants.java,19,1,82,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,3,0,2,2,0,1,0.5,0.458333,22,22,1,1,0.458333,22,0,0,0,0,0,26,64,13,1,13,1,1,13,1,0,1,5,13,1,0,26,64,13,1,13,1,1,13,1,0,1,5,13,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
L836,HostType,com.lvr.livecircle.api.HostType,L767,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\LiveCircle\app\src\main\java\com\lvr\livecircle\api\HostType.java,19,1,41,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.666667,12,12,0,1,0.666667,12,0,0,0,0,0,6,23,4,0,4,0,0,4,0,0,0,0,4,0,0,6,23,4,0,4,0,0,4,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
