ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L117,LatencyComparativeLoggingDemo,LatencyComparativeLoggingDemo,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\examples\java\LatencyComparativeLoggingDemo.java,39,1,152,2,0.470219,3,3,3,0.280702,0.377049,32,23,1,1,1,3,4,2,0,3,5,0.5,0.444444,32,23,1,1,0.478632,56,0,0,0,0,0,40,71,9,0,9,0,2,0,1,0,2,25,0,1,0,61,114,11,0,11,0,4,0,3,0,4,34,0,3,0,0,1,29,0,18,1,18,16,0,0,0,0,9,0,2,0,0,0,0,0,2
L252,LatencyLoggingDemo,LatencyLoggingDemo,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\examples\java\LatencyLoggingDemo.java,34,1,132,2,0.530364,3,3,3,0.292929,0.4,29,20,1,1,1,3,4,2,0,3,5,0.5,0.442623,27,18,1,1,0.5,50,0,0,0,0,0,34,63,8,0,8,0,2,0,1,0,2,20,0,1,0,50,99,9,0,9,0,4,0,3,0,4,25,0,3,0,0,1,27,0,16,1,18,14,0,0,0,0,7,0,2,0,0,0,0,0,2
L303,LatencyStatsDemo,LatencyStatsDemo,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\examples\java\LatencyStatsDemo.java,21,1,91,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,4,2,0,2,3,0.5,0.551724,16,8,1,1,0.528571,37,0,0,0,0,0,13,34,4,0,4,0,1,0,1,0,1,6,0,1,0,33,71,6,0,6,0,3,0,3,0,3,14,0,3,0,0,1,7,3,12,3,0,12,0,0,0,0,7,0,1,0,0,0,0,0,0
L146,LatencyComparativeLoggingDemo$Recorder,LatencyComparativeLoggingDemo$Recorder,L117,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\examples\java\LatencyComparativeLoggingDemo.java,56,5,62,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,1,0,1,2,0.5,0.4,4,3,1,1,0.4,4,0,0,0,0,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
L163,LatencyComparativeLoggingDemo$Reporter,LatencyComparativeLoggingDemo$Reporter,L117,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\examples\java\LatencyComparativeLoggingDemo.java,68,5,103,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,1,0,4,5,0.5,0.571429,20,15,1,1,0.571429,20,0,0,0,0,0,15,36,2,0,2,0,1,0,1,0,1,8,0,1,0,15,36,2,0,2,0,1,0,1,0,1,8,0,1,0,0,0,1,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
L264,LatencyLoggingDemo$Recorder,LatencyLoggingDemo$Recorder,L252,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\examples\java\LatencyLoggingDemo.java,50,5,56,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,1,0,1,2,0.5,0.4,4,3,1,1,0.4,4,0,0,0,0,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
L270,LatencyLoggingDemo$Reporter,LatencyLoggingDemo$Reporter,L252,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\examples\java\LatencyLoggingDemo.java,62,5,90,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,1,0,2,3,0.5,0.655172,19,15,1,1,0.655172,19,0,0,0,0,0,10,29,1,0,1,0,1,0,1,0,1,4,0,1,0,10,29,1,0,1,0,1,0,1,0,1,4,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
L311,LatencyStatsDemo$Recorder,LatencyStatsDemo$Recorder,L303,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\examples\java\LatencyStatsDemo.java,32,5,38,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,1,0,1,2,0.5,0.4,4,3,1,1,0.4,4,0,0,0,0,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
L317,LatencyStatsDemo$Reporter,LatencyStatsDemo$Reporter,L303,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\examples\java\LatencyStatsDemo.java,44,5,73,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,1,0,2,3,0.5,0.548387,17,15,1,1,0.548387,17,0,0,0,0,0,14,30,2,0,2,0,1,0,1,0,1,7,0,1,0,14,30,2,0,2,0,1,0,1,0,1,7,0,1,0,0,0,3,3,5,3,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0
L373,IntervalEstimator,org.LatencyUtils.IntervalEstimator,L351,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\org\LatencyUtils\IntervalEstimator.java,11,1,26,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,3,3,0,2,1.0,0.764706,13,13,3,0,0.764706,13,0,0,1,2,0,4,16,0,1,0,1,2,0,2,0,2,0,0,2,0,4,16,0,1,0,1,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
