ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L173,GuideHelper,com.shizhefei.guide.GuideHelper,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\shizhefei\guide\GuideHelper.java,45,1,533,2,0,0,0,0,0,0,0,0,1,5,5,61,3,6,3,2,16,0.166667,0.107362,35,16,2,10,0.0953488,41,0,0,0,0,0,291,369,10,1,10,1,14,1,11,1,14,190,1,11,1,389,489,23,1,23,1,29,1,26,7,29,232,1,26,7,0,0,92,6,21,7,0,14,0,3,0,6,74,0,0,0,0,0,0,0,15
L294,InnerChildRelativeLayout,com.shizhefei.guide.InnerChildRelativeLayout,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\shizhefei\guide\InnerChildRelativeLayout.java,12,1,63,2,0,0,0,0,0,0,0,0,1,4,3,12,0,1,1,0,4,0.25,0.0576923,3,3,1,3,0.0576923,3,0,0,0,0,0,49,52,0,0,0,0,4,0,3,0,4,32,0,3,0,49,52,0,0,0,0,4,0,3,0,4,32,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
L660,DisplayUtils,com.shizhefei.util.DisplayUtils,L657,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shizhefei\util\DisplayUtils.java,14,1,109,2,0,0,0,0,0,0,0,0,6,3,2,18,0,1,1,0,11,0.25,0.277108,23,18,3,9,0.277108,23,0,0,0,0,0,60,96,1,5,1,5,11,0,11,0,11,27,0,11,0,60,96,1,5,1,5,11,0,11,0,11,27,0,11,0,0,0,16,0,3,0,0,3,1,0,0,0,15,0,0,0,0,0,0,0,0
L132,MainActivity,com.shizhefei.guide.demo.MainActivity,L122,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shizhefei\guide\demo\MainActivity.java,13,1,82,2,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,9,10,0.0,0.0,0,0,0,1,0.0392157,2,0,0,0,0,0,17,25,4,0,4,0,1,0,0,0,1,7,0,0,0,49,70,4,0,4,0,4,0,3,0,4,28,0,3,0,0,0,20,0,1,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
L372,GuideHelper$3,com.shizhefei.guide.GuideHelper$3,L173,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\shizhefei\guide\GuideHelper.java,178,67,186,6,0,0,0,0,0,0,0,0,1,2,1,4,2,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,1,0,1,4,0,1,0,9,9,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L180,GuideHelper$TipData,com.shizhefei.guide.GuideHelper$TipData,L173,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\shizhefei\guide\GuideHelper.java,445,5,519,6,0,0,0,0,0,0,0,0,0,0,0,10,0,4,2,0,10,0.0,0.0967742,6,6,0,11,0.0967742,6,0,0,0,0,0,56,75,10,0,10,0,10,0,10,6,10,24,0,10,6,56,75,10,0,10,0,10,0,10,6,10,24,0,10,6,0,0,26,2,4,2,0,4,0,0,0,0,23,0,0,0,0,0,0,0,3
L230,GuideHelper$TipPage,com.shizhefei.guide.GuideHelper$TipPage,L173,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\shizhefei\guide\GuideHelper.java,521,5,531,6,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,10,11,3,0,3,0,1,0,1,0,1,3,0,1,0,10,11,3,0,3,0,1,0,1,0,1,3,0,1,0,0,0,5,1,4,2,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0
L164,MainActivity$1,com.shizhefei.guide.demo.MainActivity$1,L132,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shizhefei\guide\demo\MainActivity.java,35,79,81,6,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,2,3,0.0,0.0714286,2,0,0,2,0.0555556,2,0,0,0,0,0,26,39,0,0,0,0,1,0,1,0,1,19,0,1,0,34,47,0,0,0,0,3,0,3,0,3,21,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
L337,GuideHelper$1,com.shizhefei.guide.GuideHelper$1,L221,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\shizhefei\guide\GuideHelper.java,126,65,135,10,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,9,10,0,0,0,0,1,0,1,0,1,3,0,1,0,9,10,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L357,GuideHelper$2,com.shizhefei.guide.GuideHelper$2,L345,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\shizhefei\guide\GuideHelper.java,162,37,167,10,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
