ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L196,IconDrawable,com.malinskiy.materialicons.IconDrawable,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-material-icons\src\main\java\com\malinskiy\materialicons\IconDrawable.java,22,1,195,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,19,3,2,1,3,21,0.526316,0.397516,64,64,10,9,0.397516,64,0,0,0,0,0,97,174,6,3,6,3,18,1,18,4,18,44,1,18,4,97,174,6,3,6,3,18,1,18,4,18,44,1,18,4,0,0,26,0,2,0,0,0,1,0,0,1,19,0,1,0,0,0,0,0,6
L189,Iconify,com.malinskiy.materialicons.Iconify,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-material-icons\src\main\java\com\malinskiy\materialicons\Iconify.java,15,1,985,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,13,2,6,5,2,9,0.333333,0.157895,9,8,2,4,0.00942408,9,0,0,0,0,0,48,68,3,2,3,2,7,1,5,1,7,22,1,5,1,946,971,890,2,890,2,10,887,7,1,10,25,887,7,1,0,2,36,0,5,0,0,4,1,0,0,0,20,0,0,0,2,1,0,0,15
L1410,Utils,com.malinskiy.materialicons.Utils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-material-icons\src\main\java\com\malinskiy\materialicons\Utils.java,13,1,98,2,0.0,0,0,0,0.0,0.0,0,0,4,2,2,17,2,3,5,0,6,0.0,0.0273973,2,0,0,2,0.0273973,2,0,0,0,0,0,71,86,2,0,2,0,6,2,1,0,6,44,2,1,0,71,86,2,0,2,0,6,2,1,0,6,44,2,1,0,0,2,18,0,14,3,0,8,1,0,0,2,13,0,2,0,0,1,0,0,4
L1575,UtilsTest,com.malinskiy.materialicons.UtilsTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-material-icons\src\test\java\com\malinskiy\materialicons\UtilsTest.java,8,1,44,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,7,2,0,0,1,8,0.0,0.0,0,0,0,7,0.0,0,0,0,0,0,0,29,37,0,0,0,0,7,0,6,0,7,7,0,6,0,29,37,0,0,0,0,7,0,6,0,7,7,0,6,0,0,0,17,6,1,7,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
L141,IconDetailsActivity,com.malinskiy.materialicons.sample.IconDetailsActivity,L129,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-material-icons-sample\src\main\java\com\malinskiy\materialicons\sample\IconDetailsActivity.java,12,1,36,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,4,1,1,0,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,20,25,2,0,2,0,2,2,1,0,2,11,2,1,0,20,25,2,0,2,0,2,2,1,0,2,11,2,1,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4
L203,IconsAdapter,com.malinskiy.materialicons.sample.IconsAdapter,L129,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-material-icons-sample\src\main\java\com\malinskiy\materialicons\sample\IconsAdapter.java,13,1,49,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,4,4,1,1,3,7,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,22,27,0,1,0,1,4,0,4,0,4,8,0,4,0,31,37,2,1,2,1,5,2,5,0,5,11,2,5,0,0,0,23,0,2,0,0,1,1,0,0,0,16,1,0,0,0,0,0,0,6
L159,MainActivity,com.malinskiy.materialicons.sample.MainActivity,L129,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-material-icons-sample\src\main\java\com\malinskiy\materialicons\sample\MainActivity.java,15,1,79,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,5,2,2,0,1,6,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,33,43,4,0,4,0,5,0,4,0,5,13,0,4,0,48,65,4,0,4,0,6,0,5,0,6,22,0,5,0,0,0,19,2,3,0,0,1,1,0,0,2,18,2,0,0,0,0,0,0,0
L1505,IconButton,com.malinskiy.materialicons.widget.IconButton,L1501,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-material-icons\src\main\java\com\malinskiy\materialicons\widget\IconButton.java,11,1,50,2,0.598425,1,3,1,0.425,0.470588,17,16,1,2,1,7,1,0,0,3,8,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,34,40,0,0,0,0,5,0,4,1,5,17,0,4,1,34,40,0,0,0,0,5,0,4,1,5,17,0,4,1,0,0,25,0,1,0,12,1,0,0,0,0,13,0,0,0,0,0,0,0,0
L1553,IconTextView,com.malinskiy.materialicons.widget.IconTextView,L1501,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-material-icons\src\main\java\com\malinskiy\materialicons\widget\IconTextView.java,11,1,51,2,0.598425,1,3,1,0.414634,0.470588,17,16,1,2,1,7,1,0,0,3,8,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,34,41,0,0,0,0,5,0,4,1,5,17,0,4,1,34,41,0,0,0,0,5,0,4,1,5,17,0,4,1,0,0,25,0,1,0,12,1,0,0,0,0,13,0,0,0,0,0,0,0,0
L204,IconsAdapter$ViewHolder,com.malinskiy.materialicons.sample.IconsAdapter$ViewHolder,L203,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-material-icons-sample\src\main\java\com\malinskiy\materialicons\sample\IconsAdapter.java,15,5,24,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,1,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,9,10,2,0,2,0,1,2,1,0,1,3,2,1,0,9,10,2,0,2,0,1,2,1,0,1,3,2,1,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4
