ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L136,ApplicationTest,com.mariux.teleport.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\mobile\src\androidTest\java\com\mariux\teleport\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L150,MobileActivity,com.mariux.teleport.MobileActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\mobile\src\main\java\com\mariux\teleport\MobileActivity.java,15,1,133,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,9,3,2,0,7,15,0.0,0.272727,18,12,0,6,0.240964,20,0,0,0,0,0,48,93,3,0,3,0,8,0,5,0,8,21,0,5,0,63,119,3,0,3,0,10,0,5,0,12,26,0,5,0,0,0,23,0,3,0,0,3,1,0,0,0,22,0,0,0,0,0,0,0,0
L717,WearActivity,com.mariux.teleport.WearActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\wear\src\main\java\com\mariux\teleport\WearActivity.java,12,1,128,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,5,4,0,5,8,0.0,0.52459,32,0,0,1,0.426829,35,0,0,0,0,0,29,91,4,0,4,0,3,0,0,0,3,13,0,0,0,47,117,4,0,4,0,6,0,1,0,8,19,0,1,0,0,0,18,2,3,1,0,3,0,0,0,1,18,0,0,0,0,0,0,0,0
L753,WearService,com.mariux.teleport.WearService,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\wear\src\main\java\com\mariux\teleport\WearService.java,13,1,67,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,2,3,0.5,0.774194,24,3,1,1,0.590909,26,1,1,0,0,1,7,39,8,4,0,0,1,0,1,0,26,2,0,24,7,18,55,8,4,0,0,2,0,1,0,28,7,0,24,7,0,1,5,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L241,MobileActivity$ShowToastOnSyncDataItemTask,com.mariux.teleport.MobileActivity$ShowToastOnSyncDataItemTask,L150,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\mobile\src\main\java\com\mariux\teleport\MobileActivity.java,103,5,116,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,3,1,0,1,2,0.0,0.111111,1,0,0,1,0.111111,1,1,1,0,0,1,8,14,0,0,0,0,1,0,0,0,2,3,0,0,0,8,14,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L256,MobileActivity$ShowToastFromOnGetMessageTask,com.mariux.teleport.MobileActivity$ShowToastFromOnGetMessageTask,L150,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\mobile\src\main\java\com\mariux\teleport\MobileActivity.java,119,5,130,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,3,1,0,1,2,0.0,0.125,1,0,0,1,0.125,1,1,1,0,0,1,7,12,0,0,0,0,1,0,0,0,2,2,0,0,0,7,12,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L311,ApplicationTest,com.mariux.teleport.lib.ApplicationTest,L293,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\teleportlib\src\androidTest\java\com\mariux\teleport\lib\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L158,TeleportClient,com.mariux.teleport.lib.TeleportClient,L293,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\teleportlib\src\main\java\com\mariux\teleport\lib\TeleportClient.java,37,1,466,2,0.412169,5,18,5,0.24186,0.335968,104,85,7,3,3,47,7,9,14,4,36,0.322581,0.233202,59,35,10,21,0.219136,71,0,0,0,0,0,194,344,9,4,9,4,32,0,30,7,32,88,0,30,7,253,430,9,4,9,4,45,0,36,7,45,101,0,36,7,0,0,165,1,6,1,58,2,1,0,0,0,99,4,0,0,0,0,0,0,7
L543,TeleportService,com.mariux.teleport.lib.TeleportService,L293,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\teleportlib\src\main\java\com\mariux\teleport\lib\TeleportService.java,34,1,417,2,0.467186,5,18,5,0.276042,0.384615,106,85,3,3,3,40,7,5,3,4,29,0.416667,0.265766,59,57,10,14,0.237931,69,0,0,1,1,0,163,299,8,4,8,4,25,0,23,7,25,80,0,23,7,221,384,8,4,8,4,38,0,29,7,38,93,0,29,7,0,0,151,0,2,0,58,2,1,0,0,0,86,0,0,0,0,0,0,0,6
L734,WearActivity$ShowToastOnSyncDataItemTask,com.mariux.teleport.WearActivity$ShowToastOnSyncDataItemTask,L717,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\wear\src\main\java\com\mariux\teleport\WearActivity.java,100,5,110,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,3,1,0,1,2,1.0,0.125,1,1,1,0,0.125,1,1,1,0,0,1,7,11,0,0,0,0,1,0,0,0,2,3,0,0,0,7,11,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
