ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L133,ApplicationTest,org.jokar.permissiondispatcher.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\org\jokar\permissiondispatcher\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L147,MainActivity,org.jokar.permissiondispatcher.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\org\jokar\permissiondispatcher\MainActivity.java,23,1,115,2,0.0,0,0,0,0.0,0.0,0,0,8,1,1,13,6,0,0,0,10,0.0,0.0422535,3,2,0,3,0.0379747,3,0,0,0,0,0,68,84,2,0,2,0,10,0,2,0,10,22,0,2,0,76,93,2,0,2,0,12,0,4,0,12,24,0,4,0,0,0,34,3,7,1,0,6,1,0,0,2,33,0,0,0,0,1,0,0,0
L274,ExampleUnitTest,org.jokar.permissiondispatcher.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\org\jokar\permissiondispatcher\ExampleUnitTest.java,13,1,19,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L306,ApplicationTest,org.jokar.permissiondispatcher.annotation.ApplicationTest,L278,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\org\jokar\permissiondispatcher\annotation\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L333,ExampleUnitTest,org.jokar.permissiondispatcher.annotation.ExampleUnitTest,L278,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\org\jokar\permissiondispatcher\annotation\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L347,PermissionUtils,org.jokar.permissiondispatcher.library.PermissionUtils,L337,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\android\org.jokar.permissiondispatcher.library\PermissionUtils.java,19,1,186,2,0.0,0,0,0,0.0,0.0,0,0,3,2,2,27,0,0,0,0,8,1.0,0.377483,57,54,5,0,0.377483,57,0,0,0,0,0,94,168,2,1,2,1,8,0,4,0,8,39,0,4,0,94,168,2,1,2,1,8,0,4,0,8,39,0,4,0,0,0,5,2,3,0,0,0,1,0,0,4,4,0,0,0,0,1,0,0,0
L661,JavaFileBuilder,org.jokar.permissiondispatcher.processor.JavaFileBuilder,L446,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\processor\src\main\java\org\jokar\permissiondispatcher\processor\JavaFileBuilder.java,38,1,571,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,73,7,1,1,23,45,1.0,0.09375,42,8,2,0,0.09375,42,0,0,0,0,0,406,534,5,0,5,0,22,0,1,0,22,193,0,1,0,406,534,5,0,5,0,22,0,1,0,22,193,0,1,0,0,1,51,2,3,1,0,2,0,1,3,0,44,0,3,0,0,0,0,0,3
L856,PermissionsProcessor,org.jokar.permissiondispatcher.processor.PermissionsProcessor,L446,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\processor\src\main\java\org\jokar\permissiondispatcher\processor\PermissionsProcessor.java,32,1,97,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,10,5,0,0,2,10,0.125,0.0517241,3,3,1,7,0.0517241,3,1,1,0,0,1,55,66,4,2,4,2,8,0,7,0,8,22,0,7,0,55,66,4,2,4,2,8,0,7,0,8,22,0,7,0,0,0,20,0,1,0,0,0,1,0,0,0,19,0,0,0,1,0,0,0,0
L567,RuntimePermissionsElement,org.jokar.permissiondispatcher.processor.RuntimePermissionsElement,L446,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\processor\src\main\java\org\jokar\permissiondispatcher\processor\RuntimePermissionsElement.java,37,1,168,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,20,9,5,14,13,32,0.0588235,0.0285714,3,3,1,16,0.0285714,3,0,0,0,0,0,102,132,11,11,11,11,19,0,16,0,19,49,0,16,0,102,132,11,11,11,11,19,0,16,0,19,49,0,16,0,0,1,46,0,14,3,0,0,0,0,0,11,41,0,1,0,0,0,0,0,5
L218,MainActivity$2,org.jokar.permissiondispatcher.MainActivity$2,L206,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\org\jokar\permissiondispatcher\MainActivity.java,58,82,64,18,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
