ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L128,cachedClassLoader,de.anomic.ftpd.cachedClassLoader,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\de\anomic\ftpd\cachedClassLoader.java,31,1,98,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,8,0,1,1,0,3,0.0,0.263158,15,0,0,4,0.263158,15,0,0,0,0,0,42,68,1,0,1,0,3,0,3,0,3,27,0,3,0,42,68,1,0,1,0,3,0,3,0,3,27,0,3,0,0,1,5,3,3,3,0,2,0,0,0,1,5,0,0,0,0,1,0,0,0
L209,ftpd,de.anomic.ftpd.ftpd,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\de\anomic\ftpd\ftpd.java,37,1,373,2,0.0990453,1,10,2,0.0949555,0.115523,32,32,1,5,5,85,5,2,4,10,19,0.5,0.150602,50,4,4,4,0.150602,50,0,0,0,0,0,282,337,15,0,15,0,9,12,7,0,9,171,12,7,0,282,337,15,0,15,0,9,12,7,0,9,171,12,7,0,0,8,42,57,29,60,9,19,0,6,1,3,15,0,2,0,3,7,0,0,11
L396,ftpdControl,de.anomic.ftpd.ftpdControl,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\de\anomic\ftpd\ftpdControl.java,51,1,858,2,0.0421115,1,8,2,0.039604,0.0430464,32,26,4,8,4,185,7,3,19,19,57,0.2,0.212435,164,50,1,4,0.212435,164,0,0,1,1,0,608,808,11,0,11,0,38,2,4,0,38,369,2,4,0,608,808,11,0,11,0,38,2,4,0,38,369,2,4,0,0,15,96,30,73,20,15,50,1,8,1,6,59,3,9,0,1,29,0,0,12
L735,ftpdPermissions,de.anomic.ftpd.ftpdPermissions,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\de\anomic\ftpd\ftpdPermissions.java,42,1,205,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,35,2,3,14,1,13,0.307692,0.144828,21,18,4,9,0.144828,21,0,0,0,0,0,124,164,5,5,5,5,12,3,12,0,12,71,3,12,0,124,164,5,5,5,5,12,3,12,0,12,71,3,12,0,0,0,28,5,16,5,0,13,0,1,0,0,23,0,0,0,0,3,0,0,4
L795,ftpdProtocol,de.anomic.ftpd.ftpdProtocol,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\de\anomic\ftpd\ftpdProtocol.java,45,1,771,2,0.171978,3,34,6,0.13205,0.14711,96,84,9,5,5,186,7,0,0,37,81,0.047619,0.154412,105,13,2,40,0.154412,105,1,2,0,0,2,575,727,19,0,8,0,44,0,41,0,82,438,2,45,0,575,727,19,0,8,0,44,0,41,0,82,438,2,45,0,0,9,135,15,91,3,41,76,1,7,1,3,75,0,18,1,0,15,0,0,9
L340,ftpdSwitchboard,de.anomic.ftpd.ftpdSwitchboard,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\de\anomic\ftpd\ftpdSwitchboard.java,28,1,57,2,0.0,0,0,0,0.0,0.0,0,0,5,0,0,6,1,2,2,3,9,0.0,0.173913,4,0,0,7,0.173913,4,2,2,0,0,1,19,30,3,2,0,0,6,0,6,0,16,4,0,15,1,19,30,3,2,0,0,6,0,6,0,16,4,0,15,1,0,0,8,3,0,3,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L1056,serverAbstractSwitch,de.anomic.ftpd.serverAbstractSwitch,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\de\anomic\ftpd\serverAbstractSwitch.java,34,1,157,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,22,1,2,4,0,14,0.0,0.140187,15,1,0,14,0.140187,15,1,1,1,1,1,92,124,3,2,3,2,14,0,13,1,14,45,0,13,1,92,124,3,2,3,2,14,0,13,1,14,45,0,13,1,0,2,27,8,4,8,0,3,0,0,0,1,27,0,0,0,0,2,0,0,0
L384,serverCore,de.anomic.ftpd.serverCore,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\de\anomic\ftpd\serverCore.java,40,1,566,2,0.0969163,1,10,2,0.0550285,0.0680751,29,29,3,4,4,46,2,5,9,2,11,0.333333,0.194946,54,13,3,6,0.167641,86,0,0,0,0,0,223,284,22,0,22,0,9,4,8,0,9,129,4,8,0,427,527,31,0,31,0,20,8,18,1,20,251,8,18,1,0,17,87,20,49,19,17,29,1,10,0,13,42,0,21,0,2,2,0,0,17
L1349,systemUtils,de.anomic.ftpd.systemUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\de\anomic\ftpd\systemUtils.java,31,1,278,2,0.184352,2,14,4,0.21371,0.233161,53,45,1,3,3,58,0,1,2,0,10,0.0,0.222222,56,5,0,11,0.222222,56,0,0,0,0,0,196,248,18,3,18,3,10,8,10,2,10,84,8,10,2,196,248,18,3,18,3,10,8,10,2,10,84,8,10,2,0,6,49,10,34,3,27,23,0,0,0,6,15,0,7,0,0,11,0,0,7
L805,serverCore$Session,de.anomic.ftpd.serverCore$Session,L384,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\de\anomic\ftpd\serverCore.java,240,2,482,3,0.185968,1,10,2,0.119342,0.142157,29,29,1,7,5,46,2,3,7,5,16,0.0,0.135593,32,4,0,11,0.135593,32,0,0,0,0,0,204,243,9,0,9,0,11,4,10,1,11,122,4,10,1,204,243,9,0,9,0,11,4,10,1,11,122,4,10,1,0,13,53,11,17,10,15,14,0,5,0,3,25,0,13,0,1,0,0,0,8
