ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L128,ActivityResumedIdlingResource,me.panavtec.cleancontacts.ActivityResumedIdlingResource,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\me\panavtec\cleancontacts\ActivityResumedIdlingResource.java,9,1,61,2,0.0,0,0,0,0.0,0.0,0,0,8,1,1,15,0,1,1,0,12,0.0,0.0,0,0,0,13,0.0,0,0,0,0,0,0,40,53,2,1,2,1,12,0,12,0,12,10,0,12,0,40,53,2,1,2,1,12,0,12,0,12,10,0,12,0,0,0,28,0,6,0,0,0,1,0,0,0,27,6,0,0,0,0,0,0,0
L200,CleanContactsRunner,me.panavtec.cleancontacts.CleanContactsRunner,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\me\panavtec\cleancontacts\CleanContactsRunner.java,15,1,44,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,1,0,0,0,3,0.0,0.0869565,2,0,0,4,0.0869565,2,0,0,0,0,0,21,30,1,0,1,0,3,0,3,0,3,11,0,3,0,21,30,1,0,1,0,3,0,3,0,3,11,0,3,0,0,0,10,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
L262,CleanContactsApp,me.panavtec.cleancontacts.CleanContactsApp,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\me\panavtec\cleancontacts\CleanContactsApp.java,8,1,37,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,6,1,4,2,1,7,0.0,0.0,0,0,0,6,0.0,0,0,0,0,0,0,23,30,1,1,1,1,6,0,5,1,6,8,0,5,1,23,30,1,1,1,1,6,0,5,1,6,8,0,5,1,0,0,16,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0
L279,DaggerActivityTestRule<T extends Activity>,me.panavtec.cleancontacts.di.DaggerActivityTestRule,L265,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\me\panavtec\cleancontacts\di\DaggerActivityTestRule.java,13,1,39,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,5,5,1,1,2,7,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,22,27,0,0,0,0,5,0,4,0,5,8,0,4,0,22,27,0,0,0,0,5,0,4,0,5,8,0,4,0,0,0,14,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0
L323,TestModule,me.panavtec.cleancontacts.di.TestModule,L265,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\me\panavtec\cleancontacts\di\TestModule.java,9,1,18,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,8,10,0,0,0,0,1,0,0,0,1,1,0,0,0,8,10,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
L343,ActivityModule,me.panavtec.cleancontacts.di.ActivityModule,L265,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\me\panavtec\cleancontacts\di\ActivityModule.java,17,1,63,2,0.0,0,0,0,0.0,0.0,0,0,5,0,0,10,9,3,1,3,13,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,35,47,1,0,1,0,10,0,1,0,10,10,0,1,0,35,47,1,0,1,0,10,0,1,0,10,10,0,1,0,0,0,24,0,10,0,0,9,1,0,0,1,23,0,0,0,0,0,0,0,0
L394,ApiModule,me.panavtec.cleancontacts.di.ApiModule,L265,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\me\panavtec\cleancontacts\di\ApiModule.java,25,1,77,2,0.0,0,0,0,0.0,0.0,0,0,7,1,1,8,12,1,0,2,9,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,42,53,0,0,0,0,7,0,0,0,7,15,0,0,0,42,53,0,0,0,0,7,0,0,0,7,15,0,0,0,0,0,19,0,7,0,0,7,1,0,1,0,17,0,0,0,0,0,0,0,0
L308,AppModule,me.panavtec.cleancontacts.di.AppModule,L265,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\me\panavtec\cleancontacts\di\AppModule.java,11,1,33,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,6,3,2,0,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,19,23,1,0,1,0,3,0,1,0,3,3,0,1,0,19,23,1,0,1,0,3,0,1,0,3,3,0,1,0,0,0,10,0,2,0,0,2,1,0,0,0,9,0,0,0,0,0,0,0,0
L490,BddModule,me.panavtec.cleancontacts.di.BddModule,L265,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\me\panavtec\cleancontacts\di\BddModule.java,24,1,60,2,0.0,0,0,0,0.0,0.0,0,0,7,0,0,8,14,1,0,6,13,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,30,37,0,0,0,0,7,0,1,0,7,7,0,1,0,30,37,0,0,0,0,7,0,1,0,7,7,0,1,0,0,0,19,0,6,0,0,6,1,0,1,0,17,0,0,0,0,0,0,0,0
L465,DataModule,me.panavtec.cleancontacts.di.DataModule,L265,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\me\panavtec\cleancontacts\di\DataModule.java,12,1,31,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,3,6,1,0,0,3,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,17,20,0,0,0,0,3,0,0,0,3,3,0,0,0,17,20,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,10,0,3,0,0,3,1,0,0,0,9,0,0,0,0,0,0,0,0
