ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L432,ImageDecoder,com.schinizer.rxunfurl.ImageDecoder,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxunfurl\src\main\java\com\schinizer\rxunfurl\ImageDecoder.java,15,1,77,2,0.0,0,0,0,0.0,0.0,0,0,4,3,3,10,1,3,6,1,5,1.0,0.14,7,3,1,0,0.14,7,0,0,0,0,0,43,63,3,0,3,0,4,0,0,0,4,27,0,0,0,43,63,3,0,3,0,4,0,0,0,4,27,0,0,0,0,0,11,0,5,0,0,5,1,0,0,0,10,0,0,0,0,0,0,0,0
L206,RxUnfurl,com.schinizer.rxunfurl.RxUnfurl,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxunfurl\src\main\java\com\schinizer\rxunfurl\RxUnfurl.java,32,1,244,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,4,3,8,7,0,4,0.0,0.121951,5,0,0,2,0.0729167,14,0,0,0,0,0,36,47,3,0,3,0,4,0,1,0,4,5,0,1,0,178,213,5,0,5,0,15,0,12,0,15,75,0,12,0,0,0,64,3,6,3,0,1,1,3,0,3,59,0,2,0,0,0,0,0,1
L624,ImageDecoderTest,com.schinizer.rxunfurl.ImageDecoderTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxunfurl\src\test\java\com\schinizer\rxunfurl\ImageDecoderTest.java,19,1,76,2,0.984127,1,10,5,0.862069,0.9375,50,45,1,0,0,10,2,0,0,6,11,0.166667,0.0588235,3,3,1,5,0.0588235,3,0,0,0,0,0,48,58,1,0,1,0,5,0,5,0,5,25,0,5,0,48,58,1,0,1,0,5,0,5,0,5,25,0,5,0,0,5,43,0,16,15,30,0,0,0,0,1,13,0,0,0,0,5,0,0,0
L650,RxUnfurlTest,com.schinizer.rxunfurl.RxUnfurlTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxunfurl\src\test\java\com\schinizer\rxunfurl\RxUnfurlTest.java,26,1,168,2,0.212339,1,8,2,0.251748,0.259542,36,34,2,1,1,14,3,4,2,2,8,0.25,0.0416667,3,3,1,3,0.0223881,3,0,0,0,0,0,69,81,2,0,2,0,6,1,3,0,6,31,1,3,0,131,143,2,0,2,0,12,1,9,0,12,41,1,9,0,0,0,91,5,10,3,41,7,1,0,0,1,45,0,2,0,0,2,0,0,4
L158,MainActivityTest,com.schinizer.rxunfurl.sample.MainActivityTest,L129,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\schinizer\rxunfurl\sample\MainActivityTest.java,21,1,49,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,20,29,1,0,1,0,1,1,1,0,1,11,1,1,0,20,29,1,0,1,0,1,1,1,0,1,11,1,1,0,0,0,9,1,1,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,4
L168,MainActivity,com.schinizer.rxunfurl.sample.MainActivity,L129,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\schinizer\rxunfurl\sample\MainActivity.java,26,1,77,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,4,0,0,5,7,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,36,46,4,0,4,0,2,0,0,0,2,17,0,0,0,42,52,4,0,4,0,3,0,1,0,3,20,0,1,0,0,0,12,0,6,0,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0
L202,UrlPreviewItem,com.schinizer.rxunfurl.sample.UrlPreviewItem,L129,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\schinizer\rxunfurl\sample\UrlPreviewItem.java,22,1,133,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,13,6,2,1,6,13,0.714286,0.173913,12,11,5,2,0.175258,17,2,2,0,0,1,57,88,4,3,4,3,7,0,6,1,7,27,0,6,1,80,112,10,3,10,3,9,0,7,1,9,30,0,7,1,0,1,25,0,11,0,0,11,0,0,0,0,23,0,1,0,0,0,0,0,2
L265,UrlPreviewItemPresenter,com.schinizer.rxunfurl.sample.UrlPreviewItemPresenter,L129,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\schinizer\rxunfurl\sample\UrlPreviewItemPresenter.java,15,1,56,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,5,5,3,2,2,6,0.333333,0.103448,3,3,1,2,0.0769231,3,2,2,0,0,1,26,31,3,0,3,0,4,0,2,1,4,6,0,2,1,36,42,3,0,3,0,6,0,4,1,6,10,0,4,1,0,0,19,1,1,1,0,0,1,0,0,0,18,0,0,0,0,1,0,0,0
L420,UrlPreviewItemPresenterTest,com.schinizer.rxunfurl.sample.UrlPreviewItemPresenterTest,L129,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\schinizer\rxunfurl\sample\UrlPreviewItemPresenterTest.java,12,1,27,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,3,0,0,3,4,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,12,16,1,0,1,0,1,0,1,0,1,5,0,1,0,12,16,1,0,1,0,1,0,1,0,1,5,0,1,0,0,0,5,1,1,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0
L439,Dimension,com.schinizer.rxunfurl.model.Dimension,L467,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxunfurl\src\main\java\com\schinizer\rxunfurl\model\Dimension.java,7,1,35,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,4,0,6,12,0,4,0.2,0.111111,3,3,1,4,0.111111,3,0,0,0,0,0,24,29,2,2,2,2,4,0,4,0,4,5,0,4,0,24,29,2,2,2,2,4,0,4,0,4,5,0,4,0,0,0,11,0,2,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0
