ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L133,ApplicationTest,com.nobrain.appsample.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\appsample\src\androidTest\java\com\nobrain\appsample\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L147,MainActivity,com.nobrain.appsample.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\appsample\src\main\java\com\nobrain\appsample\MainActivity.java,15,1,87,2,0,0,0,0,0,0,0,0,2,0,0,3,6,2,0,0,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,30,37,2,0,2,0,3,1,1,1,3,7,1,1,1,63,73,2,0,2,0,7,1,5,1,7,18,1,5,1,0,0,34,0,1,0,0,1,1,0,0,0,29,0,0,0,0,0,0,0,4
L235,ExampleUnitTest,com.nobrain.appsample.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\appsample\src\test\java\com\nobrain\appsample\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L255,AndroidPermissions,com.nobrain.android.permissions.AndroidPermissions,L243,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\nobrain\android\permissions\AndroidPermissions.java,7,1,45,2,0,0,0,0,0,0,0,0,3,0,0,4,2,1,2,2,6,0.6,0.545455,18,17,3,2,0.545455,18,0,0,0,0,0,15,39,0,0,0,0,4,0,4,0,4,4,0,4,0,15,39,0,0,0,0,4,0,4,0,4,4,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
L184,Checker,com.nobrain.android.permissions.Checker,L243,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\nobrain\android\permissions\Checker.java,9,1,120,2,0,0,0,0,0,0,0,0,1,2,2,16,3,4,1,3,8,0.8,0.287671,21,21,4,1,0.382979,36,0,0,0,0,0,52,97,4,0,4,0,5,0,4,0,5,27,0,4,0,58,112,4,0,4,0,7,0,6,0,7,27,0,6,0,0,0,6,2,7,4,0,1,0,1,0,1,5,0,3,0,0,0,0,0,0
L221,Result,com.nobrain.android.permissions.Result,L243,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\nobrain\android\permissions\Result.java,11,1,140,2,0,0,0,0,0,0,0,0,1,3,3,16,2,4,1,2,8,0.8,0.288889,26,26,4,1,0.363636,40,0,0,0,0,0,64,116,2,0,2,0,6,0,4,0,6,42,0,4,0,70,130,2,0,2,0,8,0,6,0,8,42,0,6,0,0,0,7,1,10,5,0,4,0,0,0,2,7,0,0,0,0,0,0,0,0
L187,MainActivity$2,com.nobrain.appsample.MainActivity$2,L164,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\appsample\src\main\java\com\nobrain\appsample\MainActivity.java,28,55,37,18,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,10,10,0,0,0,0,1,0,1,0,1,3,0,1,0,10,10,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L207,MainActivity$1,com.nobrain.appsample.MainActivity$1,L164,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\appsample\src\main\java\com\nobrain\appsample\MainActivity.java,38,54,51,18,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,13,14,0,0,0,0,1,0,1,0,1,4,0,1,0,13,14,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L224,MainActivity$3,com.nobrain.appsample.MainActivity$3,L211,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\appsample\src\main\java\com\nobrain\appsample\MainActivity.java,60,64,69,18,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,9,10,0,0,0,0,1,0,1,0,1,2,0,1,0,9,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L231,MainActivity$4,com.nobrain.appsample.MainActivity$4,L211,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\appsample\src\main\java\com\nobrain\appsample\MainActivity.java,69,41,78,18,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,9,10,0,0,0,0,1,0,1,0,1,2,0,1,0,9,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
