ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L133,ExampleInstrumentedTest,com.unstoppable.submitbutton.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\unstoppable\submitbutton\ExampleInstrumentedTest.java,17,1,26,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L156,MainActivity,com.unstoppable.submitbutton.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\unstoppable\submitbutton\MainActivity.java,16,1,141,2,0,0,0,0,0,0,0,0,1,3,3,14,3,2,0,3,5,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,64,74,7,0,7,0,2,0,1,0,2,36,0,1,0,113,126,7,0,7,0,7,0,3,0,7,60,0,3,0,0,0,29,5,2,4,0,0,1,1,0,3,26,0,0,0,0,0,0,0,1
L292,ExampleUnitTest,com.unstoppable.submitbutton.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\unstoppable\submitbutton\ExampleUnitTest.java,12,1,17,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L317,ExampleInstrumentedTest,com.unstoppable.submitbuttonview.ExampleInstrumentedTest,L296,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\submitbuttonview\src\androidTest\java\com\unstoppable\submitbuttonview\ExampleInstrumentedTest.java,17,1,26,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L162,SubmitButton,com.unstoppable.submitbuttonview.SubmitButton,L296,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\submitbuttonview\src\main\java\com\unstoppable\submitbuttonview\SubmitButton.java,25,1,538,2,0,0,0,0,0,0,0,0,1,2,2,55,1,10,6,0,23,0.555556,0.220472,84,83,5,4,0.192478,87,0,0,0,0,0,297,434,41,3,41,3,23,0,8,2,23,181,0,8,2,365,514,41,3,41,3,36,0,21,2,36,202,0,21,2,0,0,80,1,12,6,0,0,2,0,0,0,72,6,0,0,0,1,0,0,6
L730,ExampleUnitTest,com.unstoppable.submitbuttonview.ExampleUnitTest,L296,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\submitbuttonview\src\test\java\com\unstoppable\submitbuttonview\ExampleUnitTest.java,12,1,17,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L177,MainActivity$MyTask,com.unstoppable.submitbutton.MainActivity$MyTask,L156,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\unstoppable\submitbutton\MainActivity.java,108,5,140,6,0,0,0,0,0,0,0,0,3,2,2,7,2,1,0,3,6,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,30,33,0,0,0,0,3,0,0,0,3,14,0,0,0,30,33,0,0,0,0,3,0,0,0,3,14,0,0,0,0,0,10,1,0,1,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
L203,MainActivity$1,com.unstoppable.submitbutton.MainActivity$1,L180,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\unstoppable\submitbutton\MainActivity.java,43,83,48,10,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L217,MainActivity$2,com.unstoppable.submitbutton.MainActivity$2,L180,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\unstoppable\submitbutton\MainActivity.java,50,89,66,10,0,0,0,0,0,0,0,0,1,2,2,4,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,17,17,0,0,0,0,1,0,1,0,1,9,0,1,0,17,17,0,0,0,0,1,0,1,0,1,9,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L575,SubmitButton$1,com.unstoppable.submitbuttonview.SubmitButton$1,L561,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\submitbuttonview\src\main\java\com\unstoppable\submitbuttonview\SubmitButton.java,266,81,275,10,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,1,0,1,4,0,1,0,10,10,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L603,SubmitButton$2,com.unstoppable.submitbuttonview.SubmitButton$2,L561,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\submitbuttonview\src\main\java\com\unstoppable\submitbuttonview\SubmitButton.java,279,64,303,10,0,0,0,0,0,0,0,0,4,1,1,5,1,0,0,2,6,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,19,25,0,0,0,0,4,0,4,0,4,3,0,4,0,19,25,0,0,0,0,4,0,4,0,4,3,0,4,0,0,0,12,0,3,0,0,0,1,0,0,0,11,3,0,0,0,0,0,0,0
L624,SubmitButton$3,com.unstoppable.submitbuttonview.SubmitButton$3,L611,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\submitbuttonview\src\main\java\com\unstoppable\submitbuttonview\SubmitButton.java,315,82,321,10,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L637,SubmitButton$4,com.unstoppable.submitbuttonview.SubmitButton$4,L609,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\submitbuttonview\src\main\java\com\unstoppable\submitbuttonview\SubmitButton.java,336,81,351,10,0,0,0,0,0,0,0,0,1,2,2,3,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,16,16,0,0,0,0,1,0,1,0,1,8,0,1,0,16,16,0,0,0,0,1,0,1,0,1,8,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L644,SubmitButton$5,com.unstoppable.submitbuttonview.SubmitButton$5,L609,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\submitbuttonview\src\main\java\com\unstoppable\submitbuttonview\SubmitButton.java,352,64,380,10,0,0,0,0,0,0,0,0,4,1,1,5,1,0,0,0,4,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,19,25,0,0,0,0,4,0,4,0,4,3,0,4,0,23,29,0,0,0,0,5,0,5,0,5,4,0,5,0,0,0,17,0,3,0,0,0,1,0,0,0,16,3,0,0,0,0,0,0,0
L657,SubmitButton$5$1,com.unstoppable.submitbuttonview.SubmitButton$5$1,L647,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\submitbuttonview\src\main\java\com\unstoppable\submitbuttonview\SubmitButton.java,363,44,368,18,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
