ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L136,AdapterHelper<T extends Object>,com.skocken.efficientadapter.lib.adapter.AdapterHelper,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\efficientadapter\src\main\java\com\skocken\efficientadapter\lib\adapter\AdapterHelper.java,18,1,415,2,0.0,0,0,0,0.0,0.0,0,0,7,4,3,56,5,3,53,11,46,0.75,0.388571,136,134,3,1,0.388571,136,0,0,0,0,0,214,398,5,5,5,5,35,0,3,4,35,103,0,3,4,214,398,5,5,5,5,35,0,3,4,35,103,0,3,4,0,0,28,4,26,2,0,26,1,0,0,2,25,0,0,0,0,0,0,0,2
L561,EfficientPagerAdapter<T extends Object>,com.skocken.efficientadapter.lib.adapter.EfficientPagerAdapter,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\efficientadapter\src\main\java\com\skocken\efficientadapter\lib\adapter\EfficientPagerAdapter.java,15,1,276,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,43,5,1,1,31,69,0.102564,0.126126,28,24,4,35,0.126126,28,2,2,0,0,1,194,262,2,7,2,7,38,0,38,2,38,73,0,38,2,194,262,2,7,2,7,38,0,38,2,38,73,0,38,2,0,0,73,0,1,0,0,0,1,0,0,1,67,0,0,0,0,0,0,0,5
L729,EfficientRecyclerAdapter<T extends Object>,com.skocken.efficientadapter.lib.adapter.EfficientRecyclerAdapter,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\efficientadapter\src\main\java\com\skocken\efficientadapter\lib\adapter\EfficientRecyclerAdapter.java,14,1,253,2,0.0,0,0,0,0.0,0.0,0,0,4,2,2,46,5,3,4,30,64,0.114286,0.137255,28,24,4,31,0.137255,28,2,2,1,1,1,176,240,2,7,2,6,34,0,34,3,36,64,0,36,3,176,240,2,7,2,6,34,0,34,3,36,64,0,36,3,0,0,65,0,0,0,0,0,1,0,0,0,59,0,0,0,0,0,0,0,5
L820,AdapterHelperTest,com.skocken.efficientadapter.lib.adapter.AdapterHelperTest,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\efficientadapter\src\test\java\com\skocken\efficientadapter\lib\adapter\AdapterHelperTest.java,8,1,44,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,3,5,0,0,1,4,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,19,25,0,0,0,0,3,0,3,0,3,6,0,3,0,27,37,0,0,0,0,3,0,3,0,3,6,0,3,0,0,0,22,0,5,3,0,2,1,0,0,0,21,0,0,0,0,0,0,0,0
L319,AdapterUpdater<T extends Object>,com.skocken.efficientadapter.lib.util.AdapterUpdater,L843,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\efficientadapter\src\main\java\com\skocken\efficientadapter\lib\util\AdapterUpdater.java,10,1,97,2,0.0,0,0,0,0.0,0.0,0,0,1,3,2,17,1,4,5,7,13,0.333333,0.166667,11,5,1,2,0.146667,11,0,0,0,0,0,55,72,1,1,1,1,6,0,2,0,6,37,0,2,0,64,88,1,2,1,2,13,0,9,0,13,37,0,9,0,0,0,32,0,1,1,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
L900,EfficientCacheView,com.skocken.efficientadapter.lib.util.EfficientCacheView,L843,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\efficientadapter\src\main\java\com\skocken\efficientadapter\lib\util\EfficientCacheView.java,6,1,141,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,24,0,7,36,0,12,0.625,0.289256,35,33,5,3,0.289256,35,0,0,0,0,0,86,136,2,1,2,1,12,0,7,0,12,44,0,7,0,86,136,2,1,2,1,12,0,7,0,12,44,0,7,0,0,0,13,0,1,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0
L973,ViewHelper,com.skocken.efficientadapter.lib.util.ViewHelper,L843,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\efficientadapter\src\main\java\com\skocken\efficientadapter\lib\util\ViewHelper.java,15,1,238,2,0.0,0,0,0,0.0,0.0,0,0,0,2,2,31,1,2,39,1,16,0.9375,0.519231,108,108,15,1,0.519231,108,0,0,0,0,0,100,224,0,0,0,0,15,0,15,15,15,47,0,15,15,100,224,0,0,0,0,15,0,15,15,15,47,0,15,15,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
L1111,AdapterUpdaterTest,com.skocken.efficientadapter.lib.util.AdapterUpdaterTest,L843,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\efficientadapter\src\test\java\com\skocken\efficientadapter\lib\util\AdapterUpdaterTest.java,19,1,162,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,14,2,0,0,4,18,0.0769231,0.0357143,3,3,1,12,0.0258621,3,0,0,0,0,0,81,103,8,0,8,0,14,0,12,1,14,31,0,12,1,113,144,9,1,9,1,22,0,20,1,22,37,0,20,1,0,0,53,0,6,1,0,2,1,0,0,1,50,2,0,0,0,0,0,0,2
L1185,EfficientCacheViewTest,com.skocken.efficientadapter.lib.util.EfficientCacheViewTest,L843,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\efficientadapter\src\test\java\com\skocken\efficientadapter\lib\util\EfficientCacheViewTest.java,22,1,165,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,10,1,0,0,7,17,0.0,0.0,0,0,0,11,0.0,0,0,0,0,0,0,118,144,13,0,13,0,10,0,10,1,10,63,0,10,1,118,144,13,0,13,0,10,0,10,1,10,63,0,10,1,0,0,25,0,37,37,0,0,0,0,0,0,23,0,0,0,0,0,0,0,2
L1227,ViewHelperTest,com.skocken.efficientadapter.lib.util.ViewHelperTest,L843,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\efficientadapter\src\test\java\com\skocken\efficientadapter\lib\util\ViewHelperTest.java,24,1,321,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,25,2,0,0,16,41,0.0,0.0,0,0,0,26,0.0,0,0,0,0,0,0,248,298,8,0,8,0,25,0,25,1,25,158,0,25,1,248,298,8,0,8,0,25,0,25,1,25,158,0,25,1,0,0,57,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,4
