ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L366,ViewPagerAnimator<V extends Object>,com.stylingandroid.viewpageranimator.ViewPagerAnimator,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpageranimator\src\main\java\com\stylingandroid\viewpageranimator\ViewPagerAnimator.java,14,1,167,2,0.0,0,0,0,0.0,0.0,0,0,2,2,1,30,2,3,11,2,19,0,0,0,0,0,12,0,0,0,0,0,0,0,130,154,10,0,10,0,17,0,11,2,17,51,0,11,2,130,154,10,0,10,0,17,0,11,2,17,51,0,11,2,0,2,40,0,3,0,0,0,1,0,0,0,37,1,2,0,0,2,0,0,2
L609,ViewPagerAnimatorTest,com.stylingandroid.viewpageranimator.ViewPagerAnimatorTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpageranimator\src\test\java\com\stylingandroid\viewpageranimator\ViewPagerAnimatorTest.java,19,1,184,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,7,6,0,0,6,13,0,0,0,0,0,8,0,0,0,0,0,0,0,64,93,13,0,13,0,7,0,7,1,7,26,0,7,1,128,166,15,2,15,2,17,0,15,1,17,48,0,15,1,0,0,58,1,11,3,0,2,1,0,0,7,55,0,0,0,0,0,0,0,2
L360,MainActivity,com.stylingandroid.viewpageranimator.sample.MainActivity,L129,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\Java7sample\src\main\java\com\stylingandroid\viewpageranimator\sample\MainActivity.java,16,1,65,2,0.356725,1,1,1,0.3,0.275,15,11,1,0,0,3,5,0,0,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,32,42,2,0,2,0,3,0,0,0,3,18,0,0,0,40,50,2,0,2,0,5,0,2,0,5,20,0,2,0,0,0,30,0,0,0,11,0,0,0,0,0,19,0,0,0,0,0,0,0,0
L417,MainActivity,com.stylingandroid.viewpageranimator.sample.MainActivity,L129,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\Java8sample\src\main\java\com\stylingandroid\viewpageranimator\sample\MainActivity.java,14,1,50,2,0.488,1,1,1,0.405405,0.392857,15,11,1,0,0,3,3,0,0,3,6,0,0,0,0,0,2,0,0,0,0,0,0,0,28,37,2,0,2,0,3,0,0,0,3,16,0,0,0,28,37,2,0,2,0,3,0,0,0,3,16,0,0,0,0,0,20,0,0,0,11,0,0,0,0,0,9,0,0,0,0,0,0,0,0
L621,ViewPagerAnimatorTest$TestProperty<V extends Object>,com.stylingandroid.viewpageranimator.ViewPagerAnimatorTest$TestProperty,L609,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpageranimator\src\test\java\com\stylingandroid\viewpageranimator\ViewPagerAnimatorTest.java,106,5,117,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,1,4,0,2,0,0,0,0,0,2,0,0,1,1,0,0,1,10,12,1,0,1,0,2,0,1,0,2,2,0,1,0,10,12,1,0,1,0,2,0,1,0,2,2,0,1,0,0,0,7,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0
L614,ViewPagerAnimatorTest$TestProvider<V extends Object>,com.stylingandroid.viewpageranimator.ViewPagerAnimatorTest$TestProvider,L609,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpageranimator\src\test\java\com\stylingandroid\viewpageranimator\ViewPagerAnimatorTest.java,119,5,140,6,0.0,0,0,0,0.0,0.0,0,0,2,0,0,4,1,1,0,0,4,0,0,0,0,0,4,0,0,1,1,0,0,1,18,22,1,1,1,1,4,0,3,0,4,4,0,3,0,18,22,1,1,1,1,4,0,3,0,4,4,0,3,0,0,0,12,1,1,2,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0
L639,ViewPagerAnimatorTest$TestInterpolator,com.stylingandroid.viewpageranimator.ViewPagerAnimatorTest$TestInterpolator,L609,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpageranimator\src\test\java\com\stylingandroid\viewpageranimator\ViewPagerAnimatorTest.java,142,5,148,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,6,7,0,1,0,1,1,0,1,0,1,1,0,1,0,6,7,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L665,ViewPagerAnimatorTest$TestIntEvaluator,com.stylingandroid.viewpageranimator.ViewPagerAnimatorTest$TestIntEvaluator,L609,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpageranimator\src\test\java\com\stylingandroid\viewpageranimator\ViewPagerAnimatorTest.java,150,5,155,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,2,0,1,0,6,6,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L657,ViewPagerAnimatorTest$TestFloatEvaluator,com.stylingandroid.viewpageranimator.ViewPagerAnimatorTest$TestFloatEvaluator,L609,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpageranimator\src\test\java\com\stylingandroid\viewpageranimator\ViewPagerAnimatorTest.java,157,5,162,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,2,0,1,0,6,6,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L672,ViewPagerAnimatorTest$TestArgbEvaluator,com.stylingandroid.viewpageranimator.ViewPagerAnimatorTest$TestArgbEvaluator,L609,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpageranimator\src\test\java\com\stylingandroid\viewpageranimator\ViewPagerAnimatorTest.java,164,5,183,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,18,20,0,0,0,0,1,0,1,0,1,11,0,1,0,18,20,0,0,0,0,1,0,1,0,1,11,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
