ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L133,ApplicationTest,com.socks.particledeleteview.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\socks\particledeleteview\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L147,MainActivity,com.socks.particledeleteview.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\socks\particledeleteview\MainActivity.java,17,1,89,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,1,0,1,2,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,17,23,3,0,3,0,1,0,0,0,1,9,0,0,0,58,73,6,1,6,1,7,0,5,0,7,27,0,5,0,0,0,27,3,3,1,0,2,1,0,0,3,26,0,0,0,0,0,0,0,0
L249,ExampleUnitTest,com.socks.particledeleteview.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\socks\particledeleteview\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L271,ApplicationTest,com.socks.leonids.ApplicationTest,L256,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\Leonids\src\androidTest\java\com\socks\leonids\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L274,ExampleUnitTest,com.socks.leonids.ExampleUnitTest,L256,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\Leonids\src\test\java\com\socks\leonids\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L299,ApplicationTest,com.socks.library.ApplicationTest,L278,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\com\socks\library\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L224,ParticleLayout,com.socks.library.ParticleLayout,L278,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\socks\library\ParticleLayout.java,22,1,183,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,26,2,3,1,8,19,0.125,0.0232558,3,3,1,7,0.0227273,3,0,0,0,0,0,126,159,15,1,15,1,11,0,7,2,11,59,0,7,2,129,162,15,1,15,1,12,0,8,2,12,59,0,8,2,0,0,34,5,6,4,0,2,1,1,0,2,30,0,0,0,0,3,0,0,2
L515,ExampleUnitTest,com.socks.library.ExampleUnitTest,L278,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\socks\library\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L530,AnimatedParticle,com.plattysoft.leonids.AnimatedParticle,L520,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\Leonids\src\main\java\com\plattysoft\leonids\AnimatedParticle.java,6,1,45,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,8,1,1,2,2,4,0.0,0.027027,1,0,0,3,0.027027,1,1,1,0,0,1,36,40,23,0,2,0,2,0,2,0,9,23,10,8,0,36,40,23,0,2,0,2,0,2,0,9,23,10,8,0,0,0,10,0,2,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,3
L531,Particle,com.plattysoft.leonids.Particle,L520,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\Leonids\src\main\java\com\plattysoft\leonids\Particle.java,12,1,107,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,9,1,14,7,1,8,0.0,0.0277778,2,1,0,7,0.0277778,2,0,0,1,1,0,70,96,21,0,21,0,7,10,6,0,7,33,10,6,0,70,96,21,0,21,0,7,10,6,0,7,33,10,6,0,0,0,24,0,5,1,0,0,0,0,0,0,17,0,0,0,0,4,0,0,7
