ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L136,AsonConverterFactory,com.afollestad.asonretrofit.AsonConverterFactory,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\asonretrofit\src\main\java\com\afollestad\asonretrofit\AsonConverterFactory.java,13,1,43,2,0.0,0,0,0,0.0,0.0,0,0,2,3,2,6,3,2,0,1,3,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,29,31,0,0,0,0,2,0,2,0,2,11,0,2,0,29,31,0,0,0,0,2,0,2,0,2,11,0,2,0,0,0,8,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L195,AsonRequestBodyConverter<T extends Object>,com.afollestad.asonretrofit.AsonRequestBodyConverter,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\asonretrofit\src\main\java\com\afollestad\asonretrofit\AsonRequestBodyConverter.java,15,1,39,2,0.0,0,0,0,0.0,0.0,0,0,1,2,1,4,2,1,0,5,6,0.5,0.0416667,1,1,1,1,0.0416667,1,0,0,0,0,0,23,25,2,0,2,0,1,0,1,0,1,13,0,1,0,23,25,2,0,2,0,1,0,1,0,1,13,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L166,AsonResponseBodyConverter<T extends Object>,com.afollestad.asonretrofit.AsonResponseBodyConverter,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\asonretrofit\src\main\java\com\afollestad\asonretrofit\AsonResponseBodyConverter.java,10,1,39,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,3,1,1,5,7,0.5,0.0454545,1,1,1,1,0.037037,1,0,0,0,0,0,21,25,2,0,2,0,2,0,1,0,2,7,0,1,0,26,30,5,0,5,0,2,3,1,0,2,7,3,1,0,0,0,16,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6
L290,EchoArrayWrapper,com.afollestad.asonretrofit.EchoArrayWrapper,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\asonretrofit\src\test\java\com\afollestad\asonretrofit\EchoArrayWrapper.java,8,1,11,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,2,0,0,0,1.0,0.625,5,5,1,0,0.625,5,0,0,0,0,0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L298,EchoListWrapper,com.afollestad.asonretrofit.EchoListWrapper,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\asonretrofit\src\test\java\com\afollestad\asonretrofit\EchoListWrapper.java,10,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,2,0,0,0,1.0,0.625,5,5,1,0,0.625,5,0,0,0,0,0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L305,EchoObjectWrapper,com.afollestad.asonretrofit.EchoObjectWrapper,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\asonretrofit\src\test\java\com\afollestad\asonretrofit\EchoObjectWrapper.java,8,1,11,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,2,0,0,0,1.0,0.625,5,5,1,0,0.625,5,0,0,0,0,0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L312,RequestTest,com.afollestad.asonretrofit.RequestTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\asonretrofit\src\test\java\com\afollestad\asonretrofit\RequestTest.java,12,1,85,2,0.313462,2,2,2,0.27027,0.30303,20,20,1,0,0,4,7,0,0,4,8,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,66,74,1,0,1,0,4,0,4,0,4,44,0,4,0,66,74,1,0,1,0,4,0,4,0,4,44,0,4,0,0,1,28,2,3,3,17,0,0,0,0,0,11,0,3,0,0,0,0,0,0
L372,ResponseTest,com.afollestad.asonretrofit.ResponseTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\asonretrofit\src\test\java\com\afollestad\asonretrofit\ResponseTest.java,11,1,66,2,0.396594,2,2,2,0.357143,0.392157,20,20,1,0,0,4,4,0,0,3,7,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,51,56,1,0,1,0,4,0,4,0,4,31,0,4,0,51,56,1,0,1,0,4,0,4,0,4,31,0,4,0,0,1,28,0,3,3,17,0,0,0,0,0,11,0,1,0,0,0,0,0,0
L309,TestData,com.afollestad.asonretrofit.TestData,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\asonretrofit\src\test\java\com\afollestad\asonretrofit\TestData.java,3,1,7,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,4,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,4,5,2,0,2,0,0,2,0,0,0,0,2,0,0,4,5,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
L294,TestPerson,com.afollestad.asonretrofit.TestPerson,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\asonretrofit\src\test\java\com\afollestad\asonretrofit\TestPerson.java,5,1,20,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,6,3,0,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,12,16,3,0,3,0,2,3,1,0,2,3,3,1,0,12,16,3,0,3,0,2,3,1,0,2,3,3,1,0,0,0,11,0,4,0,0,3,0,0,0,0,7,1,0,0,0,0,0,0,4
