ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L1881,AutoResubscribingObserver_Fail_NonStatic,test.AutoResubscribingObserver_Fail_NonStatic,L1869,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxgroups-annotation-test\src\test\resources\AutoResubscribingObserver_Fail_NonStatic.java,6,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,2,1,1,0,0,0,0,0,6,0,0,5,1,0,0,9,1,1,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0
L1891,AutoResubscribingObserver_Fail_Private,test.AutoResubscribingObserver_Fail_Private,L1869,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxgroups-annotation-test\src\test\resources\AutoResubscribingObserver_Fail_Private.java,6,1,9,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,4,4,2,1,1,0,0,0,0,0,6,0,0,5,1,0,0,6,1,1,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
L1896,AutoResubscribingObserver_Fail_Private_AutoTag,test.AutoResubscribingObserver_Fail_Private_AutoTag,L1869,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxgroups-annotation-test\src\test\resources\AutoResubscribingObserver_Fail_Private_AutoTag.java,6,1,9,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,4,4,2,1,1,0,0,0,0,0,6,0,0,5,1,0,0,6,1,1,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
L1901,AutoResubscribingObserver_Pass_All,test.AutoResubscribingObserver_Pass_All,L1869,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxgroups-annotation-test\src\test\resources\AutoResubscribingObserver_Pass_All.java,7,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,6,7,2,0,2,0,0,0,0,0,0,0,0,0,0,6,7,3,2,2,0,0,0,0,0,12,0,0,10,2,0,0,9,0,2,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0
L1909,AutoTaggableObserver_Pass_All,test.AutoTaggableObserver_Pass_All,L1869,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxgroups-annotation-test\src\test\resources\AutoTaggableObserver_Pass_All.java,7,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,6,7,2,0,2,0,0,2,0,0,0,0,2,0,0,6,7,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,7,0,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,4
L1918,AutoTaggableObserver_Pass_All_CustomTag,test.AutoTaggableObserver_Pass_All_CustomTag,L1869,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxgroups-annotation-test\src\test\resources\AutoTaggableObserver_Pass_All_CustomTag.java,7,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,6,7,2,0,2,0,0,2,0,0,0,0,2,0,0,6,7,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,7,0,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,4
L1922,PlainObserver_Fail_AutoResubscribe,test.PlainObserver_Fail_AutoResubscribe,L1869,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxgroups-annotation-test\src\test\resources\PlainObserver_Fail_AutoResubscribe.java,7,1,24,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,5,6,1,0,1,0,0,1,0,0,0,0,1,0,0,11,18,1,0,1,0,3,1,3,0,3,0,1,3,0,0,0,17,0,3,0,0,0,1,0,0,0,12,3,0,0,0,0,0,0,4
L1931,PlainObserver_Fail_AutoTag,test.PlainObserver_Fail_AutoTag,L1869,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxgroups-annotation-test\src\test\resources\PlainObserver_Fail_AutoTag.java,7,1,23,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,5,6,1,0,1,0,0,1,0,0,0,0,1,0,0,11,17,1,0,1,0,3,1,3,0,3,0,1,3,0,0,0,17,0,3,0,0,0,1,0,0,0,12,3,0,0,0,0,0,0,4
L1940,TaggedObserver_Fail_AutoTag,test.TaggedObserver_Fail_AutoTag,L1869,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxgroups-annotation-test\src\test\resources\TaggedObserver_Fail_AutoTag.java,6,1,25,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,5,5,1,0,1,0,0,1,0,0,0,0,1,0,0,14,20,1,1,1,1,4,1,4,0,4,1,1,4,0,0,0,19,0,3,0,0,0,1,0,0,0,14,3,0,0,0,0,0,0,4
L1954,TaggedObserver_Pass_AutoResubscribe,test.TaggedObserver_Pass_AutoResubscribe,L1869,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxgroups-annotation-test\src\test\resources\TaggedObserver_Pass_AutoResubscribe.java,8,1,31,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,5,5,1,0,1,0,0,1,0,0,0,0,1,0,0,16,24,1,1,1,1,5,1,5,0,5,1,1,5,0,0,0,21,0,4,0,0,0,1,0,0,0,16,4,0,0,0,0,0,0,4
