ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L883,App,com.github.ajalt.reprint.App,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\github\ajalt\reprint\App.java,8,1,24,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,1,0,1,2,0,1,0,16,17,0,0,0,0,3,0,3,0,3,4,0,3,0,0,0,13,0,1,0,0,1,1,0,0,0,12,0,0,0,0,0,0,0,0
L906,MainActivity,com.github.ajalt.reprint.MainActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\github\ajalt\reprint\MainActivity.java,20,1,163,2,0.109181,1,2,2,0.222222,0.10101,32,10,1,3,1,15,5,1,2,6,16,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,90,134,9,0,9,0,10,0,1,0,10,36,0,1,0,99,144,9,0,9,0,12,0,3,0,12,38,0,3,0,0,0,48,2,8,2,15,8,1,0,0,0,30,0,0,0,0,0,0,0,2
L212,AuthenticationResult,com.github.ajalt.reprint.core.AuthenticationResult,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\core\src\main\java\com\github\ajalt\reprint\core\AuthenticationResult.java,6,1,52,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,2,8,4,0,1,0.5,0.680851,32,32,1,1,0.666667,32,0,0,0,0,0,15,46,5,0,5,0,1,5,1,0,1,5,5,1,0,16,47,8,0,8,0,1,8,1,0,1,5,8,1,0,0,0,14,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,8
L254,Reprint,com.github.ajalt.reprint.core.Reprint,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\core\src\main\java\com\github\ajalt\reprint\core\Reprint.java,11,1,132,2,0.0,0,0,0,0.0,0.0,0,0,8,0,0,9,6,26,13,8,17,1.0,0.718447,74,74,10,0,0.692308,81,0,0,0,0,0,29,107,0,0,0,0,9,0,9,0,9,9,0,9,0,36,122,0,0,0,0,12,0,12,0,12,9,0,12,0,0,0,9,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0
L443,RestartPredicates,com.github.ajalt.reprint.core.RestartPredicates,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\core\src\main\java\com\github\ajalt\reprint\core\RestartPredicates.java,5,1,36,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,2,4,9,0,3,0.75,0.380952,8,8,3,1,0.266667,8,0,0,0,0,0,13,23,0,0,0,0,3,0,3,0,3,3,0,3,0,22,32,1,0,1,0,5,0,5,0,5,5,0,5,0,0,0,14,0,1,0,0,0,1,0,0,0,13,0,0,0,0,1,0,0,0
L525,ReprintRobolectricTest,com.github.ajalt.reprint.core.ReprintRobolectricTest,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\tests\src\test\java\com\github\ajalt\reprint\core\ReprintRobolectricTest.java,11,1,18,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,1,0,1,1,0,1,0,8,8,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L532,ReprintTest,com.github.ajalt.reprint.core.ReprintTest,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\tests\src\test\java\com\github\ajalt\reprint\core\ReprintTest.java,18,1,49,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,4,0,0,4,7,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,27,32,2,0,2,0,3,2,3,0,3,12,2,3,0,27,32,2,0,2,0,3,2,3,0,3,12,2,3,0,0,1,13,2,0,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,4
L556,RestartPredicateTest,com.github.ajalt.reprint.core.RestartPredicateTest,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\tests\src\test\java\com\github\ajalt\reprint\core\RestartPredicateTest.java,11,1,66,2,0.444444,1,2,2,0.375,0.416667,21,20,5,0,0,5,4,0,0,4,9,0.0,0.0,0,0,0,6,0.0,0,0,0,0,0,0,48,56,0,0,0,0,5,0,5,0,5,31,0,5,0,48,56,0,0,0,0,5,0,5,0,5,31,0,5,0,0,0,31,5,31,31,17,0,1,0,0,5,13,0,0,0,0,0,0,0,0
L773,RxReprint,com.github.ajalt.reprint.rxjava2.RxReprint,L760,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxjava2\src\main\java\com\github\ajalt\reprint\rxjava2\RxReprint.java,23,1,78,2,0.622222,1,5,1,0.535714,0.692308,30,27,1,0,0,2,4,2,2,1,3,1.0,0.615385,16,16,3,0,0.290909,16,0,0,0,0,0,10,24,0,0,0,0,2,0,2,0,2,2,0,2,0,39,56,1,0,1,0,6,0,6,0,6,14,0,6,0,0,0,60,0,2,0,42,2,0,0,0,0,18,0,0,0,0,0,0,0,0
L807,RxReprint2Test,com.github.ajalt.reprint.rxjava2.RxReprint2Test,L760,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\tests\src\test\java\com\github\ajalt\reprint\rxjava2\RxReprint2Test.java,23,1,85,2,0.170569,1,1,1,0.190476,0.181818,12,10,1,0,0,6,7,0,0,4,10,0.0,0.0,0,0,0,7,0.0,0,0,0,0,0,0,55,63,2,0,2,0,6,2,6,0,6,33,2,6,0,55,63,2,0,2,0,6,2,6,0,6,33,2,6,0,0,1,30,6,12,13,11,0,0,0,0,5,15,0,1,0,0,0,0,0,4
