ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L133,ApplicationTest,com.alexstyl.searchtransition.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\alexstyl\searchtransition\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
L313,TransformingToolbar,com.alexstyl.searchtransition.TransformingToolbar,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\alexstyl\searchtransition\TransformingToolbar.java,11,1,35,2,0,0,0,0,0,0,0,0,2,1,1,5,0,4,7,0,3,0.75,0.4,10,10,3,1,0.4,10,0,0,2,2,0,15,25,0,0,0,0,3,0,3,0,3,9,0,3,0,15,25,0,0,0,0,3,0,3,0,3,9,0,3,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
L436,ExampleUnitTest,com.alexstyl.searchtransition.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\alexstyl\searchtransition\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L151,BoilerplateActivity,com.alexstyl.searchtransition.boilerplate.BoilerplateActivity,L147,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\alexstyl\searchtransition\boilerplate\BoilerplateActivity.java,11,1,29,2,0,0,0,0,0,0,0,0,3,0,0,3,1,3,3,1,4,1.0,0.222222,4,3,1,0,0.222222,4,0,0,2,2,0,14,19,0,0,0,0,3,0,0,0,3,6,0,0,0,14,19,0,0,0,0,3,0,0,0,3,6,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0
L174,ShareDemo,com.alexstyl.searchtransition.boilerplate.ShareDemo,L147,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\alexstyl\searchtransition\boilerplate\ShareDemo.java,8,1,27,2,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,15,20,3,0,3,0,2,0,2,0,2,6,0,2,0,15,20,3,0,3,0,2,0,2,0,2,6,0,2,0,0,0,7,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0
L225,MainActivity,com.alexstyl.searchtransition.mainscreen.MainActivity,L221,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\alexstyl\searchtransition\mainscreen\MainActivity.java,20,1,114,2,0,0,0,0,0,0,0,0,3,1,1,8,6,1,1,5,12,0.0,0.177419,11,0,0,3,0.21519,17,1,1,0,0,1,51,76,2,0,2,0,7,0,2,0,10,26,0,2,0,62,95,2,0,2,0,9,0,4,0,17,31,0,9,0,0,0,17,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0
L231,SimpleToolbar,com.alexstyl.searchtransition.mainscreen.SimpleToolbar,L221,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\alexstyl\searchtransition\mainscreen\SimpleToolbar.java,12,1,20,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0.5,0.3,3,3,1,1,0.3,3,1,1,0,0,1,7,9,0,0,0,0,1,0,1,0,4,3,0,4,0,7,9,0,0,0,0,1,0,1,0,4,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L286,SearchActivity,com.alexstyl.searchtransition.searchscreen.SearchActivity,L333,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\alexstyl\searchtransition\searchscreen\SearchActivity.java,16,1,112,2,0,0,0,0,0,0,0,0,2,2,1,9,5,2,0,4,10,0.0,0.12963,7,0,0,4,0.166667,13,1,1,0,0,1,47,70,1,0,1,0,6,0,3,0,9,23,0,3,0,65,97,1,0,1,0,10,0,6,0,18,30,0,11,0,0,0,22,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0
L339,Searchbar,com.alexstyl.searchtransition.searchscreen.Searchbar,L333,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\alexstyl\searchtransition\searchscreen\Searchbar.java,14,1,41,2,0,0,0,0,0,0,0,0,1,0,0,4,1,2,2,2,6,0.25,0.153846,4,4,1,3,0.153846,4,1,1,0,0,1,22,28,1,0,1,0,4,0,3,0,7,9,0,6,0,22,28,1,0,1,0,4,0,3,0,7,9,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
L416,FadeInTransition,com.alexstyl.searchtransition.transition.FadeInTransition,L411,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\alexstyl\searchtransition\transition\FadeInTransition.java,6,1,19,2,0,0,0,0,0,0,0,0,1,0,0,2,0,2,2,0,2,0.0,0.0909091,1,0,0,2,0.0909091,1,0,0,0,0,0,10,14,1,0,1,0,2,0,1,0,2,3,0,1,0,10,14,1,0,1,0,2,0,1,0,2,3,0,1,0,0,0,5,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
