ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L351,ApplicationTest,com.cjj.ApplicationTest,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\com\cjj\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L274,MaterialDeleteLayout,com.cjj.MaterialDeleteLayout,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cjj\MaterialDeleteLayout.java,19,1,240,2,0.182006,1,2,2,0.0900901,0.103627,20,20,1,1,1,18,2,5,5,0,14,0.0909091,0.0205479,3,3,1,10,0.0150754,3,0,0,0,0,0,143,162,13,0,13,0,14,0,10,1,14,65,0,10,1,196,222,13,1,13,1,21,0,17,1,21,86,0,17,1,0,0,64,3,10,1,10,8,1,0,0,3,51,0,0,0,0,1,0,0,2
L140,ApplicationTest,com.cjj.android_materialdelete.ApplicationTest,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\cjj\android_materialdelete\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L154,BaseActivity,com.cjj.android_materialdelete.BaseActivity,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\cjj\android_materialdelete\BaseActivity.java,16,1,50,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,0,1,1,0,4,0.333333,0.0909091,3,3,1,2,0.0909091,3,0,0,1,1,0,30,35,1,0,1,0,4,0,2,2,4,15,0,2,2,30,35,1,0,1,0,4,0,2,2,4,15,0,2,2,0,0,11,1,1,0,0,1,0,0,0,1,11,0,0,0,0,0,0,0,0
L211,RecyclerViewActivity,com.cjj.android_materialdelete.RecyclerViewActivity,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\cjj\android_materialdelete\RecyclerViewActivity.java,24,1,150,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,7,2,2,0,2,8,0.0,0.104167,5,5,0,1,0.150943,16,1,1,0,0,1,43,56,3,1,2,1,6,0,0,0,10,23,0,2,2,90,127,5,2,4,2,13,0,7,0,17,41,0,9,2,0,0,39,2,6,2,0,2,2,0,0,4,37,0,0,0,0,0,0,0,0
L400,MaterialDeleteLayout$DragHelperCallbackListener,com.cjj.MaterialDeleteLayout$DragHelperCallbackListener,L274,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cjj\MaterialDeleteLayout.java,92,5,147,6,0.0,0,0,0,0.0,0.0,0,0,5,1,1,12,2,1,0,4,10,0.0,0.0,0,0,0,7,0.0,0,0,0,0,0,0,49,56,0,1,0,1,6,0,6,0,6,21,0,6,0,49,56,0,1,0,1,6,0,6,0,6,21,0,6,0,0,0,16,0,1,0,0,1,1,0,0,0,15,0,0,0,0,0,0,0,0
L251,RecyclerViewActivity$SimpleStringRecyclerViewAdapter,com.cjj.android_materialdelete.RecyclerViewActivity$SimpleStringRecyclerViewAdapter,L211,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\cjj\android_materialdelete\RecyclerViewActivity.java,79,5,149,6,0.0,0,0,0,0.0,0.0,0,0,2,0,0,4,4,1,0,2,6,0.0,0.233333,7,0,0,5,0.189655,11,0,0,0,0,0,23,38,0,1,0,1,4,0,4,0,4,7,0,4,0,47,71,2,1,2,1,7,0,7,0,7,18,0,7,0,0,0,25,0,2,0,0,0,1,0,0,2,24,0,0,0,0,0,0,0,0
L272,RecyclerViewActivity$SimpleStringRecyclerViewAdapter$ViewHolder,com.cjj.android_materialdelete.RecyclerViewActivity$SimpleStringRecyclerViewAdapter$ViewHolder,L251,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\cjj\android_materialdelete\RecyclerViewActivity.java,83,9,95,10,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,3,1,0,1,0.0,0.181818,2,1,0,2,0.181818,2,0,0,0,0,0,9,13,2,0,2,0,1,0,1,0,1,3,0,1,0,9,13,2,0,2,0,1,0,1,0,1,3,0,1,0,0,0,5,0,2,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
L313,RecyclerViewActivity$SimpleStringRecyclerViewAdapter$1,com.cjj.android_materialdelete.RecyclerViewActivity$SimpleStringRecyclerViewAdapter$1,L303,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\cjj\android_materialdelete\RecyclerViewActivity.java,118,92,139,14,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,4,0,0,0,1,0.0,0.142857,2,0,0,2,0.105263,2,1,1,0,0,1,12,17,0,0,0,0,1,0,1,0,1,6,0,1,0,17,22,0,0,0,0,2,0,2,0,2,8,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
L338,RecyclerViewActivity$SimpleStringRecyclerViewAdapter$1$1,com.cjj.android_materialdelete.RecyclerViewActivity$SimpleStringRecyclerViewAdapter$1$1,L319,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\cjj\android_materialdelete\RecyclerViewActivity.java,130,62,136,22,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
