ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L300,ApplicationTest,com.cjj.ApplicationTest,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\com\cjj\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L218,PerseiLayout,com.cjj.PerseiLayout,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cjj\PerseiLayout.java,22,1,232,2,0,0,0,0,0,0,0,0,1,3,3,33,1,6,4,1,14,0.0909091,0.025,4,3,1,10,0.0217391,4,0,0,0,0,0,156,187,9,0,9,0,13,1,10,1,13,83,1,10,1,180,211,9,0,9,0,18,1,15,1,18,92,1,15,1,0,0,60,3,2,2,0,0,0,0,0,2,54,0,0,0,0,1,0,0,6
L488,Util,com.cjj.Util,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cjj\Util.java,5,1,25,2,0,0,0,0,0,0,0,0,3,0,0,5,0,1,1,0,3,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,18,21,0,0,0,0,3,0,3,0,3,10,0,3,0,18,21,0,0,0,0,3,0,3,0,3,10,0,3,0,0,0,10,0,1,0,0,1,1,0,0,0,9,0,0,0,0,0,0,0,0
L141,ApplicationTest,com.cjj.perseiandroid.ApplicationTest,L125,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\cjj\perseiandroid\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L155,BaseActivity,com.cjj.perseiandroid.BaseActivity,L125,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\cjj\perseiandroid\BaseActivity.java,16,1,50,2,0,0,0,0,0,0,0,0,1,1,1,7,0,1,1,0,4,0.333333,0.0909091,3,3,1,2,0.0909091,3,0,0,1,1,0,30,35,1,0,1,0,4,0,2,2,4,15,0,2,2,30,35,1,0,1,0,4,0,2,2,4,15,0,2,2,0,0,11,1,2,0,0,2,0,0,0,1,11,0,0,0,0,0,0,0,0
L212,MainActivity,com.cjj.perseiandroid.MainActivity,L125,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\cjj\perseiandroid\MainActivity.java,19,1,114,2,0,0,0,0,0,0,0,0,4,0,0,6,3,1,0,3,9,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,38,47,2,0,1,0,6,0,1,0,10,19,0,3,2,77,96,4,1,3,1,12,2,7,0,16,30,2,9,2,0,0,48,0,2,0,0,0,2,0,0,2,36,0,0,0,0,0,0,0,10
L229,MainActivity$IconAdapter,com.cjj.perseiandroid.MainActivity$IconAdapter,L212,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\cjj\perseiandroid\MainActivity.java,65,5,113,6,0,0,0,0,0,0,0,0,2,0,0,4,1,1,0,1,5,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,26,33,1,1,1,1,4,1,4,0,4,6,1,4,0,39,49,2,1,2,1,6,2,6,0,6,11,2,6,0,0,0,30,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,8
L445,PerseiLayout$1,com.cjj.PerseiLayout$1,L408,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cjj\PerseiLayout.java,134,57,139,26,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L453,PerseiLayout$2,com.cjj.PerseiLayout$2,L436,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cjj\PerseiLayout.java,156,95,163,10,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,1,0,1,3,0,1,0,8,8,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L459,PerseiLayout$3,com.cjj.PerseiLayout$3,L434,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cjj\PerseiLayout.java,171,95,178,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,1,0,1,3,0,1,0,8,8,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L464,PerseiLayout$4,com.cjj.PerseiLayout$4,L297,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cjj\PerseiLayout.java,184,40,189,9,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L473,PerseiLayout$5,com.cjj.PerseiLayout$5,L232,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cjj\PerseiLayout.java,205,29,210,10,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L247,MainActivity$IconAdapter$ViewHolder,com.cjj.perseiandroid.MainActivity$IconAdapter$ViewHolder,L229,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\cjj\perseiandroid\MainActivity.java,74,9,83,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,10,1,0,1,0,1,1,1,0,1,2,1,1,0,7,10,1,0,1,0,1,1,1,0,1,2,1,1,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4
L285,MainActivity$IconAdapter$1,com.cjj.perseiandroid.MainActivity$IconAdapter$1,L272,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\cjj\perseiandroid\MainActivity.java,99,77,106,14,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,1,0,1,3,0,1,0,8,8,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
