ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L130,ApplicationTest,com.anton46.collectionitempicker.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\collectionpicker\src\androidTest\java\com\anton46\collectionitempicker\ApplicationTest.java,9,1,14,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L144,CollectionPicker,com.anton46.collectionitempicker.CollectionPicker,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\collectionpicker\src\main\java\com\anton46\collectionitempicker\CollectionPicker.java,25,1,391,2,0.0966543,1,2,2,0.0899183,0.0827586,33,24,3,3,3,36,3,4,4,1,24,0.0909091,0.0196078,5,3,1,10,0.0169492,5,0,0,0,0,0,250,320,21,7,21,7,23,1,10,3,23,119,1,10,3,290,367,21,7,21,7,29,1,16,3,29,135,1,16,3,0,0,95,5,3,4,16,0,2,0,0,1,68,3,0,0,0,0,0,0,9
L163,Item,com.anton46.collectionitempicker.Item,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\collectionpicker\src\main\java\com\anton46\collectionitempicker\Item.java,3,1,20,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,5,1,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,15,18,3,0,3,0,2,3,2,0,2,6,3,2,0,15,18,3,0,3,0,2,3,2,0,2,6,3,2,0,0,0,11,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,4
L550,Utils,com.anton46.collectionitempicker.Utils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\collectionpicker\src\main\java\com\anton46\collectionitempicker\Utils.java,5,1,12,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,2,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,8,0,0,0,0,1,0,1,0,1,2,0,1,0,6,8,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L579,ApplicationTest,com.anton46.collectionitempicker.sample.ApplicationTest,L562,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\androidTest\java\com\anton46\collectionitempicker\sample\ApplicationTest.java,9,1,14,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L582,MainActivity,com.anton46.collectionitempicker.sample.MainActivity,L562,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\anton46\collectionitempicker\sample\MainActivity.java,17,1,85,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,3,1,0,3,5,1.0,0.0517241,3,3,1,0,0.0447761,3,0,0,0,0,0,55,60,3,0,3,0,2,0,0,0,2,44,0,0,0,64,69,3,0,3,0,3,0,1,0,3,48,0,1,0,0,0,11,6,3,0,0,3,0,0,0,0,11,0,6,0,0,0,0,0,0
L290,CollectionPicker$1,com.anton46.collectionitempicker.CollectionPicker$1,L229,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\collectionpicker\src\main\java\com\anton46\collectionitempicker\CollectionPicker.java,106,99,114,10,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,1,0,1,3,0,1,0,9,9,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L349,CollectionPicker$2,com.anton46.collectionitempicker.CollectionPicker$2,L301,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\collectionpicker\src\main\java\com\anton46\collectionitempicker\CollectionPicker.java,155,69,177,18,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,3,0,0,5,6,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,22,23,0,0,0,0,1,0,1,0,1,12,0,1,0,22,23,0,0,0,0,1,0,1,0,1,12,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L522,CollectionPicker$3,com.anton46.collectionitempicker.CollectionPicker$3,L352,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\collectionpicker\src\main\java\com\anton46\collectionitempicker\CollectionPicker.java,338,62,358,18,0.0,0,0,0,0.0,0.0,0,0,4,0,0,4,1,0,0,1,5,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,15,21,0,0,0,0,4,0,4,0,4,1,0,4,0,15,21,0,0,0,0,4,0,4,0,4,1,0,4,0,0,0,12,0,3,0,0,0,1,0,0,0,11,3,0,0,0,0,0,0,0
L604,MainActivity$1,com.anton46.collectionitempicker.sample.MainActivity$1,L592,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\anton46\collectionitempicker\sample\MainActivity.java,30,66,40,10,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,3,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,11,11,0,0,0,0,1,0,1,0,1,4,0,1,0,11,11,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
