ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L136,Reservoir,com.anupcowkur.reservoir.Reservoir,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\Library\src\main\java\com\anupcowkur\reservoir\Reservoir.java,21,1,574,2,0.075784,1,9,3,0.0541516,0.0970874,30,30,1,1,1,26,10,19,33,14,35,1.0,0.612378,188,186,19,0,0.392927,200,0,0,0,0,0,119,346,4,4,4,4,21,0,18,0,21,58,0,18,0,309,554,18,6,18,6,39,0,23,0,39,143,0,23,0,0,3,98,9,8,0,35,4,0,0,0,12,59,0,0,0,3,1,0,0,4
L145,SimpleDiskCache,com.anupcowkur.reservoir.SimpleDiskCache,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\Library\src\main\java\com\anupcowkur\reservoir\SimpleDiskCache.java,19,1,235,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,24,2,7,11,2,17,0.0,0.00892857,1,0,0,2,0.00549451,1,0,0,0,0,0,111,135,4,2,4,2,15,0,1,0,15,50,0,1,0,181,217,7,3,7,3,23,0,6,0,23,79,0,6,0,0,1,55,2,13,3,0,10,0,0,0,0,55,0,1,0,1,1,0,0,0
L668,ReservoirTest,com.anupcowkur.reservoir.ReservoirTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\Sample\src\androidTest\java\com\anupcowkur\reservoir\ReservoirTest.java,28,1,425,2,0.0550622,1,2,2,0.0502513,0.0564263,20,18,4,0,0,18,8,10,0,18,36,0.0,0.0,0,0,0,19,0.0,0,0,0,0,0,0,139,184,6,0,6,0,18,2,18,0,18,54,2,18,0,319,398,6,0,6,0,58,2,58,0,58,100,2,58,0,0,0,243,16,51,57,42,0,17,0,0,4,176,6,0,0,0,0,0,0,8
L695,TestClass,com.anupcowkur.reservoir.TestClass,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\Sample\src\androidTest\java\com\anupcowkur\reservoir\TestClass.java,3,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,7,11,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,9,11,1,1,1,1,2,0,2,1,2,2,0,2,1,9,11,1,1,1,1,2,0,2,1,2,2,0,2,1,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
L867,TestUtils,com.anupcowkur.reservoir.TestUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\Sample\src\androidTest\java\com\anupcowkur\reservoir\TestUtils.java,3,1,15,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,2,0,1,3,0,1,0.0,0.166667,2,0,0,1,0.166667,2,0,0,0,0,0,10,13,0,1,0,1,1,0,0,0,1,7,0,0,0,10,13,0,1,0,1,1,0,0,0,1,7,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
L690,MainActivity,com.anupcowkur.reservoirsample.MainActivity,L878,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\Sample\src\main\java\com\anupcowkur\reservoirsample\MainActivity.java,6,1,13,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,7,8,0,0,0,0,1,0,0,0,1,2,0,0,0,7,8,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L892,SampleApp,com.anupcowkur.reservoirsample.SampleApp,L878,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\Sample\src\main\java\com\anupcowkur\reservoirsample\SampleApp.java,10,1,21,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,1,0,0,1,2,0.5,0.214286,3,3,1,1,0.214286,3,0,0,0,0,0,11,12,0,0,0,0,1,0,1,0,1,4,0,1,0,11,12,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,5,2,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
L235,Reservoir$PutTask,com.anupcowkur.reservoir.Reservoir$PutTask,L136,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\Library\src\main\java\com\anupcowkur\reservoir\Reservoir.java,405,5,441,6,0.284314,1,3,1,0.27027,0.3125,10,10,1,2,2,6,3,1,1,3,6,1.0,0.0857143,3,3,1,0,0.0857143,3,0,0,0,0,0,32,37,4,0,4,0,3,0,0,0,3,13,0,0,0,32,37,4,0,4,0,3,0,0,0,3,13,0,0,0,0,0,19,1,1,0,11,1,0,0,0,1,8,0,0,0,0,0,0,0,0
L304,Reservoir$GetTask<T extends Object>,com.anupcowkur.reservoir.Reservoir$GetTask,L136,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\Library\src\main\java\com\anupcowkur\reservoir\Reservoir.java,446,5,500,6,0.0,0,0,0,0.0,0.0,0,0,1,2,2,9,4,1,2,4,8,1.0,0.0566038,3,3,1,0,0.0566038,3,0,0,0,0,0,50,55,5,2,5,2,4,0,0,0,4,25,0,0,0,50,55,5,2,5,2,4,0,0,0,4,25,0,0,0,0,1,10,1,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0
L365,Reservoir$DeleteTask,com.anupcowkur.reservoir.Reservoir$DeleteTask,L136,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\Library\src\main\java\com\anupcowkur\reservoir\Reservoir.java,505,5,537,6,0.337209,1,3,1,0.30303,0.344828,10,10,1,2,2,6,3,1,1,3,6,1.0,0.09375,3,3,1,0,0.09375,3,0,0,0,0,0,29,33,3,0,3,0,3,0,0,0,3,11,0,0,0,29,33,3,0,3,0,3,0,0,0,3,11,0,0,0,0,0,19,1,0,0,11,0,0,0,0,1,8,0,0,0,0,0,0,0,0
