ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L464,AnimationListenerAdapter,com.asha.AnimationListenerAdapter,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\chromelikeswipelayout\src\main\java\com\asha\AnimationListenerAdapter.java,9,1,24,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,3,0,4,0,0,3,0.25,0.266667,4,4,1,3,0.266667,4,0,0,3,3,0,11,16,0,0,0,0,3,0,3,0,3,0,0,3,0,11,16,0,0,0,0,3,0,3,0,3,0,0,3,0,0,0,8,0,3,0,0,0,1,0,0,0,7,3,0,0,0,0,0,0,0
L479,ChromeLikeLayout,com.asha.ChromeLikeLayout,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\chromelikeswipelayout\src\main\java\com\asha\ChromeLikeLayout.java,28,1,619,2,0.0466926,1,2,2,0.0388514,0.0468085,23,22,2,3,3,61,8,4,8,23,58,0.0666667,0.0546075,16,4,1,14,0.06,30,1,1,0,0,1,277,361,20,3,20,3,35,0,14,7,35,167,0,14,7,470,592,43,5,43,5,65,0,41,9,71,252,0,47,9,0,0,216,2,28,2,44,19,2,1,1,8,155,1,0,0,0,0,0,0,13
L192,ChromeLikeSwipeLayout,com.asha.ChromeLikeSwipeLayout,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\chromelikeswipelayout\src\main\java\com\asha\ChromeLikeSwipeLayout.java,34,1,587,2,0.0,0,0,0,0.0,0.0,0,0,6,3,3,92,10,20,15,37,84,0.108108,0.0403458,14,8,4,33,0.0421941,20,1,1,0,0,1,333,410,13,1,13,1,47,0,36,4,47,180,0,36,4,454,554,30,1,30,1,73,0,60,6,76,225,0,63,6,0,2,184,2,38,4,0,34,2,1,2,2,170,0,2,0,0,0,0,0,9
L1125,TouchAlwaysTrueLayout,com.asha.TouchAlwaysTrueLayout,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\chromelikeswipelayout\src\main\java\com\asha\TouchAlwaysTrueLayout.java,17,1,167,2,0.0,0,0,0,0.0,0.0,0,0,4,3,3,33,0,1,2,0,17,0.142857,0.0601504,8,8,2,12,0.0601504,8,0,0,0,0,0,125,151,5,0,5,0,17,0,13,1,17,63,0,13,1,125,151,5,0,5,0,17,0,13,1,17,63,0,13,1,0,1,38,2,6,1,0,5,1,0,0,2,37,0,1,0,0,0,0,0,0
L652,TouchManager,com.asha.TouchManager,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\chromelikeswipelayout\src\main\java\com\asha\TouchManager.java,13,1,239,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,59,2,5,11,6,27,0.0666667,0.0603015,12,4,1,14,0.0582524,12,0,0,0,0,0,187,220,12,3,12,3,21,1,14,5,21,106,1,14,5,194,227,12,3,12,3,26,1,19,5,26,106,1,19,5,0,0,68,2,9,2,0,7,1,2,0,2,58,0,0,0,0,0,0,0,7
L152,ApplicationTest,com.asha.chromelikeswipelayout.ApplicationTest,L123,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\asha\chromelikeswipelayout\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L166,CustomHeightListViewActivity,com.asha.chromelikeswipelayout.CustomHeightListViewActivity,L123,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\asha\chromelikeswipelayout\CustomHeightListViewActivity.java,19,1,71,2,0.497355,1,1,1,0.301887,0.326087,16,15,1,0,0,1,5,1,0,5,6,1.0,0.2,5,4,1,0,0.0980392,5,1,1,0,0,1,20,24,1,0,1,0,1,0,0,0,3,6,0,1,0,46,53,1,4,1,4,6,0,5,0,8,14,0,6,0,0,0,42,1,1,2,22,0,0,0,0,0,20,0,0,0,0,0,0,0,0
L261,DisabledExampleActivity,com.asha.chromelikeswipelayout.DisabledExampleActivity,L123,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\asha\chromelikeswipelayout\DisabledExampleActivity.java,19,1,77,2,0.458537,1,1,1,0.271186,0.294118,16,15,1,0,0,2,5,1,0,6,8,1.0,0.166667,5,4,1,0,0.0892857,5,1,1,0,0,1,25,30,1,0,1,0,2,0,0,0,4,8,0,1,0,51,59,1,4,1,4,7,0,5,0,9,16,0,6,0,0,0,44,0,1,1,22,0,0,0,0,0,22,0,0,0,0,0,0,0,0
L292,LinearLayoutActivity,com.asha.chromelikeswipelayout.LinearLayoutActivity,L123,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\asha\chromelikeswipelayout\LinearLayoutActivity.java,12,5,32,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,4,1,0,3,4,1.0,0.222222,4,4,1,0,0.181818,4,1,1,0,0,1,14,17,1,0,1,0,1,0,0,0,3,4,0,1,0,18,21,1,0,1,0,2,0,1,0,4,5,0,2,0,0,0,9,1,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
L303,ListViewActivity,com.asha.chromelikeswipelayout.ListViewActivity,L123,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\asha\chromelikeswipelayout\ListViewActivity.java,17,1,68,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,5,1,0,3,4,1.0,0.173913,4,4,1,0,0.0816327,4,1,1,0,0,1,19,23,1,0,1,0,1,0,0,0,3,6,0,1,0,45,52,1,4,1,4,6,0,5,0,8,14,0,6,0,0,0,20,1,1,2,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
