ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L402,FailingAmazonDynamoDBClient,com.amazonaws.services.dynamodbv2.transactions.FailingAmazonDynamoDBClient,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\integration\src\test\java\com\amazonaws\services\dynamodbv2\transactions\FailingAmazonDynamoDBClient.java,28,1,80,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,9,1,3,6,0,4,0.4,0.255319,12,12,2,3,0.24,12,0,0,0,0,0,35,50,3,1,3,1,4,3,4,0,4,15,3,4,0,38,53,4,1,4,1,4,3,4,0,4,15,3,4,0,0,0,15,0,6,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,4
L469,IntegrationTest,com.amazonaws.services.dynamodbv2.transactions.IntegrationTest,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\integration\src\test\java\com\amazonaws\services\dynamodbv2\transactions\IntegrationTest.java,44,1,281,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,31,9,9,80,14,29,0.0,0.0234742,5,0,0,5,0.0234742,5,0,0,3,3,0,208,238,17,1,17,1,15,0,4,0,15,101,0,4,0,208,238,17,1,17,1,15,0,4,0,15,101,0,4,0,0,0,35,19,4,14,0,3,1,0,0,4,29,0,2,0,0,0,0,0,5
L653,MapperTransactionsIntegrationTest,com.amazonaws.services.dynamodbv2.transactions.MapperTransactionsIntegrationTest,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\integration\src\test\java\com\amazonaws\services\dynamodbv2\transactions\MapperTransactionsIntegrationTest.java,40,1,560,2,0.209376,6,21,12,0.1881,0.199482,98,77,1,1,1,26,7,0,0,27,46,0.111111,0.0716418,24,6,2,16,0.0631068,26,1,1,0,0,1,311,428,18,4,1,3,19,0,17,0,34,240,0,21,0,386,521,23,13,6,12,33,0,31,5,48,264,0,35,5,0,6,130,0,40,34,41,5,0,0,9,0,75,0,6,0,0,1,0,0,5
L777,TransactionManagerDBFacadeIntegrationTest,com.amazonaws.services.dynamodbv2.transactions.TransactionManagerDBFacadeIntegrationTest,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\integration\src\test\java\com\amazonaws\services\dynamodbv2\transactions\TransactionManagerDBFacadeIntegrationTest.java,37,1,316,2,0.0708661,1,3,3,0.107143,0.0861244,30,18,1,1,1,29,6,0,0,20,43,0.0,0.118143,28,7,0,10,0.118143,28,1,1,0,0,1,209,280,23,1,6,0,23,0,9,0,38,104,0,13,0,209,280,23,1,6,0,23,0,9,0,38,104,0,13,0,0,1,57,7,29,31,17,4,0,0,0,0,37,0,2,0,0,0,0,0,3
L514,TransactionsIntegrationTest,com.amazonaws.services.dynamodbv2.transactions.TransactionsIntegrationTest,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\integration\src\test\java\com\amazonaws\services\dynamodbv2\transactions\TransactionsIntegrationTest.java,49,1,2034,2,0.399605,29,98,72,0.355992,0.389381,707,572,4,1,1,94,15,1,0,27,90,0.078125,0.0576102,81,14,5,59,0.0553055,86,1,1,0,0,1,1325,1832,19,18,2,17,63,0,63,0,78,855,0,67,0,1469,1986,44,136,2,17,86,0,68,0,880,905,1,395,0,0,23,661,17,203,139,353,60,2,0,12,7,238,3,30,0,0,4,0,0,56
L1366,ReadCommittedIsolationHandlerImpl,com.amazonaws.services.dynamodbv2.transactions.ReadCommittedIsolationHandlerImpl,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\amazonaws\services\dynamodbv2\transactions\ReadCommittedIsolationHandlerImpl.java,31,1,209,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,28,10,2,24,16,25,0.25,0.282353,48,32,1,3,0.282353,48,1,1,0,0,1,122,179,4,1,4,1,9,0,3,0,9,58,0,3,0,122,179,4,1,4,1,9,0,3,0,9,58,0,3,0,0,0,13,0,1,0,0,1,0,2,0,0,11,0,0,0,0,0,0,0,0
L1443,ReadUncommittedIsolationHandlerImpl,com.amazonaws.services.dynamodbv2.transactions.ReadUncommittedIsolationHandlerImpl,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\amazonaws\services\dynamodbv2\transactions\ReadUncommittedIsolationHandlerImpl.java,22,1,54,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,2,2,5,2,3,1.0,0.529412,18,15,2,0,0.529412,18,1,1,0,0,1,16,33,1,0,1,0,1,0,1,0,1,5,0,1,0,16,33,1,0,1,0,1,0,1,0,1,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L633,Request,com.amazonaws.services.dynamodbv2.transactions.Request,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\amazonaws\services\dynamodbv2\transactions\Request.java,62,1,581,2,0.151351,1,14,2,0.0730769,0.0971867,38,38,2,2,2,36,10,25,37,3,18,0.75,0.14557,23,23,3,1,0.0600962,25,0,0,4,4,0,135,195,3,7,3,7,15,0,3,1,15,52,0,3,1,391,520,8,52,8,33,71,0,43,22,119,123,0,59,27,0,0,209,8,14,6,27,13,1,0,0,0,169,0,2,0,0,1,0,0,12
L1709,ThreadLocalDynamoDBFacade,com.amazonaws.services.dynamodbv2.transactions.ThreadLocalDynamoDBFacade,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\amazonaws\services\dynamodbv2\transactions\ThreadLocalDynamoDBFacade.java,61,1,286,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,44,0,2,2,0,43,0.0232558,0.037234,7,7,1,42,0.037234,7,0,0,0,0,0,181,226,1,5,1,5,43,0,42,3,43,45,0,42,3,181,226,1,5,1,5,43,0,42,3,43,45,0,42,3,0,0,93,1,1,0,0,1,0,0,0,1,89,0,0,0,0,0,0,0,4
L281,Transaction,com.amazonaws.services.dynamodbv2.transactions.Transaction,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\amazonaws\services\dynamodbv2\transactions\Transaction.java,89,1,1344,2,0.0289288,1,3,3,0.0238854,0.0366848,30,27,3,7,4,172,20,38,114,46,88,0.722222,0.386842,441,292,13,5,0.375212,442,0,0,18,18,0,699,1215,12,6,12,6,42,1,17,0,42,408,1,17,0,736,1256,25,6,25,6,47,13,21,0,47,415,13,21,0,0,13,108,15,29,9,17,19,1,10,6,9,48,0,16,1,4,0,0,0,25
