ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L142,ApplicationTest,com.carouselview.ApplicationTest,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\carouselview\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L156,CarouselFragment,com.carouselview.CarouselFragment,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\carouselview\CarouselFragment.java,21,1,98,2,0,0,0,0,0,0,0,0,3,1,1,6,5,3,1,7,12,0.2,0.0754717,4,4,1,4,0.0615385,4,1,1,0,0,1,49,66,1,0,1,0,5,0,4,0,5,29,0,4,0,61,78,1,0,1,0,7,0,6,0,7,35,0,6,0,0,0,24,0,1,0,0,1,1,0,0,0,23,0,0,0,0,0,0,0,0
L286,MainActivity,com.carouselview.MainActivity,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\carouselview\MainActivity.java,11,1,22,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,1.0,0.230769,3,3,1,0,0.230769,3,0,0,0,0,0,10,12,0,0,0,0,1,0,0,0,1,5,0,0,0,10,12,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
L487,ExampleUnitTest,com.carouselview.ExampleUnitTest,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\carouselview\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L494,ApplicationTest,com.carouselview.ApplicationTest,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\carousel\src\androidTest\java\com\carouselview\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.666667,0.375,3,3,2,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L497,ExampleUnitTest,com.carouselview.ExampleUnitTest,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\carousel\src\test\java\com\carouselview\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.666667,0.333333,3,3,2,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L513,CarouselAdapter<T extends Adapter>,com.carousel.CarouselAdapter,L501,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\carousel\src\main\java\com\carousel\CarouselAdapter.java,26,1,940,2,0,0,0,0,0,0,0,0,9,4,4,116,0,5,24,0,43,0.684211,0.485597,354,304,13,6,0.4725,378,0,0,1,2,0,375,838,26,12,26,12,43,0,18,8,43,191,0,18,8,422,915,30,12,30,12,47,3,22,8,47,216,3,22,8,0,0,61,1,52,1,0,46,1,5,0,1,39,0,1,0,0,4,0,0,16
L892,CarouselConfigInfo,com.carousel.CarouselConfigInfo,L501,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\carousel\src\main\java\com\carousel\CarouselConfigInfo.java,9,1,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.0,0.753623,52,52,1,0,0.753623,52,0,0,0,0,0,17,79,15,0,15,0,0,0,0,0,0,0,0,0,0,17,79,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2
L928,CarouselItemHolder,com.carousel.CarouselItemHolder,L501,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\carousel\src\main\java\com\carousel\CarouselItemHolder.java,17,1,180,2,0,0,0,0,0,0,0,0,5,1,1,30,0,3,16,0,28,0.4,0.105263,14,13,2,3,0.105263,14,0,0,0,0,0,119,164,13,10,13,10,28,0,4,11,28,41,0,4,11,119,164,13,10,13,10,28,0,4,11,28,41,0,4,11,0,0,63,0,23,0,0,22,1,0,0,1,55,0,0,0,0,0,0,0,7
L1054,CarouselOptions,com.carousel.CarouselOptions,L501,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\carousel\src\main\java\com\carousel\CarouselOptions.java,16,1,288,2,0,0,0,0,0,0,0,0,1,1,1,28,1,2,6,0,20,1.0,0.536585,132,130,10,0,0.536585,132,0,0,0,0,0,114,273,8,9,8,9,20,0,9,0,20,51,0,9,0,114,273,8,9,8,9,20,0,9,0,20,51,0,9,0,0,1,7,0,9,0,0,9,0,0,0,0,4,0,1,0,0,0,0,0,3
