ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L272,ChangeUpdateListener,com.bartoszlipinski.viewpropertyobjectanimator.ChangeUpdateListener,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpropertyobjectanimator\src\main\java\com\bartoszlipinski\viewpropertyobjectanimator\ChangeUpdateListener.java,26,1,61,2,0,0,0,0,0,0,0,0,2,0,0,3,0,5,18,0,3,0.333333,0.25,4,4,1,2,0.125,4,0,0,5,5,0,12,18,1,0,1,0,3,0,2,0,3,3,0,2,0,28,36,5,0,5,0,5,4,4,0,5,7,4,4,0,0,0,29,0,2,1,0,1,1,0,0,0,18,0,0,0,0,0,0,0,10
L312,DimensionChangeListener,com.bartoszlipinski.viewpropertyobjectanimator.DimensionChangeListener,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpropertyobjectanimator\src\main\java\com\bartoszlipinski\viewpropertyobjectanimator\DimensionChangeListener.java,26,1,89,2,0,0,0,0,0,0,0,0,1,2,2,18,2,1,7,4,14,0.125,0.0727273,4,4,1,7,0.0727273,4,1,1,0,0,1,51,64,4,0,3,0,10,0,7,0,13,21,0,9,0,51,64,4,0,3,0,10,0,7,0,13,21,0,9,0,0,0,23,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
L383,MarginChangeListener,com.bartoszlipinski.viewpropertyobjectanimator.MarginChangeListener,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpropertyobjectanimator\src\main\java\com\bartoszlipinski\viewpropertyobjectanimator\MarginChangeListener.java,26,1,145,2,0,0,0,0,0,0,0,0,1,2,2,26,2,1,15,4,24,0.0625,0.039604,4,4,1,15,0.039604,4,1,1,0,0,1,97,120,6,0,5,0,20,0,15,0,23,43,0,17,0,97,120,6,0,5,0,20,0,15,0,23,43,0,17,0,0,0,43,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0
L454,PaddingChangeListener,com.bartoszlipinski.viewpropertyobjectanimator.PaddingChangeListener,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpropertyobjectanimator\src\main\java\com\bartoszlipinski\viewpropertyobjectanimator\PaddingChangeListener.java,25,1,143,2,0,0,0,0,0,0,0,0,1,2,2,29,2,1,15,4,24,0.0625,0.04,4,4,1,15,0.04,4,1,1,0,0,1,96,119,5,0,4,0,20,0,15,0,23,44,0,17,0,96,119,5,0,4,0,20,0,15,0,23,44,0,17,0,0,0,43,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0
L522,PercentChangeListener,com.bartoszlipinski.viewpropertyobjectanimator.PercentChangeListener,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpropertyobjectanimator\src\main\java\com\bartoszlipinski\viewpropertyobjectanimator\PercentChangeListener.java,28,1,212,2,0,0,0,0,0,0,0,0,1,2,2,42,2,1,23,4,35,0.0416667,0.025641,4,4,1,23,0.025641,4,1,1,0,0,1,152,185,9,0,8,0,31,0,23,0,34,67,0,25,0,152,185,9,0,8,0,31,0,23,0,34,67,0,25,0,0,0,68,1,0,1,0,0,0,0,0,0,65,0,0,0,0,0,0,0,3
L623,ScrollChangeListener,com.bartoszlipinski.viewpropertyobjectanimator.ScrollChangeListener,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpropertyobjectanimator\src\main\java\com\bartoszlipinski\viewpropertyobjectanimator\ScrollChangeListener.java,25,1,74,2,0,0,0,0,0,0,0,0,1,2,2,13,2,1,5,4,12,0.166667,0.0909091,4,4,1,5,0.0909091,4,1,1,0,0,1,40,50,3,0,2,0,8,0,5,0,11,16,0,7,0,40,50,3,0,2,0,8,0,5,0,11,16,0,7,0,0,0,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
L651,ViewPropertyObjectAnimator,com.bartoszlipinski.viewpropertyobjectanimator.ViewPropertyObjectAnimator,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpropertyobjectanimator\src\main\java\com\bartoszlipinski\viewpropertyobjectanimator\ViewPropertyObjectAnimator.java,40,1,892,2,0,0,0,0,0,0,0,0,2,3,3,211,5,4,6,65,180,0.00952381,0.00995733,7,4,1,104,0.00948509,7,0,0,0,0,0,696,815,14,0,14,0,115,0,104,3,115,344,0,104,3,731,853,16,0,16,0,120,0,109,3,120,358,0,109,3,0,0,268,2,10,0,0,4,1,2,2,5,252,0,1,0,0,2,0,0,11
L296,ChangeUpdateListener$IntValues,com.bartoszlipinski.viewpropertyobjectanimator.ChangeUpdateListener$IntValues,L272,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpropertyobjectanimator\src\main\java\com\bartoszlipinski\viewpropertyobjectanimator\ChangeUpdateListener.java,42,5,50,6,0,0,0,0,0,0,0,0,0,0,0,1,0,4,24,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,9,2,0,2,0,1,2,1,0,1,2,2,1,0,8,9,2,0,2,0,1,2,1,0,1,2,2,1,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4
L304,ChangeUpdateListener$FloatValues,com.bartoszlipinski.viewpropertyobjectanimator.ChangeUpdateListener$FloatValues,L272,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\viewpropertyobjectanimator\src\main\java\com\bartoszlipinski\viewpropertyobjectanimator\ChangeUpdateListener.java,52,5,60,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,9,2,0,2,0,1,2,1,0,1,2,2,1,0,8,9,2,0,2,0,1,2,1,0,1,2,2,1,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4
L139,MainActivity,com.bartoszlipinski.viewpropertyobjectanimator.sample.activity.MainActivity,L128,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\bartoszlipinski\viewpropertyobjectanimator\sample\activity\MainActivity.java,19,1,112,2,0,0,0,0,0,0,0,0,1,1,1,5,1,2,2,15,18,1.0,0.0547945,4,4,1,0,0.045977,4,0,0,0,0,0,69,79,3,0,3,0,3,0,0,0,3,28,0,0,0,83,94,3,0,3,0,5,0,2,0,5,34,0,2,0,0,0,19,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0
