ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L148,ApplicationTest,com.github.captain_miao.agera.tutorial.ApplicationTest,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\github\captain_miao\agera\tutorial\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L162,AppAgera,com.github.captain_miao.agera.tutorial.AppAgera,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\github\captain_miao\agera\tutorial\AppAgera.java,10,1,27,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,0,1,1,0,3,0.25,0.222222,4,4,1,3,0.222222,4,0,0,0,0,0,14,18,1,2,1,2,3,0,3,0,3,4,0,3,0,14,18,1,2,1,2,3,0,3,0,3,4,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
L746,MainActivity,com.github.captain_miao.agera.tutorial.MainActivity,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\github\captain_miao\agera\tutorial\MainActivity.java,18,1,57,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,4,2,0,0,1,4,0.0,0.0769231,2,0,0,3,0.0571429,2,1,1,0,0,1,24,31,2,0,2,0,3,0,2,0,3,9,0,2,0,33,40,2,0,2,0,3,0,2,0,3,9,0,2,0,0,1,13,1,1,1,0,0,1,0,0,1,12,0,1,0,0,0,0,0,0
L1162,SimpleActivityA,com.github.captain_miao.agera.tutorial.SimpleActivityA,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\github\captain_miao\agera\tutorial\SimpleActivityA.java,17,1,75,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,6,2,0,0,0,5,0.0,0.025641,1,1,0,3,0.0208333,1,1,1,0,0,1,38,50,4,0,3,0,5,0,2,1,11,12,0,4,1,47,59,4,0,3,0,7,0,4,1,13,14,0,6,1,0,0,23,0,2,0,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0
L1188,SimpleActivityB,com.github.captain_miao.agera.tutorial.SimpleActivityB,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\github\captain_miao\agera\tutorial\SimpleActivityB.java,23,1,103,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,2,0,0,0,6,0.0,0.0185185,1,1,0,3,0.0147059,1,1,1,0,0,1,53,67,6,0,5,0,6,0,2,1,12,18,0,4,1,67,81,6,0,5,0,9,0,5,1,15,21,0,7,1,0,0,30,1,2,1,0,2,0,0,0,0,30,0,0,0,0,0,0,0,0
L1225,SimpleActivityC,com.github.captain_miao.agera.tutorial.SimpleActivityC,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\github\captain_miao\agera\tutorial\SimpleActivityC.java,7,1,16,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,9,10,1,0,0,0,1,0,1,0,7,3,0,3,0,9,10,1,0,0,0,1,0,1,0,7,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L1233,SimpleActivityH,com.github.captain_miao.agera.tutorial.SimpleActivityH,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\github\captain_miao\agera\tutorial\SimpleActivityH.java,20,1,88,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,1,1,0,0,6,0.0,0.0212766,1,1,0,3,0.0338983,2,1,1,0,0,1,46,58,6,0,5,0,6,0,2,1,12,15,0,4,1,57,69,6,0,5,0,7,0,3,1,13,20,0,5,1,0,0,20,1,5,1,0,4,0,0,0,0,20,0,0,0,0,1,0,0,0
L1261,SimpleActivityI,com.github.captain_miao.agera.tutorial.SimpleActivityI,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\github\captain_miao\agera\tutorial\SimpleActivityI.java,26,1,121,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,2,2,0,0,6,0.0,0.0344828,2,1,0,3,0.0240964,2,1,1,0,0,1,56,71,7,0,6,0,6,0,2,1,12,15,0,4,1,81,96,7,0,6,0,11,0,7,1,17,21,0,9,1,0,0,41,1,6,0,0,5,0,0,0,1,40,0,0,0,0,1,0,0,1
L1230,SimpleFragmentC,com.github.captain_miao.agera.tutorial.SimpleFragmentC,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\github\captain_miao\agera\tutorial\SimpleFragmentC.java,22,1,90,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,9,3,2,0,1,9,0.125,0.127273,7,5,1,7,0.118644,7,1,1,0,0,1,48,65,4,0,3,0,8,0,7,1,10,17,1,9,1,52,69,4,0,3,0,9,0,8,1,11,18,1,10,1,0,0,26,0,3,0,0,2,1,0,0,1,23,0,0,0,0,0,0,0,2
L1628,ExampleUnitTest,com.github.captain_miao.agera.tutorial.ExampleUnitTest,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\github\captain_miao\agera\tutorial\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L192,BaseActivity,com.github.captain_miao.agera.tutorial.base.BaseActivity,L187,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\github\captain_miao\agera\tutorial\base\BaseActivity.java,10,1,81,2,0.241935,1,3,1,0.166667,0.26087,12,12,5,1,1,11,1,8,1,0,7,0.25,0.220339,13,13,1,3,0.220339,13,0,0,8,8,0,46,72,1,0,1,0,7,0,3,0,7,22,0,3,0,46,72,1,0,1,0,7,0,3,0,7,22,0,3,0,0,0,23,4,3,4,11,2,1,0,0,0,11,0,0,0,0,1,0,0,0
