ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L123,LocationModule,com.ceabie.demo.LocationModule,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\ceabie\demo\LocationModule.java,33,1,305,2,0.0,0,0,0,0.0,0.0,0,0,4,2,2,43,1,3,0,0,15,0.0,0.0365854,6,1,0,12,0.0666667,14,0,0,0,0,0,158,218,14,4,14,4,15,0,11,0,15,78,0,11,0,196,273,14,4,14,4,23,0,19,0,23,89,0,19,0,0,2,64,5,17,3,0,2,2,0,0,6,60,7,3,0,0,3,0,0,2
L347,MainActivity,com.ceabie.demo.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\ceabie\demo\MainActivity.java,14,1,58,2,0.834437,1,1,1,0.755556,0.794118,34,27,1,0,0,2,0,1,1,0,2,0.0,0.0,0,0,0,1,0.15,6,0,0,0,0,0,15,20,2,0,2,0,2,0,0,0,2,5,0,0,0,34,45,2,0,2,0,5,0,3,0,5,9,0,3,0,0,0,64,1,1,1,44,1,0,0,0,0,20,0,0,0,0,0,0,0,0
L391,MainActivity2,com.ceabie.demo.MainActivity2,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\ceabie\demo\MainActivity2.java,13,1,57,2,0.834437,1,1,1,0.755556,0.794118,34,27,1,0,0,2,0,1,1,0,2,0.0,0.0,0,0,0,1,0.15,6,0,0,0,0,0,15,20,2,0,2,0,2,0,0,0,2,5,0,0,0,34,45,2,0,2,0,5,0,3,0,5,9,0,3,0,0,0,64,1,1,1,44,1,0,0,0,0,20,0,0,0,0,0,0,0,0
L60443,ClassFileTreeElement,com.ceabie.dexknife.ClassFileTreeElement,L60432,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\gradle-dexknife-plugin\src\main\groovy\com\ceabie\dexknife\ClassFileTreeElement.java,31,1,101,2,0.0,0,0,0,0.0,0.0,0,0,4,0,0,13,0,1,4,0,12,0.0769231,0.15873,10,5,1,12,0.15873,10,0,0,0,0,0,53,71,2,7,2,7,12,0,12,1,12,12,0,12,1,53,71,2,7,2,7,12,0,12,1,12,12,0,12,1,0,0,27,0,1,0,0,0,1,0,0,0,25,1,0,0,0,0,0,0,1
L60481,DexKnifeConfig,com.ceabie.dexknife.DexKnifeConfig,L60432,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\gradle-dexknife-plugin\src\main\groovy\com\ceabie\dexknife\DexKnifeConfig.java,27,1,36,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.333333,5,5,1,0,0.333333,5,0,0,0,0,0,10,10,8,0,8,0,0,0,0,0,0,0,0,0,0,10,10,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,1
L60498,DexSplitTools,com.ceabie.dexknife.DexSplitTools,L60432,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\gradle-dexknife-plugin\src\main\groovy\com\ceabie\dexknife\DexSplitTools.java,36,1,559,2,0.0,0,0,0,0.0,0.0,0,0,2,13,4,106,2,0,0,2,16,0.5,0.133641,58,40,1,1,0.133641,58,0,0,0,0,0,376,524,18,6,18,6,14,1,1,0,14,235,1,1,0,376,524,18,6,18,6,14,1,1,0,14,235,1,1,0,0,6,49,28,7,22,0,1,1,9,0,8,27,0,5,0,0,5,0,0,12
L234,LocationModule$1,com.ceabie.demo.LocationModule$1,L123,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\ceabie\demo\LocationModule.java,152,68,172,6,0.0,0,0,0,0.0,0.0,0,0,4,0,0,4,0,0,0,0,4,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,14,21,0,0,0,0,4,0,4,0,4,0,0,4,0,14,21,0,0,0,0,4,0,4,0,4,0,0,4,0,0,0,12,0,4,0,0,0,1,0,0,0,11,4,0,0,0,0,0,0,0
L283,LocationModule$2,com.ceabie.demo.LocationModule$2,L123,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\ceabie\demo\LocationModule.java,218,55,230,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,1,0,0,0,1,0.0,0.0909091,1,0,0,2,0.0909091,1,0,0,0,0,0,10,13,0,0,0,0,1,0,1,0,1,4,0,1,0,10,13,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L420,A,com.ceabie.demo.methodpool1.A,L412,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\ceabie\demo\methodpool1\A.java,2,1,10003,2,0.0,0,0,0,0.0,0.0,0,0,10000,0,0,10000,0,0,0,0,10000,0.0,0.0,0,0,0,10001,0.0,0,0,0,0,0,0,10002,10002,0,0,0,0,10000,0,10000,0,10000,10000,0,10000,0,10002,10002,0,0,0,0,10000,0,10000,0,10000,10000,0,10000,0,0,0,20020,0,1,0,0,1,1,1,1,0,20003,0,0,0,0,0,0,0,14
L10422,B,com.ceabie.demo.methodpool1.B,L412,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\ceabie\demo\methodpool1\B.java,2,1,10003,2,0.0,0,0,0,0.0,0.0,0,0,10000,0,0,10000,0,0,0,0,10000,0.0,0.0,0,0,0,10001,0.0,0,0,0,0,0,0,10002,10002,0,0,0,0,10000,0,10000,0,10000,10000,0,10000,0,10002,10002,0,0,0,0,10000,0,10000,0,10000,10000,0,10000,0,0,0,20020,0,1,0,0,1,1,1,1,0,20003,0,0,0,0,0,0,0,14
