ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L137,AboutActivity,com.sqisland.android.graphics_demo.AboutActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\sqisland\android\graphics_demo\AboutActivity.java,9,1,20,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,11,12,0,0,0,0,1,0,0,0,1,6,0,0,0,11,12,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L177,BlurMaskFilterActivity,com.sqisland.android.graphics_demo.BlurMaskFilterActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\sqisland\android\graphics_demo\BlurMaskFilterActivity.java,14,1,43,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,1,1,0,1,3,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,27,30,0,0,0,0,2,0,0,0,2,15,0,0,0,27,30,0,0,0,0,2,0,0,0,2,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
L227,ClipRectActivity,com.sqisland.android.graphics_demo.ClipRectActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\sqisland\android\graphics_demo\ClipRectActivity.java,12,1,47,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,0,1,0,0,2,0.0,0.037037,1,1,0,1,0.037037,1,0,0,0,0,0,26,36,2,0,2,0,2,0,0,0,2,17,0,0,0,26,36,2,0,2,0,2,0,0,0,2,17,0,0,0,0,0,7,0,2,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0
L289,ColorMatrixActivity,com.sqisland.android.graphics_demo.ColorMatrixActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\sqisland\android\graphics_demo\ColorMatrixActivity.java,12,1,95,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,6,2,1,0,1,7,0.0,0.028169,2,0,0,1,0.028169,2,1,1,0,0,1,69,84,3,5,0,4,6,0,0,0,8,26,0,0,0,69,84,3,5,0,4,6,0,0,0,8,26,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
L354,EmbossMaskFilterActivity,com.sqisland.android.graphics_demo.EmbossMaskFilterActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\sqisland\android\graphics_demo\EmbossMaskFilterActivity.java,11,1,33,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,1,1,0,1,3,0.0,0.05,1,0,0,1,0.05,1,0,0,0,0,0,19,23,0,0,0,0,2,0,0,0,2,10,0,0,0,19,23,0,0,0,0,2,0,0,0,2,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
L372,FourColorsActivity,com.sqisland.android.graphics_demo.FourColorsActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\sqisland\android\graphics_demo\FourColorsActivity.java,6,1,12,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,0,1,2,0,0,0,7,7,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L376,HollowTextActivity,com.sqisland.android.graphics_demo.HollowTextActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\sqisland\android\graphics_demo\HollowTextActivity.java,24,1,143,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,5,2,1,0,2,7,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,51,61,0,4,0,4,5,0,0,0,5,26,0,0,0,102,120,5,5,5,5,13,2,8,1,13,44,2,8,1,0,0,46,0,2,0,0,1,1,0,0,0,38,1,0,0,0,0,0,0,7
L577,MainActivity,com.sqisland.android.graphics_demo.MainActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\sqisland\android\graphics_demo\MainActivity.java,16,1,78,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,13,0,0,1,2,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,34,40,0,0,0,0,1,0,0,0,1,21,0,0,0,55,63,2,0,2,0,4,2,3,0,4,28,2,3,0,0,0,24,0,3,0,0,3,0,0,1,0,17,0,0,0,0,0,0,0,6
L613,PatternedTextActivity,com.sqisland.android.graphics_demo.PatternedTextActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\sqisland\android\graphics_demo\PatternedTextActivity.java,11,1,22,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,11,12,0,0,0,0,1,0,0,0,1,6,0,0,0,11,12,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L616,PeekThroughActivity,com.sqisland.android.graphics_demo.PeekThroughActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\sqisland\android\graphics_demo\PeekThroughActivity.java,6,1,12,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,0,1,2,0,0,0,7,7,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
