ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L152,Router,com.usepropeller.routable.Router,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\com\usepropeller\routable\Router.java,44,1,515,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,49,6,5,14,10,37,0.954545,0.369281,113,112,21,1,0.35,140,0,0,0,0,0,193,379,5,2,5,2,27,0,21,2,27,108,0,21,2,260,472,15,8,15,8,44,2,38,5,44,126,2,38,5,0,5,59,1,19,2,0,13,1,0,0,1,47,2,6,0,0,1,0,0,11
L549,RouterActivity,com.usepropeller.routable.RouterActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\com\usepropeller\routable\RouterActivity.java,8,1,34,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,3,1,0,0,3,4,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,23,27,0,0,0,0,1,0,1,0,1,14,0,1,0,23,27,0,0,0,0,1,0,1,0,1,14,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L127,RouterTest,com.usepropeller.routable.test.RouterTest,L119,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\RoutableTestTest\src\com\usepropeller\routable\test\RouterTest.java,14,1,179,2,0.294931,2,8,4,0.26506,0.283465,44,36,11,1,1,18,4,3,0,7,21,0.0,0.0,0,0,0,15,0.0,0,0,0,0,0,0,112,150,1,0,1,0,14,0,14,1,14,71,0,14,1,127,166,1,0,1,0,17,0,17,1,17,77,0,17,1,0,0,74,5,0,2,27,0,1,0,0,2,46,0,1,0,0,0,0,0,0
L194,Router$RouterCallback,com.usepropeller.routable.Router$RouterCallback,L152,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\com\usepropeller\routable\Router.java,59,2,61,3,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,6,1,0,1,0.5,0.571429,4,4,1,1,0.571429,4,0,0,3,3,0,3,3,0,0,0,0,1,0,1,0,1,0,0,1,0,3,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L204,Router$RouteContext,com.usepropeller.routable.Router$RouteContext,L152,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\com\usepropeller\routable\Router.java,66,2,91,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,4,0,5,4,0,4,0.8,0.48,12,12,4,1,0.48,12,0,0,0,0,0,13,26,3,3,3,3,4,0,4,0,4,6,0,4,0,13,26,3,3,3,3,4,0,4,0,4,6,0,4,0,0,0,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
L282,Router$RouterOptions,com.usepropeller.routable.Router$RouterOptions,L152,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\com\usepropeller\routable\Router.java,98,2,143,3,0.0,0,0,0,0.0,0.0,0,0,0,0,0,10,1,2,6,0,10,0.0909091,0.125,5,5,1,10,0.125,5,0,0,0,0,0,35,46,3,3,3,3,10,0,10,3,10,10,0,10,3,35,46,3,3,3,3,10,0,10,3,10,10,0,10,3,0,4,23,0,5,0,0,3,0,0,0,1,23,1,4,0,0,0,0,0,0
L318,Router$RouterParams,com.usepropeller.routable.Router$RouterParams,L152,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\com\usepropeller\routable\Router.java,145,2,148,3,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,4,4,2,0,2,0,0,2,0,0,0,0,2,0,0,4,4,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
L174,Router$RouteNotFoundException,com.usepropeller.routable.Router$RouteNotFoundException,L152,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\com\usepropeller\routable\Router.java,497,2,503,3,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,2,1,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,7,1,0,1,0,1,0,1,0,1,1,0,1,0,6,7,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L184,Router$ContextNotProvided,com.usepropeller.routable.Router$ContextNotProvided,L152,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\com\usepropeller\routable\Router.java,508,2,514,3,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,2,2,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,7,1,0,1,0,1,0,1,0,1,1,0,1,0,6,7,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L199,RouterTest$1,com.usepropeller.routable.test.RouterTest$1,L187,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\RoutableTestTest\src\com\usepropeller\routable\test\RouterTest.java,75,54,82,4,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,4,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,7,8,0,0,0,0,1,0,1,0,1,2,0,1,0,7,8,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L212,RouterTest$2,com.usepropeller.routable.test.RouterTest$2,L209,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\RoutableTestTest\src\com\usepropeller\routable\test\RouterTest.java,91,58,97,4,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,4,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L222,RouterTest$3,com.usepropeller.routable.test.RouterTest$3,L219,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\RoutableTestTest\src\com\usepropeller\routable\test\RouterTest.java,106,58,112,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,4,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
