ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L134,ApplicationTest,cn.bleu.slidedetailsdemo.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\androidTest\java\cn\bleu\slidedetailsdemo\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L372,MainActivity,cn.bleu.slidedetailsdemo.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\cn\bleu\slidedetailsdemo\MainActivity.java,14,1,141,2,0,0,0,0,0,0,0,0,1,1,1,4,4,0,0,4,7,0.0,0.653465,66,0,0,3,0.584071,66,1,1,0,0,1,35,114,1,0,1,0,3,0,2,0,3,19,0,2,0,47,128,1,0,1,0,6,0,5,1,6,23,0,5,1,0,0,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
L455,ExampleUnitTest,cn.bleu.slidedetailsdemo.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\test\java\cn\bleu\slidedetailsdemo\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L154,BaseFragment,cn.bleu.slidedetailsdemo.fragment.BaseFragment,L148,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\cn\bleu\slidedetailsdemo\fragment\BaseFragment.java,14,1,39,2,0,0,0,0,0,0,0,0,1,1,1,5,1,4,2,2,6,0.333333,0.24,6,6,1,2,0.24,6,0,0,3,3,0,19,26,1,0,1,0,4,0,2,0,4,6,0,2,0,19,26,1,0,1,0,4,0,2,0,4,6,0,2,0,0,0,11,0,2,0,0,1,0,0,0,0,11,1,0,0,0,0,0,0,0
L195,ListFragment,cn.bleu.slidedetailsdemo.fragment.ListFragment,L148,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\cn\bleu\slidedetailsdemo\fragment\ListFragment.java,23,1,93,2,0,0,0,0,0,0,0,0,2,1,1,4,2,1,1,2,5,0.25,0.1875,6,6,1,3,0.0952381,6,1,1,0,0,1,26,34,1,0,0,0,3,0,3,0,7,12,0,5,0,57,71,2,4,1,4,9,0,8,0,13,22,0,10,0,0,0,28,0,4,1,0,1,1,0,0,1,27,1,0,0,0,0,0,0,0
L316,ScrollViewFragment,cn.bleu.slidedetailsdemo.fragment.ScrollViewFragment,L148,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\cn\bleu\slidedetailsdemo\fragment\ScrollViewFragment.java,17,1,31,2,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,2,0.333333,0.315789,6,6,1,2,0.315789,6,1,1,0,0,1,13,15,1,0,0,0,2,0,2,0,6,2,0,4,0,13,15,1,0,0,0,2,0,2,0,6,2,0,4,0,0,0,6,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
L326,ViewPagerFragment,cn.bleu.slidedetailsdemo.fragment.ViewPagerFragment,L148,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\cn\bleu\slidedetailsdemo\fragment\ViewPagerFragment.java,21,1,70,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,0.333333,0.285714,6,6,1,2,0.159091,7,1,1,0,0,1,15,22,1,0,0,0,2,0,2,0,6,4,0,4,0,37,50,1,1,0,1,6,0,6,0,10,12,0,8,0,0,0,19,0,1,0,0,0,2,0,0,0,17,1,0,0,0,0,0,0,0
L488,ApplicationTest,cn.bleu.widget.slidedetails.ApplicationTest,L463,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\cn\bleu\widget\slidedetails\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L491,SlideDebug,cn.bleu.widget.slidedetails.SlideDebug,L463,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\cn\bleu\widget\slidedetails\SlideDebug.java,11,1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.6,6,6,1,0,0.6,6,0,0,0,0,0,4,4,2,0,2,0,0,2,0,0,0,0,2,0,0,4,4,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
L375,SlideDetailsLayout,cn.bleu.widget.slidedetails.SlideDetailsLayout,L463,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\cn\bleu\widget\slidedetails\SlideDetailsLayout.java,32,1,632,2,0,0,0,0,0,0,0,0,5,4,4,92,4,4,4,2,31,0.454545,0.146453,64,49,5,6,0.161228,84,0,0,0,0,0,373,512,17,0,17,0,29,0,10,2,29,208,0,10,2,437,601,22,0,22,0,39,3,20,2,39,231,3,20,2,0,0,97,4,19,2,0,18,2,3,0,2,77,0,0,0,0,1,0,0,15
L894,ExampleUnitTest,cn.bleu.widget.slidedetails.ExampleUnitTest,L463,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\cn\bleu\widget\slidedetails\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L279,ListFragment$Adapter,cn.bleu.slidedetailsdemo.fragment.ListFragment$Adapter,L195,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\cn\bleu\slidedetailsdemo\fragment\ListFragment.java,60,5,92,6,0,0,0,0,0,0,0,0,0,1,1,8,0,1,1,0,5,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,27,33,1,4,1,4,5,0,4,0,5,9,0,4,0,27,33,1,4,1,4,5,0,4,0,5,9,0,4,0,0,0,13,0,2,1,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0
L341,ViewPagerFragment$Adapter,cn.bleu.slidedetailsdemo.fragment.ViewPagerFragment$Adapter,L326,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\cn\bleu\slidedetailsdemo\fragment\ViewPagerFragment.java,41,5,68,6,0,0,0,0,0,0,0,0,3,0,0,4,0,1,0,0,4,0.0,0.0434783,1,0,0,5,0.0434783,1,0,0,0,0,0,22,28,0,1,0,1,4,0,4,0,4,8,0,4,0,22,28,0,1,0,1,4,0,4,0,4,8,0,4,0,0,0,12,0,1,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0,0
L416,MainActivity$1,cn.bleu.slidedetailsdemo.MainActivity$1,L378,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\cn\bleu\slidedetailsdemo\MainActivity.java,60,54,67,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,8,0,0,0,0,1,0,1,0,1,2,0,1,0,7,8,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L432,MainActivity$2,cn.bleu.slidedetailsdemo.MainActivity$2,L378,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\cn\bleu\slidedetailsdemo\MainActivity.java,69,26,73,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,1,1,1,1,0,1,1,5,5,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L445,MainActivity$3,cn.bleu.slidedetailsdemo.MainActivity$3,L378,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\cn\bleu\slidedetailsdemo\MainActivity.java,78,56,84,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L831,SlideDetailsLayout$SavedState,cn.bleu.widget.slidedetails.SlideDetailsLayout$SavedState,L375,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\cn\bleu\widget\slidedetails\SlideDetailsLayout.java,589,5,631,6,0,0,0,0,0,0,0,0,1,0,0,3,0,2,2,0,3,0.5,0.322581,10,10,2,2,0.27027,10,0,0,0,0,0,21,36,3,0,3,0,3,1,3,0,3,7,1,3,0,27,43,3,0,3,0,5,1,5,0,5,9,1,5,0,0,0,15,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,4
L266,ListFragment$1,cn.bleu.slidedetailsdemo.fragment.ListFragment$1,L219,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\cn\bleu\slidedetailsdemo\fragment\ListFragment.java,49,64,54,10,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L654,SlideDetailsLayout$1,cn.bleu.widget.slidedetails.SlideDetailsLayout$1,L632,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\cn\bleu\widget\slidedetails\SlideDetailsLayout.java,181,33,186,14,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
