ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L133,ExampleInstrumentedTest,com.darwindeveloper.onecalendarview.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\darwindeveloper\onecalendarview\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L156,MainActivity,com.darwindeveloper.onecalendarview.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\darwindeveloper\onecalendarview\MainActivity.java,13,1,124,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,3,2,0,2,4,0.0,0.269231,7,0,0,1,0.329412,28,0,0,0,0,0,19,39,1,0,1,0,2,0,0,0,2,7,0,0,0,57,112,1,0,1,0,10,0,8,0,10,19,0,8,0,0,0,22,1,5,1,0,0,4,0,0,0,18,5,0,0,0,0,0,0,0
L254,ExampleUnitTest,com.darwindeveloper.onecalendarview.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\darwindeveloper\onecalendarview\ExampleUnitTest.java,12,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L273,ExampleInstrumentedTest,com.darwindeveloper.onecalendar.ExampleInstrumentedTest,L258,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onecalendar\src\androidTest\java\com\darwindeveloper\onecalendar\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L944,ExampleUnitTest,com.darwindeveloper.onecalendar.ExampleUnitTest,L258,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onecalendar\src\test\java\com\darwindeveloper\onecalendar\ExampleUnitTest.java,12,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L286,CalendarAdapter,com.darwindeveloper.onecalendar.clases.CalendarAdapter,L277,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onecalendar\src\main\java\com\darwindeveloper\onecalendar\clases\CalendarAdapter.java,23,1,130,2,0.0,0,0,0,0.0,0.0,0,0,1,2,1,7,3,3,1,8,13,0.166667,0.0612245,3,3,1,5,0.195122,16,0,0,0,0,0,46,67,5,1,5,1,5,0,5,1,5,23,0,5,1,66,108,6,1,6,1,10,0,10,1,10,28,0,10,1,0,0,29,2,8,3,0,2,0,0,0,4,29,0,0,0,0,1,0,0,0
L181,Day,com.darwindeveloper.onecalendar.clases.Day,L277,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onecalendar\src\main\java\com\darwindeveloper\onecalendar\clases\Day.java,11,1,92,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,16,0,9,7,0,16,0.0588235,0.0461538,3,3,1,16,0.0461538,3,0,0,0,0,0,62,82,7,5,7,5,16,0,16,7,16,22,0,16,7,62,82,7,5,7,5,16,0,16,7,16,22,0,16,7,0,0,39,0,3,1,0,1,1,0,0,1,35,0,0,0,0,0,0,0,3
L442,MonthFragment,com.darwindeveloper.onecalendar.fragments.MonthFragment,L439,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onecalendar\src\main\java\com\darwindeveloper\onecalendar\fragments\MonthFragment.java,30,1,338,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,35,5,2,4,7,23,0.625,0.265487,60,58,10,6,0.295547,73,1,1,0,0,1,166,286,25,6,25,6,16,9,15,3,16,98,9,15,3,174,309,25,6,25,6,20,9,19,3,20,98,9,19,3,0,0,35,7,5,5,0,3,1,1,0,4,23,0,0,0,0,0,0,0,10
L159,OneCalendarView,com.darwindeveloper.onecalendar.views.OneCalendarView,L614,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onecalendar\src\main\java\com\darwindeveloper\onecalendar\views\OneCalendarView.java,33,1,606,2,0.358355,7,65,16,0.263066,0.368732,151,125,1,1,1,49,7,9,9,6,28,0.777778,0.22108,86,77,14,4,0.259825,119,0,0,0,0,0,303,499,47,8,47,8,22,2,17,4,22,175,2,17,4,339,574,47,8,47,8,32,2,27,4,32,185,2,27,4,0,22,87,18,21,6,28,16,2,2,0,16,43,0,22,0,0,1,0,0,12
L628,OneFrameLayout,com.darwindeveloper.onecalendar.views.OneFrameLayout,L614,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onecalendar\src\main\java\com\darwindeveloper\onecalendar\views\OneFrameLayout.java,13,1,109,2,0.0,0,0,0,0.0,0.0,0,0,2,4,3,16,1,2,1,2,7,0.166667,0.138889,10,4,1,5,0.131579,10,0,0,0,0,0,62,92,6,0,6,0,5,0,5,1,5,27,0,5,1,66,97,6,0,6,0,7,0,7,1,7,27,0,7,1,0,0,23,4,6,1,0,6,1,1,0,3,20,0,0,0,0,0,0,0,1
