ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L137,ApplicationTest,com.rongyi.diamond.animation.ApplicationTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\rongyi\diamond\animation\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L569,MainActivity,com.rongyi.diamond.animation.MainActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\rongyi\diamond\animation\MainActivity.java,9,1,30,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.375,6,0,0,1,0.3,6,0,0,0,0,0,10,18,0,0,0,0,1,0,0,0,1,4,0,0,0,14,22,0,0,0,0,2,0,1,0,2,5,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
L590,ExampleUnitTest,com.rongyi.diamond.animation.ExampleUnitTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\rongyi\diamond\animation\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L158,LauncherView,com.rongyi.diamond.animation.launcher.LauncherView,L151,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\rongyi\diamond\animation\launcher\LauncherView.java,31,1,249,2,0,0,0,0,0,0,0,0,2,1,1,19,5,4,3,9,20,0.2,0.121622,18,11,1,4,0.0932643,18,0,0,0,0,0,130,170,16,1,16,1,11,0,4,1,11,91,0,4,1,175,219,18,1,18,1,18,0,11,2,18,110,0,11,2,0,0,56,1,15,4,0,10,1,0,0,2,52,0,0,0,0,0,0,0,3
L442,Utils,com.rongyi.diamond.animation.launcher.Utils,L151,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\rongyi\diamond\animation\launcher\Utils.java,16,1,29,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1.0,0.75,18,18,2,0,0.75,18,0,0,0,0,0,6,14,0,0,0,0,1,0,1,0,1,2,0,1,0,6,14,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L249,ViewPath,com.rongyi.diamond.animation.launcher.ViewPath,L151,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\rongyi\diamond\animation\launcher\ViewPath.java,17,1,51,2,0,0,0,0,0,0,0,0,1,0,0,6,1,2,2,4,10,0.142857,0.305556,11,11,1,6,0.305556,11,0,0,0,0,0,25,35,5,1,5,1,6,4,6,0,6,6,4,6,0,25,35,5,1,5,1,6,4,6,0,6,6,4,6,0,0,0,18,1,1,1,0,0,0,0,0,1,13,0,0,0,0,0,0,0,5
L323,ViewPathEvaluator,com.rongyi.diamond.animation.launcher.ViewPathEvaluator,L151,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\rongyi\diamond\animation\launcher\ViewPathEvaluator.java,16,1,94,2,0,0,0,0,0,0,0,0,1,4,1,14,2,1,1,1,3,0.333333,0.192982,11,11,1,2,0.192982,11,0,0,0,0,0,46,79,0,0,0,0,2,0,2,0,2,29,0,2,0,46,79,0,0,0,0,2,0,2,0,2,29,0,2,0,0,0,8,0,4,2,0,1,0,1,0,0,7,1,0,0,0,0,0,0,0
L431,ViewPoint,com.rongyi.diamond.animation.launcher.ViewPoint,L151,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\rongyi\diamond\animation\launcher\ViewPoint.java,14,1,68,2,0,0,0,0,0,0,0,0,1,0,0,8,0,3,5,0,8,0.125,0.203704,11,11,1,7,0.203704,11,0,0,0,0,0,43,55,7,0,7,0,8,0,7,0,8,21,0,7,0,43,55,7,0,7,0,8,0,7,0,8,21,0,7,0,0,0,22,0,7,3,0,4,0,0,0,0,19,0,0,0,0,0,0,0,3
L382,LauncherView$AnimEndListener,com.rongyi.diamond.animation.launcher.LauncherView$AnimEndListener,L158,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\rongyi\diamond\animation\launcher\LauncherView.java,220,5,232,6,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,11,13,1,0,1,0,2,0,2,0,2,3,0,2,0,11,13,1,0,1,0,2,0,2,0,2,3,0,2,0,0,0,7,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0
L318,LauncherView$ViewObj,com.rongyi.diamond.animation.launcher.LauncherView$ViewObj,L158,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\rongyi\diamond\animation\launcher\LauncherView.java,235,5,246,6,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,10,12,1,0,1,0,2,0,2,1,2,3,0,2,1,10,12,1,0,1,0,2,0,2,1,2,3,0,2,1,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
