ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L137,ApplicationTest,com.dodola.listview.ext.ApplicationTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\dodola\listview\ext\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L151,MainActivity,com.dodola.listview.ext.MainActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\dodola\listview\ext\MainActivity.java,14,1,60,2,0,0,0,0,0,0,0,0,3,1,1,5,1,0,0,0,3,0.0,0.135135,5,0,0,3,0.125,5,0,0,0,0,0,32,44,0,0,0,0,3,0,2,0,3,19,0,2,0,35,47,0,0,0,0,4,0,3,0,4,19,0,3,0,0,0,13,0,1,0,0,0,1,0,0,0,12,1,0,0,0,0,0,0,0
L216,ExampleUnitTest,com.dodola.listview.ext.ExampleUnitTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\dodola\listview\ext\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L248,ApplicationTest,com.dodola.listview.extlib.ApplicationTest,L223,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listviewext\src\androidTest\java\com\dodola\listview\extlib\ApplicationTest.java,12,1,16,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L251,ListViewEnhance,com.dodola.listview.extlib.ListViewEnhance,L223,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listviewext\src\main\java\com\dodola\listview\extlib\ListViewEnhance.java,11,1,211,2,0,0,0,0,0,0,0,0,3,4,3,46,3,1,2,0,6,0.2,0.146341,24,22,1,4,0.129032,24,0,0,0,0,0,140,178,1,0,1,0,6,0,4,1,6,96,0,4,1,162,201,2,2,2,2,10,1,8,1,10,105,1,8,1,0,0,41,1,5,3,0,2,1,1,0,0,33,0,0,0,0,1,0,0,6
L191,ListViewExt,com.dodola.listview.extlib.ListViewExt,L223,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listviewext\src\main\java\com\dodola\listview\extlib\ListViewExt.java,15,1,114,2,0,0,0,0,0,0,0,0,5,3,3,20,1,2,0,4,12,0.0,0.0117647,1,0,0,7,0.0117647,1,0,0,0,0,0,84,100,10,0,10,0,8,0,6,0,8,38,0,6,0,84,100,10,0,10,0,8,0,6,0,8,38,0,6,0,0,0,23,2,2,2,0,0,1,1,0,2,19,0,0,0,0,0,0,0,2
L484,ExampleUnitTest,com.dodola.listview.extlib.ExampleUnitTest,L223,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listviewext\src\test\java\com\dodola\listview\extlib\ExampleUnitTest.java,13,1,18,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L258,ListViewEnhance$BackEaseOutInterpolater,com.dodola.listview.extlib.ListViewEnhance$BackEaseOutInterpolater,L251,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listviewext\src\main\java\com\dodola\listview\extlib\ListViewEnhance.java,14,5,22,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,9,1,1,1,1,1,1,1,0,1,3,1,1,0,8,9,1,1,1,1,1,1,1,0,1,3,1,1,0,0,0,9,0,3,1,0,1,0,0,0,0,5,0,0,0,0,1,0,0,4
L270,ListViewEnhance$CircEaseOutInterpolator,com.dodola.listview.extlib.ListViewEnhance$CircEaseOutInterpolator,L251,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listviewext\src\main\java\com\dodola\listview\extlib\ListViewEnhance.java,24,5,29,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,1,0,1,1,0,1,0,1,2,0,1,0,6,6,0,1,0,1,1,0,1,0,1,2,0,1,0,0,0,5,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L175,MainActivity$1,com.dodola.listview.ext.MainActivity$1,L156,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\dodola\listview\ext\MainActivity.java,24,59,28,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,0,0,1,0,5,5,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
L372,ListViewEnhance$1,com.dodola.listview.extlib.ListViewEnhance$1,L319,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listviewext\src\main\java\com\dodola\listview\extlib\ListViewEnhance.java,127,78,132,14,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,2,0,1,0,6,6,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L385,ListViewEnhance$2,com.dodola.listview.extlib.ListViewEnhance$2,L319,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listviewext\src\main\java\com\dodola\listview\extlib\ListViewEnhance.java,137,78,142,18,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,2,0,1,0,6,6,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
