ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L2295,"GenericPair<F extends Object, S extends Object>",com.etsy.conjecture.GenericPair,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\conjecture\GenericPair.java,6,1,81,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,10,0,2,0,0,8,0.666667,0.485294,33,33,6,3,0.485294,33,0,0,0,0,0,35,76,3,2,3,2,8,2,8,2,8,12,2,8,2,35,76,3,2,3,2,8,2,8,2,8,12,2,8,2,0,0,11,0,2,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,4
L1775,PrimitivePair,com.etsy.conjecture.PrimitivePair,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\conjecture\PrimitivePair.java,8,1,83,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,10,1,4,2,1,9,0.666667,0.486111,35,35,6,3,0.486111,35,0,0,0,0,0,37,76,3,2,3,2,8,2,8,2,8,12,2,8,2,37,76,3,2,3,2,8,2,8,2,8,12,2,8,2,0,0,11,0,2,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,4
L3573,Utilities,com.etsy.conjecture.Utilities,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\conjecture\Utilities.java,22,1,216,2,0.0,0,0,0,0.0,0.0,0,0,13,3,3,44,1,10,15,1,20,0.157895,0.0920245,15,15,3,16,0.0862069,15,0,0,0,0,0,148,182,4,0,4,0,19,4,18,0,19,92,4,18,0,159,195,5,0,5,0,21,4,20,0,21,95,4,20,0,0,1,50,2,17,4,0,12,1,0,0,0,44,0,1,0,0,3,0,0,5
L151,AbstractInstance<T extends AbstractInstance<T>>,com.etsy.conjecture.data.AbstractInstance,L122,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\conjecture\data\AbstractInstance.java,7,1,1041,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,111,1,6,20,4,85,0.804878,0.473446,419,419,66,16,0.473446,419,0,0,4,4,0,466,1035,5,4,5,4,81,2,81,30,81,207,2,81,30,466,1035,5,4,5,4,81,2,81,30,81,207,2,81,30,0,0,48,1,28,10,0,1,0,0,1,1,31,0,1,0,0,16,0,0,16
L566,BinaryLabel,com.etsy.conjecture.data.BinaryLabel,L122,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\conjecture\data\BinaryLabel.java,5,1,28,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,5,1,8,17,2,6,0.25,0.0555556,1,1,1,3,0.0555556,1,2,2,0,0,1,17,24,4,2,1,1,4,0,3,0,8,5,0,7,0,17,24,4,2,1,1,4,0,3,0,8,5,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
L584,BinaryLabeledInstance,com.etsy.conjecture.data.BinaryLabeledInstance,L122,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\conjecture\data\BinaryLabeledInstance.java,9,1,77,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,14,5,4,6,4,18,0.0666667,0.0701754,4,4,1,14,0.0701754,4,1,2,0,0,2,53,69,6,7,1,1,14,0,14,0,97,16,2,97,30,53,69,6,7,1,1,14,0,14,0,97,16,2,97,30,0,0,40,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,0,8
L647,ByteArrayDoubleHashMap,com.etsy.conjecture.data.ByteArrayDoubleHashMap,L122,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\conjecture\data\ByteArrayDoubleHashMap.java,24,1,319,2,0.321234,2,12,4,0.189189,0.230453,56,56,4,2,2,46,1,3,45,1,31,0.0344828,0.0259067,5,5,1,28,0.0395257,10,0,0,0,0,0,188,231,5,2,5,2,30,0,28,0,30,109,0,28,0,243,296,6,2,6,2,38,0,33,0,38,135,0,33,0,0,1,120,3,7,5,29,4,2,0,0,0,85,0,2,0,0,0,0,0,4
L907,ClusterLabel,com.etsy.conjecture.data.ClusterLabel,L122,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\conjecture\data\ClusterLabel.java,3,1,53,2,0.467153,1,7,1,0.313726,0.380952,16,16,1,2,2,14,1,2,2,1,8,0.0,0.0,0,0,0,8,0.0,0,1,1,1,1,1,42,51,3,1,2,1,7,0,7,1,8,22,0,8,1,42,51,3,1,2,1,7,0,7,1,8,22,0,8,1,0,0,29,0,5,0,12,5,0,0,0,0,17,0,0,0,0,0,0,0,0
L936,ClusterPrediction,com.etsy.conjecture.data.ClusterPrediction,L122,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\conjecture\data\ClusterPrediction.java,9,1,37,2,0.772152,1,3,1,0.482759,0.666667,14,14,0,2,2,5,1,1,1,2,4,0.333333,0.222222,6,6,1,2,0.222222,6,2,2,0,0,1,21,29,5,2,2,1,2,0,2,0,10,11,0,10,1,21,29,5,2,2,1,2,0,2,0,10,11,0,10,1,0,0,18,0,1,0,11,0,0,0,0,1,7,0,0,0,0,0,0,0,0
L947,Instance,com.etsy.conjecture.data.Instance,L122,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\conjecture\data\Instance.java,6,1,16,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,2,1,2,2,4,0.333333,0.2,2,2,1,2,0.2,2,1,1,0,0,1,8,11,5,4,0,0,2,0,2,0,83,2,2,83,30,8,11,5,4,0,0,2,0,2,0,83,2,2,83,30,0,0,14,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7
