ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L149,DTW,com.dtw.DTW,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\resources\elasticsearch-oculus-plugin\com\dtw\DTW.java,18,1,421,2,0.419019,2,20,4,0.252475,0.396226,102,84,3,5,2,53,9,1,1,19,28,0.625,0.414698,158,6,5,3,0.414698,158,0,0,0,0,0,223,404,0,6,0,6,9,0,7,0,9,146,0,7,0,223,404,0,6,0,6,9,0,7,0,9,146,0,7,0,0,0,44,0,27,0,25,27,1,2,1,0,11,0,0,0,0,0,0,0,4
L282,ExpandedResWindow,com.dtw.ExpandedResWindow,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\resources\elasticsearch-oculus-plugin\com\dtw\ExpandedResWindow.java,15,1,84,2,0.0,0,0,0,0.0,0.0,0,0,0,2,2,7,5,1,1,11,12,0.0,0.393443,24,0,0,2,0.393443,24,1,1,0,0,1,37,70,5,1,0,0,1,0,1,0,16,28,0,12,0,37,70,5,1,0,0,1,0,1,0,16,28,0,12,0,0,0,3,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1
L307,FastDTW,com.dtw.FastDTW,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\resources\elasticsearch-oculus-plugin\com\dtw\FastDTW.java,15,1,81,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,9,8,1,1,7,13,0.0,0.153846,8,1,0,6,0.153846,8,0,0,0,0,0,44,67,1,5,1,5,6,0,5,0,6,15,0,5,0,44,67,1,5,1,5,6,0,5,0,6,15,0,5,0,0,0,15,0,3,1,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0
L351,FullWindow,com.dtw.FullWindow,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\resources\elasticsearch-oculus-plugin\com\dtw\FullWindow.java,13,1,28,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,2,2,0,0,5,6,0.5,0.25,4,1,1,1,0.25,4,1,1,0,0,1,12,16,5,1,0,0,1,0,1,0,16,6,0,12,0,12,16,5,1,0,0,1,0,1,0,16,6,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L360,LinearWindow,com.dtw.LinearWindow,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\resources\elasticsearch-oculus-plugin\com\dtw\LinearWindow.java,13,1,52,2,0.0,0,0,0,0.0,0.0,0,0,0,2,2,4,2,0,0,4,6,0.666667,0.166667,6,3,2,1,0.166667,6,1,1,0,0,1,30,40,6,1,1,0,2,0,2,0,17,15,0,13,0,30,40,6,1,1,0,2,0,2,0,17,15,0,13,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
L381,MemoryResidentMatrix,com.dtw.MemoryResidentMatrix,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\resources\elasticsearch-oculus-plugin\com\dtw\MemoryResidentMatrix.java,11,1,68,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,9,2,1,1,5,9,0.25,0.148936,7,5,1,3,0.148936,7,1,1,0,0,1,40,58,4,0,4,0,4,0,3,0,4,16,0,3,0,40,58,4,0,4,0,4,0,3,0,4,16,0,3,0,0,0,11,0,4,0,0,3,0,0,0,1,11,0,0,0,0,0,0,0,0
L421,ParallelogramWindow,com.dtw.ParallelogramWindow,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\resources\elasticsearch-oculus-plugin\com\dtw\ParallelogramWindow.java,13,1,81,2,0.0,0,0,0,0.0,0.0,0,0,0,3,3,6,2,0,0,7,8,0.5,0.202899,14,1,1,1,0.202899,14,1,1,0,0,1,55,69,5,1,0,0,1,0,1,0,16,29,0,12,0,55,69,5,1,0,0,1,0,1,0,16,29,0,12,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L238,PartialWindowMatrix,com.dtw.PartialWindowMatrix,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\resources\elasticsearch-oculus-plugin\com\dtw\PartialWindowMatrix.java,12,1,103,2,0.257732,1,2,1,0.141304,0.151515,13,10,1,4,2,15,2,1,1,4,9,0.6,0.111111,9,6,3,2,0.111111,9,1,1,0,0,1,72,92,7,0,7,0,5,0,4,0,5,31,0,4,0,72,92,7,0,7,0,5,0,4,0,5,31,0,4,0,0,0,24,0,8,0,10,8,0,0,0,0,13,0,0,0,0,0,0,0,1
L232,SearchWindow,com.dtw.SearchWindow,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\resources\elasticsearch-oculus-plugin\com\dtw\SearchWindow.java,20,1,372,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,51,2,12,20,3,18,0.25,0.263345,74,11,3,9,0.251497,84,0,0,5,5,0,207,298,5,1,5,1,15,0,11,0,15,105,0,11,0,250,353,10,1,10,1,19,0,14,0,19,122,0,14,0,0,0,42,2,21,2,0,17,1,3,0,0,34,0,4,0,0,0,0,0,4
L564,SwapFileMatrix,com.dtw.SwapFileMatrix,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\resources\elasticsearch-oculus-plugin\com\dtw\SwapFileMatrix.java,20,1,215,2,0.136612,1,2,1,0.0663265,0.0714286,13,10,1,6,4,26,3,1,2,5,11,0.6,0.175824,32,13,3,2,0.175824,32,1,1,0,0,1,150,196,12,0,12,0,6,0,4,0,6,61,0,4,0,150,196,12,0,12,0,6,0,4,0,6,61,0,4,0,0,0,27,8,13,7,8,12,0,4,0,2,13,0,0,0,0,0,0,0,2
