ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L132,Agent,com.etsy.statsd.profiler.Agent,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\Agent.java,25,1,122,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,11,7,0,0,6,13,0.666667,0.438202,39,37,2,1,0.438202,39,0,0,0,0,0,50,98,3,0,3,0,7,1,2,0,7,26,1,2,0,50,98,3,0,3,0,7,1,2,0,7,26,1,2,0,0,0,9,2,2,1,0,2,0,0,0,1,5,0,0,0,0,0,0,0,4
L178,Arguments,com.etsy.statsd.profiler.Arguments,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\Arguments.java,16,1,123,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,16,5,18,19,0,4,1.0,0.128713,13,11,2,0,0.128713,13,0,0,0,0,0,88,108,16,0,16,0,4,8,1,0,4,42,8,1,0,88,108,16,0,16,0,4,8,1,0,4,42,8,1,0,0,0,17,2,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,7
L194,Profiler,com.etsy.statsd.profiler.Profiler,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\Profiler.java,14,1,99,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,11,2,20,18,4,15,0.714286,0.607595,48,48,5,2,0.607595,48,0,0,8,8,0,31,86,3,3,3,3,11,1,6,0,11,11,1,6,0,31,86,3,3,3,3,11,1,6,0,11,11,1,6,0,0,0,9,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,4
L1722,ArgumentsTest,com.etsy.statsd.profiler.ArgumentsTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\test\java\com\etsy\statsd\profiler\ArgumentsTest.java,18,1,165,2,0.364807,2,4,4,0.283784,0.300885,42,34,13,0,0,16,6,0,0,1,17,0.0,0.0,0,0,0,17,0.0,0,0,0,0,0,0,113,148,1,0,1,0,16,1,16,0,16,61,1,16,0,113,148,1,0,1,0,16,1,16,0,16,61,1,16,0,0,0,66,1,17,17,25,0,1,0,0,0,35,0,1,0,0,0,0,0,5
L1745,ProfilerTest,com.etsy.statsd.profiler.ProfilerTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\test\java\com\etsy\statsd\profiler\ProfilerTest.java,11,1,42,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,4,0,0,3,5,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,13,14,0,0,0,0,2,0,2,0,2,4,0,2,0,27,32,3,3,0,2,7,0,6,0,13,6,1,8,0,0,0,25,0,4,1,0,0,2,0,0,0,20,3,0,0,0,0,0,0,3
L543,CPULoadProfiler,com.etsy.statsd.profiler.profilers.CPULoadProfiler,L533,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\profilers\CPULoadProfiler.java,31,1,105,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,13,3,0,0,2,9,0.333333,0.256757,19,17,2,4,0.256757,19,1,1,0,0,1,55,75,6,3,3,2,7,1,5,0,13,25,2,7,0,55,75,6,3,3,2,7,1,5,0,13,25,2,7,0,0,0,16,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,4
L470,CPUTracingProfiler,com.etsy.statsd.profiler.profilers.CPUTracingProfiler,L533,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\profilers\CPUTracingProfiler.java,24,1,134,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,15,9,3,0,15,24,0.5,0.285714,28,25,3,3,0.27451,28,1,1,0,0,1,70,107,12,4,9,3,9,3,5,0,15,28,4,7,0,74,111,12,4,9,3,10,3,6,0,16,29,4,8,0,0,2,22,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,6
L473,MemoryProfiler,com.etsy.statsd.profiler.profilers.MemoryProfiler,L533,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\profilers\MemoryProfiler.java,20,1,155,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,16,3,2,0,2,12,0.333333,0.25,30,29,2,4,0.25,30,1,1,0,0,1,90,136,9,3,6,2,10,1,5,0,16,50,2,7,0,90,136,9,3,6,2,10,1,5,0,16,50,2,7,0,0,1,17,1,0,1,0,0,1,0,0,0,11,0,1,0,0,0,0,0,5
L855,MockProfiler1,com.etsy.statsd.profiler.profilers.MockProfiler1,L533,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\test\java\com\etsy\statsd\profiler\profilers\MockProfiler1.java,15,1,45,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,6,3,3,3,2,8,0.166667,0.166667,5,5,1,5,0.166667,5,1,1,0,0,1,25,31,4,3,1,2,6,0,5,0,12,6,1,7,0,25,31,4,3,1,2,6,0,5,0,12,6,1,7,0,0,0,18,0,2,0,0,0,1,0,0,1,15,1,0,0,0,0,0,0,2
L877,MockProfiler2,com.etsy.statsd.profiler.profilers.MockProfiler2,L533,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\test\java\com\etsy\statsd\profiler\profilers\MockProfiler2.java,15,1,45,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,6,3,2,2,2,8,0.166667,0.166667,5,5,1,5,0.166667,5,1,1,0,0,1,25,31,4,3,1,2,6,0,5,0,12,6,1,7,0,25,31,4,3,1,2,6,0,5,0,12,6,1,7,0,0,0,18,0,2,0,0,0,1,0,0,1,15,1,0,0,0,0,0,0,2
L889,MockProfilerWithArguments,com.etsy.statsd.profiler.profilers.MockProfilerWithArguments,L533,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\test\java\com\etsy\statsd\profiler\profilers\MockProfilerWithArguments.java,14,1,43,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,6,3,1,1,1,7,0.166667,0.178571,5,5,1,5,0.178571,5,1,1,0,0,1,23,30,5,3,2,2,6,2,5,0,12,4,3,7,0,23,30,5,3,2,2,6,2,5,0,12,4,3,7,0,0,0,20,0,2,0,0,0,1,0,0,0,15,2,0,0,0,0,0,0,4
L904,MockReportingProfiler,com.etsy.statsd.profiler.profilers.MockReportingProfiler,L533,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\test\java\com\etsy\statsd\profiler\profilers\MockReportingProfiler.java,14,1,41,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,6,3,1,1,2,8,0.166667,0.178571,5,5,1,5,0.178571,5,1,1,0,0,1,23,28,3,3,0,2,6,0,5,0,12,5,1,7,0,23,28,3,3,0,2,6,0,5,0,12,5,1,7,0,0,0,18,0,1,0,0,0,1,0,0,0,15,1,0,0,0,0,0,0,2
L924,InfluxDBReporter,com.etsy.statsd.profiler.reporter.InfluxDBReporter,L914,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\reporter\InfluxDBReporter.java,22,1,154,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,16,3,2,4,2,12,0.714286,0.311475,38,37,5,2,0.311475,38,1,1,0,0,1,84,133,15,0,13,0,10,6,6,0,12,36,7,8,0,84,133,15,0,13,0,10,6,6,0,12,36,7,8,0,0,0,18,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,6
L183,Reporter<T extends Object>,com.etsy.statsd.profiler.reporter.Reporter,L914,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\reporter\Reporter.java,13,1,75,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,7,1,12,7,0,7,0.833333,0.716667,43,43,5,1,0.716667,43,0,0,3,3,0,17,63,2,0,2,0,7,1,5,0,7,4,1,5,0,17,63,2,0,2,0,7,1,5,0,7,4,1,5,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
L449,StatsDReporter,com.etsy.statsd.profiler.reporter.StatsDReporter,L914,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\reporter\StatsDReporter.java,14,1,77,2,0.0,0,0,0,0.0,0.0,0,0,3,3,2,9,2,3,2,1,7,0.8,0.515625,33,33,4,1,0.515625,33,1,1,0,0,1,31,64,2,0,0,0,6,0,4,0,8,10,1,6,0,31,64,2,0,0,0,6,0,4,0,8,10,1,6,0,0,0,6,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,2
L1080,InfluxDBReporterTest,com.etsy.statsd.profiler.reporter.InfluxDBReporterTest,L914,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\test\java\com\etsy\statsd\profiler\reporter\InfluxDBReporterTest.java,19,1,78,2,0.0,0,0,0,0.0,0.0,0,0,5,0,0,5,5,0,0,4,9,0.0,0.0212766,1,0,0,4,0.0212766,1,1,1,0,0,1,46,60,4,0,1,0,5,0,3,0,6,21,0,4,1,46,60,4,0,1,0,5,0,3,0,6,21,0,4,1,0,0,14,5,9,10,0,0,1,0,0,0,13,0,4,0,0,0,0,0,0
L863,MockReporter,com.etsy.statsd.profiler.reporter.MockReporter,L914,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\test\java\com\etsy\statsd\profiler\reporter\MockReporter.java,15,1,57,2,0.0,0,0,0,0.0,0.0,0,0,3,3,2,10,4,4,4,2,9,0.166667,0.121951,5,5,1,5,0.121951,5,1,1,0,0,1,36,43,3,1,1,1,7,0,5,0,9,12,1,7,0,36,43,3,1,1,1,7,0,5,0,9,12,1,7,0,0,0,20,0,2,0,0,0,1,0,0,1,17,1,0,0,0,0,0,0,2
L1176,ReporterTest,com.etsy.statsd.profiler.reporter.ReporterTest,L914,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\test\java\com\etsy\statsd\profiler\reporter\ReporterTest.java,11,1,25,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,5,6,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,13,15,0,0,0,0,1,0,1,0,1,8,0,1,0,13,15,0,0,0,0,1,0,1,0,1,8,0,1,0,0,0,5,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L1188,StatsDReporterTest,com.etsy.statsd.profiler.reporter.StatsDReporterTest,L914,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\test\java\com\etsy\statsd\profiler\reporter\StatsDReporterTest.java,13,1,34,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,3,3,0,0,2,5,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,19,22,4,0,1,0,3,0,1,0,4,6,0,2,1,19,22,4,0,1,0,3,0,1,0,4,6,0,2,1,0,0,10,1,4,5,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
L1207,ProfilerServer,com.etsy.statsd.profiler.server.ProfilerServer,L1201,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\server\ProfilerServer.java,21,1,48,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,2,3,3,1,3,1.0,0.5,11,11,2,0,0.354839,11,0,0,0,0,0,11,19,2,0,2,0,2,0,1,0,2,3,0,1,0,20,28,2,0,2,0,3,0,2,0,3,8,0,2,0,0,0,7,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
L1227,RequestHandler,com.etsy.statsd.profiler.server.RequestHandler,L1201,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\server\RequestHandler.java,21,1,140,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,8,1,2,2,0,8,1.0,0.518072,43,43,7,0,0.37069,43,0,0,0,0,0,40,87,0,2,0,2,8,0,6,0,8,16,0,6,0,73,120,0,2,0,2,15,0,13,0,15,28,0,13,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
L1294,ProfilerServerTest,com.etsy.statsd.profiler.server.ProfilerServerTest,L1201,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\test\java\com\etsy\statsd\profiler\server\ProfilerServerTest.java,31,1,117,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,7,6,0,0,9,16,0.0,0.0,0,0,0,7,0.0,0,0,0,0,0,0,70,87,5,0,5,0,7,0,6,0,7,42,0,6,0,70,87,5,0,5,0,7,0,6,0,7,42,0,6,0,0,1,17,6,3,8,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0
L624,CPUTraces,com.etsy.statsd.profiler.util.CPUTraces,L1338,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\util\CPUTraces.java,11,1,63,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,7,2,2,7,2,7,0.8,0.415094,22,21,4,1,0.415094,22,0,0,0,0,0,31,53,3,2,3,2,5,0,4,0,5,16,0,4,0,31,53,3,2,3,2,5,0,4,0,5,16,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L1385,MapUtil,com.etsy.statsd.profiler.util.MapUtil,L1338,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\util\MapUtil.java,10,1,40,2,0.0,0,0,0,0.0,0.0,0,0,0,3,2,9,0,3,4,0,2,1.0,0.342857,12,12,2,0,0.342857,12,0,0,0,0,0,23,31,0,0,0,0,2,0,1,1,2,12,0,1,1,23,31,0,0,0,0,2,0,1,1,2,12,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
L669,Range,com.etsy.statsd.profiler.util.Range,L1338,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\util\Range.java,6,1,52,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,10,0,3,3,0,6,0.142857,0.0731707,3,3,1,6,0.0731707,3,0,0,0,0,0,38,47,2,2,2,2,6,0,6,0,6,14,0,6,0,38,47,2,2,2,2,6,0,6,0,6,14,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
L629,StackTraceFilter,com.etsy.statsd.profiler.util.StackTraceFilter,L1338,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\util\StackTraceFilter.java,17,1,96,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,11,0,2,7,0,6,0.833333,0.527027,39,39,5,1,0.5,39,0,0,0,0,0,35,76,5,1,5,1,6,2,5,0,6,11,2,5,0,39,80,5,1,5,1,7,2,6,0,7,12,2,6,0,0,2,12,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,4
L1457,StackTraceFormatter,com.etsy.statsd.profiler.util.StackTraceFormatter,L1338,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\util\StackTraceFormatter.java,13,1,42,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,0,2,4,0,3,1.0,0.53125,17,17,3,0,0.53125,17,0,0,0,0,0,15,30,0,0,0,0,3,0,2,0,3,7,0,2,0,15,30,0,0,0,0,3,0,2,0,3,7,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
L1476,TagUtil,com.etsy.statsd.profiler.util.TagUtil,L1338,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\util\TagUtil.java,14,1,75,2,0.0,0,0,0,0.0,0.0,0,0,0,3,3,9,0,3,6,0,3,0.666667,0.25,15,14,2,1,0.25,15,0,0,0,0,0,45,62,6,2,6,2,3,6,2,0,3,26,6,2,0,45,62,6,2,6,2,3,6,2,0,3,26,6,2,0,0,0,10,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,5
L1512,ThreadDumper,com.etsy.statsd.profiler.util.ThreadDumper,L1338,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\util\ThreadDumper.java,17,1,73,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,4,1,1,1,1,5,1.0,0.690476,29,29,4,0,0.581818,32,0,0,0,0,0,13,45,1,2,1,2,4,0,3,0,4,3,0,3,0,23,57,2,2,2,2,6,0,4,0,6,5,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
L1556,TimeUtil,com.etsy.statsd.profiler.util.TimeUtil,L1338,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\com\etsy\statsd\profiler\util\TimeUtil.java,10,1,32,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,0,2,2,0,2,1.0,0.6,15,14,2,0,0.6,15,0,0,0,0,0,10,23,0,0,0,0,2,0,1,0,2,4,0,1,0,10,23,0,0,0,0,2,0,1,0,2,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
