ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L135,ApplicationTest,me.tatarka.support.job.ApplicationTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\me\tatarka\support\job\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L301,JobInfo,me.tatarka.support.job.JobInfo,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\jobscheduler\src\main\java\me\tatarka\support\job\JobInfo.java,32,1,494,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,26,2,13,25,2,22,0.842105,0.438298,103,101,16,3,0.476852,206,0,0,0,0,0,132,257,24,9,24,9,20,9,18,0,20,62,9,18,0,226,463,40,9,40,9,33,9,31,9,33,100,9,31,9,0,0,42,0,9,0,0,1,2,1,0,3,20,0,4,0,0,1,0,0,19
L387,JobParameters,me.tatarka.support.job.JobParameters,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\jobscheduler\src\main\java\me\tatarka\support\job\JobParameters.java,13,1,90,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,9,1,9,11,2,10,0.75,0.3125,20,20,6,2,0.277778,20,0,0,0,0,0,44,69,5,3,5,3,8,1,7,0,8,17,1,7,0,52,78,5,3,5,3,10,1,9,0,10,19,1,9,0,0,0,22,0,1,0,0,0,2,0,0,1,16,0,0,0,0,0,0,0,4
L355,JobScheduler,me.tatarka.support.job.JobScheduler,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\jobscheduler\src\main\java\me\tatarka\support\job\JobScheduler.java,14,1,69,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,6,3,4,2,2,7,1.0,0.716981,38,38,6,0,0.716981,38,0,0,2,2,0,15,56,2,2,2,2,5,2,5,0,5,3,2,5,0,15,56,2,2,2,2,5,2,5,0,5,3,2,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
L404,JobService,me.tatarka.support.job.JobService,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\jobscheduler\src\main\java\me\tatarka\support\job\JobService.java,26,1,234,2,0.289157,1,8,2,0.143541,0.258621,30,30,2,1,1,7,3,3,3,3,8,1.0,0.752212,85,85,5,0,0.439614,91,0,0,1,1,0,28,117,7,0,7,0,5,0,4,0,5,8,0,4,0,116,209,8,1,7,0,11,0,7,0,15,53,0,9,0,0,0,42,4,6,0,21,3,2,0,0,7,18,0,0,0,0,0,0,0,1
L768,IJobServiceCompat,me.tatarka.support.internal.IJobServiceCompat,L847,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\jobscheduler\src\main\java\me\tatarka\support\internal\IJobServiceCompat.java,17,1,99,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,10,2,5,9,2,8,0.2,0.0526316,2,2,1,4,0.0266667,2,0,0,1,1,0,36,42,1,1,1,1,6,0,4,0,6,13,0,4,0,73,83,1,1,1,1,13,0,11,0,13,26,0,11,0,0,2,42,3,4,0,0,4,4,0,0,3,38,0,2,0,0,0,0,0,0
L911,IoThread,me.tatarka.support.internal.IoThread,L847,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\jobscheduler\src\main\java\me\tatarka\support\internal\IoThread.java,29,1,58,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,5,0,1,1,0,4,0.333333,0.212121,7,7,1,2,0.212121,7,0,0,0,0,0,26,30,2,1,2,1,4,0,2,0,4,11,0,2,0,26,30,2,1,2,1,4,0,2,0,4,11,0,2,0,0,1,11,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0
L1622,JobSchedulerCompat,me.tatarka.support.internal.JobSchedulerCompat,L847,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\jobscheduler\src\main\java\me\tatarka\support\internal\JobSchedulerCompat.java,18,1,82,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,14,6,1,1,10,17,0.166667,0.0178571,1,1,1,5,0.0178571,1,1,1,0,0,1,55,65,5,3,3,2,7,0,5,0,8,28,2,6,0,55,65,5,3,3,2,7,0,5,0,8,28,2,6,0,0,0,19,0,14,0,0,4,0,0,0,5,17,0,0,0,5,0,0,0,2
L1676,JobSchedulerLollipopDelegate,me.tatarka.support.internal.JobSchedulerLollipopDelegate,L847,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\jobscheduler\src\main\java\me\tatarka\support\internal\JobSchedulerLollipopDelegate.java,15,1,111,2,0.513238,1,10,2,0.453608,0.441558,44,34,1,1,1,22,4,1,1,26,34,0.166667,0.0128205,1,1,1,5,0.0128205,1,1,1,0,0,1,77,97,5,3,3,2,8,0,5,0,9,43,2,6,0,77,97,5,3,3,2,8,0,5,0,9,43,2,6,0,0,0,42,2,6,1,19,2,0,0,2,4,19,0,0,0,1,0,0,0,2
L495,PersistableBundle,me.tatarka.support.os.PersistableBundle,L3342,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\jobscheduler\src\main\java\me\tatarka\support\os\PersistableBundle.java,22,1,500,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,53,4,11,45,38,85,0.822222,0.571429,236,236,37,8,0.553241,239,1,1,0,0,1,177,462,4,14,4,14,47,2,44,0,47,63,2,44,0,193,479,4,14,4,14,50,2,47,0,50,68,2,47,0,0,1,48,0,8,4,0,1,2,0,1,1,35,0,3,0,0,0,0,0,10
