ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L133,ExampleInstrumentedTest,com.fashare.timerview.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\fashare\timerview\ExampleInstrumentedTest.java,17,1,26,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L266,MainActivity,com.fashare.timerview.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\fashare\timerview\MainActivity.java,16,1,109,2,0,0,0,0,0,0,0,0,2,0,0,7,4,1,0,6,13,0.5,0.0410959,3,3,1,1,0.0365854,3,0,0,0,0,0,70,84,4,0,4,0,7,0,1,0,7,22,0,1,0,79,94,4,0,4,0,9,0,3,0,9,26,0,3,0,0,0,24,0,4,1,0,2,2,0,0,0,22,1,0,0,0,0,0,0,0
L371,ExampleUnitTest,com.fashare.timerview.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\fashare\timerview\ExampleUnitTest.java,12,1,17,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L400,ExampleInstrumentedTest,com.fashare.timer_view.ExampleInstrumentedTest,L375,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\timer_view\src\androidTest\java\com\fashare\timer_view\ExampleInstrumentedTest.java,17,1,26,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L162,BaseTimerView,com.fashare.timer_view.BaseTimerView,L375,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\timer_view\src\main\java\com\fashare\timer_view\BaseTimerView.java,15,1,79,2,0,0,0,0,0,0,0,0,3,1,1,13,3,4,18,5,17,0.166667,0.20339,12,12,2,10,0.20339,12,1,2,3,3,2,47,65,2,0,2,0,12,0,11,3,12,15,0,11,3,47,65,2,0,2,0,12,0,11,3,12,15,0,11,3,0,3,27,1,2,0,0,2,1,0,0,0,25,1,3,1,0,0,0,0,0
L281,DigitalTimerView,com.fashare.timer_view.DigitalTimerView,L375,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\timer_view\src\main\java\com\fashare\timer_view\DigitalTimerView.java,25,1,225,2,0,0,0,0,0,0,0,0,1,3,3,17,7,3,3,18,27,0.375,0.228571,24,22,3,5,0.227778,41,2,3,0,0,1,81,119,8,0,6,0,9,1,7,3,20,40,1,17,6,139,201,13,0,11,0,21,1,19,3,38,56,1,35,6,0,0,55,0,14,0,0,12,0,0,0,0,49,0,0,0,0,2,0,0,6
L308,TextViewUpdater,com.fashare.timer_view.TextViewUpdater,L375,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\timer_view\src\main\java\com\fashare\timer_view\TextViewUpdater.java,13,1,35,2,0,0,0,0,0,0,0,0,1,1,1,7,2,1,2,0,3,0.25,0.24,6,6,1,3,0.24,6,1,1,0,0,1,19,23,2,0,2,0,3,0,3,0,3,8,0,3,0,19,23,2,0,2,0,3,0,3,0,3,8,0,3,0,0,0,9,0,6,1,0,3,0,0,0,2,9,0,0,0,0,0,0,0,0
L208,TimeInfo,com.fashare.timer_view.TimeInfo,L375,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\timer_view\src\main\java\com\fashare\timer_view\TimeInfo.java,7,1,78,2,0,0,0,0,0,0,0,0,1,1,1,13,0,3,3,0,11,0.181818,0.145161,9,9,2,9,0.145161,9,0,0,0,0,0,53,72,6,6,6,6,11,3,10,0,11,21,3,10,0,53,72,6,6,6,6,11,3,10,0,11,21,3,10,0,0,0,29,1,4,1,0,2,0,0,0,0,23,0,0,0,0,2,0,0,6
L736,ExampleUnitTest,com.fashare.timer_view.ExampleUnitTest,L375,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\timer_view\src\test\java\com\fashare\timer_view\ExampleUnitTest.java,12,1,17,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L242,ClockView,com.yus.clockview.ClockView,L741,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\yus\clockview\ClockView.java,14,1,152,2,0,0,0,0,0,0,0,0,2,1,1,7,0,1,2,0,6,0.2,0.284615,37,13,1,4,0.284615,37,0,0,0,0,0,93,139,13,0,13,0,6,0,4,0,6,67,0,4,0,93,139,13,0,13,0,6,0,4,0,6,67,0,4,0,0,0,14,3,6,1,0,4,1,0,0,3,11,0,0,0,0,1,0,0,2
