ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L124,Slidr,com.github.florent37.androidslidr.Slidr,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-slidr\src\main\java\com\github\florent37\androidslidr\Slidr.java,53,1,1299,2,0.0604814,3,11,3,0.0513232,0.0545455,64,54,2,6,6,139,9,20,22,12,64,0.0909091,0.0396175,29,19,2,20,0.0313112,32,0,0,0,0,0,703,906,32,4,32,4,52,0,21,11,52,434,0,21,11,990,1247,73,7,73,7,94,0,60,22,94,557,0,60,22,0,0,306,6,40,7,23,6,3,9,0,18,244,3,2,0,0,10,0,0,27
L1078,Sushi,com.github.florent37.androidslidr.Sushi,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-slidr\src\main\java\com\github\florent37\androidslidr\Sushi.java,22,1,532,2,0.147664,3,11,3,0.125245,0.141361,64,54,2,4,3,44,4,2,7,6,35,0.153846,0.0395683,11,5,2,11,0.0279898,11,0,0,0,0,0,267,369,16,3,16,3,29,0,12,5,29,165,0,12,5,382,511,33,6,33,6,45,0,26,11,45,220,0,26,11,0,0,144,2,16,5,23,0,1,0,0,9,106,0,0,0,0,4,0,0,14
L1319,EditActivity,com.github.florent37.slidr.EditActivity,L1306,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\github\florent37\slidr\EditActivity.java,13,1,35,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,3,0,0,3,4,1.0,0.1875,3,3,1,0,0.136364,3,0,0,0,0,0,13,15,0,0,0,0,1,0,0,0,1,6,0,0,0,19,23,0,0,0,0,3,0,2,0,3,6,0,2,0,0,0,14,0,2,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0
L1341,MainActivity,com.github.florent37.slidr.MainActivity,L1306,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\github\florent37\slidr\MainActivity.java,12,1,73,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,4,4,0,0,8,9,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,40,46,0,0,0,0,1,0,0,0,1,25,0,0,0,55,62,0,0,0,0,5,0,4,0,5,28,0,4,0,0,0,25,0,1,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0
L1379,MainApplication,com.github.florent37.slidr.MainApplication,L1306,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\github\florent37\slidr\MainApplication.java,11,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.3,3,3,1,1,0.3,3,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L1390,NonEditActivity,com.github.florent37.slidr.NonEditActivity,L1306,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\github\florent37\slidr\NonEditActivity.java,13,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,5,6,1.0,0.2,3,3,1,0,0.2,3,0,0,0,0,0,12,14,0,0,0,0,1,0,0,0,1,7,0,0,0,12,14,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
L166,Slidr$Step,com.github.florent37.androidslidr.Slidr$Step,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-slidr\src\main\java\com\github\florent37\androidslidr\Slidr.java,1037,5,1060,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,0,2,1,0,3,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,20,24,5,0,5,0,3,0,3,0,3,6,0,3,0,20,24,5,0,5,0,3,0,3,0,3,6,0,3,0,0,0,9,0,1,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0
L154,Slidr$Settings,com.github.florent37.androidslidr.Slidr$Settings,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-slidr\src\main\java\com\github\florent37\androidslidr\Slidr.java,1062,5,1226,6,0.0777202,1,1,1,0.0606061,0.0661765,10,9,1,1,1,15,1,1,1,1,15,0.0,0.0,0,0,0,12,0.0,0,0,0,0,0,0,136,165,30,0,30,0,14,0,11,10,14,75,0,11,10,136,165,30,0,30,0,14,0,11,10,14,75,0,11,10,0,0,44,0,17,0,7,0,0,0,0,13,31,0,0,0,0,4,0,0,6
L215,Slidr$TouchView,com.github.florent37.androidslidr.Slidr$TouchView,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-slidr\src\main\java\com\github\florent37\androidslidr\Slidr.java,1228,5,1266,6,0.0,0,0,0,0.0,0.0,0,0,1,3,2,9,1,3,2,1,4,0.0,0.0666667,2,0,0,4,0.0606061,2,0,0,0,0,0,28,36,2,0,2,0,3,0,3,1,3,12,0,3,1,31,39,2,0,2,0,4,0,4,1,4,12,0,4,1,0,0,14,0,1,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0
L188,Slidr$Bubble,com.github.florent37.androidslidr.Slidr$Bubble,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-slidr\src\main\java\com\github\florent37\androidslidr\Slidr.java,1268,5,1290,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,7,1,1,3,1,5,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,19,23,4,3,4,3,4,0,4,0,4,4,0,4,0,19,23,4,3,4,3,4,0,4,0,4,4,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
L195,Slidr$EurosTextFormatter,com.github.florent37.androidslidr.Slidr$EurosTextFormatter,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-slidr\src\main\java\com\github\florent37\androidslidr\Slidr.java,1292,5,1298,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L1085,Sushi$Settings,com.github.florent37.androidslidr.Sushi$Settings,L1078,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-slidr\src\main\java\com\github\florent37\androidslidr\Sushi.java,394,5,499,6,0.132743,1,1,1,0.0943396,0.107143,10,9,1,1,1,10,1,2,2,2,11,0.0,0.0,0,0,0,8,0.0,0,0,0,0,0,0,84,106,13,0,13,0,9,0,7,6,9,50,0,7,6,84,106,13,0,13,0,9,0,7,6,9,50,0,7,6,0,0,31,0,7,0,7,0,0,0,0,7,21,0,0,0,0,0,0,0,3
L1096,Sushi$Bubble,com.github.florent37.androidslidr.Sushi$Bubble,L1078,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\android-slidr\src\main\java\com\github\florent37\androidslidr\Sushi.java,501,5,523,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,7,0,1,2,0,4,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,19,23,4,3,4,3,4,0,4,0,4,4,0,4,0,19,23,4,3,4,3,4,0,4,0,4,4,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
