ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L135,ExampleInstrumentedTest,com.franktan.memoryleakexamples.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\franktan\memoryleakexamples\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L158,LeakActivityOrNot,com.franktan.memoryleakexamples.LeakActivityOrNot,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\franktan\memoryleakexamples\LeakActivityOrNot.java,7,1,21,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0.0,0.25,3,0,0,1,0.25,3,0,0,0,0,0,9,15,0,0,0,0,1,0,0,0,1,4,0,0,0,9,15,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L173,MainActivity,com.franktan.memoryleakexamples.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\franktan\memoryleakexamples\MainActivity.java,19,1,113,2,0.874408,3,9,9,0.842105,0.847059,80,72,1,1,1,2,0,0,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,40,50,0,0,0,0,1,0,0,0,1,25,0,0,0,85,95,0,0,0,0,10,0,9,0,10,43,0,9,0,0,0,152,0,0,0,102,0,0,0,0,0,50,0,0,0,0,0,0,0,0
L264,MemoryLeakApplication,com.franktan.memoryleakexamples.MemoryLeakApplication,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\franktan\memoryleakexamples\MemoryLeakApplication.java,11,1,23,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,0,0,0,0,1,0.5,0.333333,5,3,1,1,0.333333,5,0,0,0,0,0,10,13,0,0,0,0,1,0,1,0,1,4,0,1,0,10,13,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L425,ExampleUnitTest,com.franktan.memoryleakexamples.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\franktan\memoryleakexamples\ExampleUnitTest.java,12,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L253,LeakActivityToAsyncTaskActivity,com.franktan.memoryleakexamples.vialongrunningtask.LeakActivityToAsyncTaskActivity,L275,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\franktan\memoryleakexamples\vialongrunningtask\LeakActivityToAsyncTaskActivity.java,10,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,9,11,0,0,0,0,1,0,0,0,1,3,0,0,0,15,17,0,0,0,0,2,0,0,0,2,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
L245,LeakActivityToHandlerActivity,com.franktan.memoryleakexamples.vialongrunningtask.LeakActivityToHandlerActivity,L275,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\franktan\memoryleakexamples\vialongrunningtask\LeakActivityToHandlerActivity.java,11,1,33,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0.0,0.0833333,1,0,0,1,0.05,1,0,0,0,0,0,11,15,1,0,1,0,1,0,0,0,1,3,0,0,0,19,23,1,0,1,0,3,0,2,0,3,5,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
L237,LeakActivityToThreadActivity,com.franktan.memoryleakexamples.vialongrunningtask.LeakActivityToThreadActivity,L275,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\franktan\memoryleakexamples\vialongrunningtask\LeakActivityToThreadActivity.java,9,1,29,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,1,0,0,1,0.0,0.0,0,0,0,1,0.111111,2,0,0,0,0,0,8,13,0,0,0,0,1,0,0,0,1,3,0,0,0,16,21,0,0,0,0,2,0,1,0,2,5,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
L261,LeakThreadsActivity,com.franktan.memoryleakexamples.vialongrunningtask.LeakThreadsActivity,L275,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\franktan\memoryleakexamples\vialongrunningtask\LeakThreadsActivity.java,9,1,43,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,1,0,0,2,0.0,0.125,2,0,0,1,0.0689655,2,0,0,0,0,0,14,20,1,0,1,0,2,0,0,0,2,5,0,0,0,27,35,2,0,2,0,4,0,2,0,4,9,0,2,0,0,0,13,1,2,0,0,0,1,0,0,2,12,0,0,0,0,1,0,0,0
L221,LeakActivityToSingletonActivity,com.franktan.memoryleakexamples.viastaticreference.LeakActivityToSingletonActivity,L370,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\franktan\memoryleakexamples\viastaticreference\LeakActivityToSingletonActivity.java,14,1,33,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,1,0,0,2,1.0,0.3,6,3,1,0,0.3,6,0,0,0,0,0,14,20,1,0,1,0,2,0,0,0,2,5,0,0,0,14,20,1,0,1,0,2,0,0,0,2,5,0,0,0,0,0,3,0,2,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0
L229,LeakActivityToStaticInnerClassActivity,com.franktan.memoryleakexamples.viastaticreference.LeakActivityToStaticInnerClassActivity,L370,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\franktan\memoryleakexamples\viastaticreference\LeakActivityToStaticInnerClassActivity.java,8,1,24,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,1,1,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,11,15,1,0,1,0,1,0,0,0,1,4,0,0,0,13,17,1,0,1,0,1,0,0,0,1,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
L213,LeakActivityToStaticVariableActivity,com.franktan.memoryleakexamples.viastaticreference.LeakActivityToStaticVariableActivity,L370,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\franktan\memoryleakexamples\viastaticreference\LeakActivityToStaticVariableActivity.java,10,1,25,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,0,1,0,0,1,0.0,0.142857,2,2,0,1,0.142857,2,0,0,0,0,0,12,16,1,0,1,0,1,0,0,0,1,5,0,0,0,12,16,1,0,1,0,1,0,0,0,1,5,0,0,0,0,0,5,1,2,1,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0
L205,LeakActivityToStaticViewActivity,com.franktan.memoryleakexamples.viastaticreference.LeakActivityToStaticViewActivity,L370,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\franktan\memoryleakexamples\viastaticreference\LeakActivityToStaticViewActivity.java,9,1,23,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0.0,0.0909091,1,1,0,1,0.0909091,1,0,0,0,0,0,10,15,1,0,1,0,1,0,0,0,1,4,0,0,0,10,15,1,0,1,0,1,0,0,0,1,4,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
L380,SomeSingletonManager,com.franktan.memoryleakexamples.viastaticreference.SomeSingletonManager,L370,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\franktan\memoryleakexamples\viastaticreference\SomeSingletonManager.java,9,1,30,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,5,0,1,0,0,3,0.333333,0.142857,3,3,1,2,0.142857,3,0,0,0,0,0,18,22,2,1,2,1,3,0,2,0,3,6,0,2,0,18,22,2,1,2,1,3,0,2,0,3,6,0,2,0,0,0,9,0,2,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0
L190,MainActivity$1,com.franktan.memoryleakexamples.MainActivity$1,L175,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\franktan\memoryleakexamples\MainActivity.java,33,86,39,10,1.0,3,3,3,1.0,1.0,7,7,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
