ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L390,FragmentUtils,pub.devrel.easygoogle.FragmentUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\easygoogle\src\main\java\pub\devrel\easygoogle\FragmentUtils.java,27,1,70,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,3,0,1,1,0,1,1.0,0.421053,16,12,2,0,0.421053,16,0,0,0,0,0,22,44,1,1,1,1,1,0,1,0,1,14,0,1,0,22,44,1,1,1,1,1,0,1,0,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L160,Google,pub.devrel.easygoogle.Google,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\easygoogle\src\main\java\pub\devrel\easygoogle\Google.java,35,1,223,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,11,7,4,8,5,11,1.0,0.417722,33,32,6,0,0.390244,64,0,0,0,0,0,46,89,5,5,5,5,6,0,5,0,6,22,0,5,0,100,189,12,5,12,5,13,0,12,0,13,48,0,12,0,0,0,10,0,3,0,0,0,0,0,1,3,7,0,0,0,0,0,0,0,2
L134,MainActivity,pub.devrel.easygoogle.sample.MainActivity,L122,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\pub\devrel\easygoogle\sample\MainActivity.java,40,1,200,2,0.0,0,0,0,0.0,0.0,0,0,8,2,2,20,10,1,0,12,25,0.0769231,0.126761,18,5,1,12,0.126761,18,1,4,0,0,4,124,161,5,0,5,0,13,1,12,0,13,52,1,12,0,124,161,5,0,5,0,13,1,12,0,13,52,1,12,0,0,0,35,1,0,1,0,0,1,0,0,0,29,0,0,1,0,0,0,0,4
L272,MainFragmentActivity,pub.devrel.easygoogle.sample.MainFragmentActivity,L122,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\pub\devrel\easygoogle\sample\MainFragmentActivity.java,17,1,110,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,5,0,0,3,6,0.333333,0.107143,3,3,1,2,0.105263,8,1,1,0,0,1,25,37,2,0,2,0,3,0,2,0,3,7,0,2,0,68,94,4,0,4,0,10,0,8,0,10,23,0,8,0,0,0,26,0,2,0,0,1,0,0,0,0,26,1,0,0,0,0,0,0,0
L334,MessagingService,pub.devrel.easygoogle.sample.MessagingService,L122,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\pub\devrel\easygoogle\sample\MessagingService.java,16,1,55,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,2,0,0,3,5,0.333333,0.25,9,3,1,2,0.25,9,1,1,0,0,1,27,40,6,0,1,0,2,1,2,0,7,10,5,7,0,27,40,6,0,1,0,2,1,2,0,7,10,5,7,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
L266,AppInvites,pub.devrel.easygoogle.gac.AppInvites,L428,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\easygoogle\src\main\java\pub\devrel\easygoogle\gac\AppInvites.java,44,1,210,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,17,3,4,2,11,21,0.25,0.236842,27,16,2,6,0.324138,47,1,1,0,0,1,87,137,6,5,4,2,10,0,7,0,21,37,0,16,2,98,167,6,5,4,2,14,0,11,0,25,39,0,20,2,0,0,25,0,6,1,0,4,1,0,0,1,24,0,0,0,0,0,0,0,0
L557,AppInvitesReferralReceiver,pub.devrel.easygoogle.gac.AppInvitesReferralReceiver,L428,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\easygoogle\src\main\java\pub\devrel\easygoogle\gac\AppInvitesReferralReceiver.java,33,1,47,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,0,0,0,0,2,0.333333,0.470588,8,6,1,2,0.470588,8,0,0,0,0,0,9,15,0,0,0,0,2,0,2,0,2,2,0,2,0,9,15,0,0,0,0,2,0,2,0,2,2,0,2,0,0,0,3,0,2,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0
L567,GacFragment,pub.devrel.easygoogle.gac.GacFragment,L428,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\easygoogle\src\main\java\pub\devrel\easygoogle\gac\GacFragment.java,41,1,322,2,0.0833333,1,6,2,0.0780142,0.102564,22,20,1,3,3,46,1,7,17,11,31,0.277778,0.194093,46,39,5,13,0.190871,46,0,0,0,0,0,191,278,9,3,9,3,20,0,17,3,20,94,0,17,3,195,282,9,3,9,3,21,0,18,3,21,95,0,18,3,0,0,55,2,5,2,14,2,0,0,0,1,38,0,0,0,0,2,0,0,3
L438,GacModule<T extends Object>,pub.devrel.easygoogle.gac.GacModule,L428,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\easygoogle\src\main\java\pub\devrel\easygoogle\gac\GacModule.java,33,1,75,2,0.0,0,0,0,0.0,0.0,0,0,5,0,0,14,1,8,33,0,14,0.0769231,0.151515,5,5,1,12,0.151515,5,0,0,3,3,0,28,43,2,5,2,5,14,0,12,2,14,5,0,12,2,28,43,2,5,2,5,14,0,12,2,14,5,0,12,2,0,0,32,6,7,0,0,7,1,0,0,0,31,6,0,0,0,0,0,0,0
L260,SignIn,pub.devrel.easygoogle.gac.SignIn,L428,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\easygoogle\src\main\java\pub\devrel\easygoogle\gac\SignIn.java,51,1,235,2,0.0,0,0,0,0.0,0.0,0,0,4,3,3,20,3,6,4,10,22,0.461538,0.320611,42,37,6,7,0.333333,57,1,1,0,0,1,89,145,4,7,2,4,12,1,12,0,23,39,1,21,2,114,185,4,7,2,4,18,1,18,0,29,46,1,27,2,0,0,36,0,5,0,0,3,1,0,0,0,31,2,0,0,0,0,0,0,4
