ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L134,AutoTransition,android.support.transition.AutoTransition,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\android\support\transition\AutoTransition.java,27,1,41,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,3,1,1,4,5,1.0,0.636364,14,14,2,0,0.636364,14,2,2,0,0,1,8,15,32,10,0,0,1,0,1,0,74,2,2,49,11,8,15,32,10,0,0,1,0,1,0,74,2,2,49,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
L156,ChangeBounds,android.support.transition.ChangeBounds,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\android\support\transition\ChangeBounds.java,43,1,322,2,0.0474834,1,4,2,0.232143,0.0416667,65,8,1,4,4,48,4,2,0,1,8,0.285714,0.315385,82,18,2,5,0.300725,83,1,1,0,0,1,178,264,36,10,10,1,7,0,6,2,54,122,0,35,7,193,280,36,10,10,1,9,0,8,2,56,126,0,37,7,0,0,40,5,20,4,7,18,0,3,0,0,21,0,1,0,0,2,0,0,9
L383,ChangeText,android.support.transition.ChangeText,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\android\support\transition\ChangeText.java,40,1,311,2,0.0,0,0,0,0.0,0.0,0,0,1,4,3,38,4,3,4,1,9,0.428571,0.295,59,57,3,4,0.236842,63,1,1,0,0,1,141,204,37,11,11,2,8,4,6,2,55,70,4,35,7,203,272,38,11,12,2,15,4,13,2,67,97,4,47,7,0,0,57,1,3,3,0,0,0,1,0,0,46,0,0,0,0,1,0,0,10
L536,Crossfade,android.support.transition.Crossfade,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\android\support\transition\Crossfade.java,47,1,311,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,33,3,1,0,0,8,0.625,0.409283,97,85,5,3,0.383721,99,1,1,0,0,1,140,244,38,11,12,2,8,5,7,2,55,73,5,36,7,159,265,38,11,12,2,10,5,9,2,57,79,5,38,7,0,0,29,2,0,0,0,0,0,1,0,0,19,0,2,0,0,0,0,0,9
L149,Fade,android.support.transition.Fade,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\android\support\transition\Fade.java,58,1,345,2,0.0,0,0,0,0.0,0.0,0,0,1,6,4,33,6,2,2,3,10,0.5,0.353774,75,54,3,3,0.320819,94,2,2,0,0,1,137,196,36,11,7,0,7,2,5,0,63,80,2,41,5,199,288,40,11,11,0,16,2,14,0,77,106,2,55,5,0,0,49,0,2,0,0,0,1,5,0,0,32,0,0,0,0,2,0,0,11
L747,Recolor,android.support.transition.Recolor,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\android\support\transition\Recolor.java,39,1,95,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,12,2,1,0,0,4,0.25,0.174603,11,11,1,3,0.174603,11,1,1,0,0,1,52,57,28,9,2,0,4,0,3,0,51,27,0,32,5,52,57,28,9,2,0,4,0,3,0,51,27,0,32,5,0,0,13,1,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2
L782,Rotate,android.support.transition.Rotate,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\android\support\transition\Rotate.java,30,1,60,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,6,2,0,0,0,3,0.25,0.181818,6,6,1,3,0.181818,6,1,1,0,0,1,27,31,27,9,1,0,3,0,3,0,50,11,0,32,5,27,31,27,9,1,0,3,0,3,0,50,11,0,32,5,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2
L804,Scene,android.support.transition.Scene,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\android\support\transition\Scene.java,32,1,261,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,20,0,3,6,0,12,1.0,0.660634,146,141,9,0,0.660634,146,0,0,0,0,0,75,230,7,3,7,3,12,0,8,3,12,34,0,8,3,75,230,7,3,7,3,12,0,8,3,12,34,0,8,3,0,0,1,0,8,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1
L906,Slide,android.support.transition.Slide,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\android\support\transition\Slide.java,34,1,65,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,4,2,1,0,0,2,0.333333,0.235294,8,8,1,2,0.235294,8,2,2,0,0,1,26,32,31,11,2,0,2,0,2,0,58,10,0,38,5,26,32,31,11,2,0,2,0,2,0,58,10,0,38,5,0,0,10,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,2
L164,Transition,android.support.transition.Transition,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\android\support\transition\Transition.java,89,1,1678,2,0.118316,4,32,8,0.0597484,0.108772,95,93,1,9,9,245,7,20,36,19,68,0.9375,0.443816,628,608,30,2,0.454023,711,0,0,7,10,0,787,1455,26,9,26,9,49,0,31,5,49,519,0,31,5,855,1590,29,9,29,9,65,0,44,5,65,537,0,44,5,0,0,124,54,81,51,34,48,3,18,1,5,50,6,2,0,0,23,0,0,18
