ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L161,TabbyApplication,com.hitherejoe.tabby.TabbyApplication,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\hitherejoe\tabby\TabbyApplication.java,12,1,38,2,0,0,0,0,0,0,0,0,2,1,1,5,2,0,0,1,5,0.2,0.047619,1,1,1,4,0.047619,1,0,0,0,0,0,20,27,1,1,1,1,4,0,4,1,4,7,0,4,1,20,27,1,1,1,1,4,0,4,1,4,7,0,4,1,0,0,10,0,2,0,0,2,1,0,0,0,9,0,0,0,0,0,0,0,0
L248,CustomTabActivityHelper,com.hitherejoe.tabby.util.CustomTabActivityHelper,L408,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\hitherejoe\tabby\util\CustomTabActivityHelper.java,14,1,144,2,0,0,0,0,0,0,0,0,2,2,2,15,3,4,2,2,8,0.714286,0.346154,27,25,5,2,0.396552,46,0,0,0,0,0,51,98,4,1,4,1,6,0,6,1,6,30,0,6,1,70,131,4,1,4,1,11,0,11,1,11,38,0,11,1,0,0,13,0,7,0,0,7,2,0,0,0,11,0,0,0,0,0,0,0,0
L475,CustomTabsHelper,com.hitherejoe.tabby.util.CustomTabsHelper,L408,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\hitherejoe\tabby\util\CustomTabsHelper.java,19,1,127,2,0,0,0,0,0,0,0,0,2,7,3,26,1,1,2,0,5,0.75,0.242718,25,21,3,1,0.242718,25,0,0,0,0,0,78,109,7,2,7,2,5,0,3,0,5,50,0,3,0,78,109,7,2,7,2,5,0,3,0,5,50,0,3,0,0,0,14,3,8,1,0,8,1,3,0,1,9,0,1,0,0,0,0,0,1
L585,ImageUtils,com.hitherejoe.tabby.util.ImageUtils,L408,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\hitherejoe\tabby\util\ImageUtils.java,10,1,27,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,8,0,0,0,0,1,0,1,0,1,1,0,1,0,16,18,0,0,0,0,2,0,2,0,2,6,0,2,0,0,1,10,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
L496,KeepAliveService,com.hitherejoe.tabby.util.KeepAliveService,L408,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\hitherejoe\tabby\util\KeepAliveService.java,11,1,18,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.5,0.3,3,3,1,1,0.3,3,0,0,0,0,0,7,8,1,0,1,0,1,0,1,0,1,1,0,1,0,7,8,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L619,SnackbarFactory,com.hitherejoe.tabby.util.SnackbarFactory,L408,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\hitherejoe\tabby\util\SnackbarFactory.java,10,1,18,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,9,0,0,0,0,1,0,1,0,1,4,0,1,0,8,9,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L129,ApplicationModule,com.hitherejoe.tabby.injection.module.ApplicationModule,L144,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\hitherejoe\tabby\injection\module\ApplicationModule.java,14,1,28,2,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,2,0.5,0.25,4,4,1,1,0.25,4,0,0,0,0,0,12,15,1,0,1,0,2,0,1,0,2,2,0,1,0,12,15,1,0,1,0,2,0,1,0,2,2,0,1,0,0,0,5,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
L198,BaseActivity,com.hitherejoe.tabby.ui.activity.BaseActivity,L191,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\hitherejoe\tabby\ui\activity\BaseActivity.java,10,1,32,2,0,0,0,0,0,0,0,0,2,2,2,4,1,2,1,0,2,0.0,0.0,0,0,0,2,0.0,0,0,0,2,2,0,20,23,0,0,0,0,2,0,1,0,2,7,0,1,0,20,23,0,0,0,0,2,0,1,0,2,7,0,1,0,0,0,8,0,1,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0
L137,MainActivity,com.hitherejoe.tabby.ui.activity.MainActivity,L191,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\hitherejoe\tabby\ui\activity\MainActivity.java,27,1,200,2,0,0,0,0,0,0,0,0,1,1,1,20,5,3,0,4,16,0.0,0.00847458,1,1,0,3,0.00714286,1,1,1,0,0,1,117,149,14,0,14,0,12,0,2,0,14,51,0,3,0,139,174,14,0,14,0,17,0,7,0,19,58,0,8,0,0,0,47,0,11,0,0,9,2,0,0,1,43,1,0,0,0,0,0,0,2
L357,WebViewActivity,com.hitherejoe.tabby.ui.activity.WebViewActivity,L191,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\hitherejoe\tabby\ui\activity\WebViewActivity.java,14,1,40,2,0,0,0,0,0,0,0,0,1,1,1,3,1,1,0,0,2,0.0,0.0,0,0,0,1,0.0,0,1,1,0,0,1,23,27,2,0,2,0,2,1,0,0,4,13,1,1,0,23,27,2,0,2,0,2,1,0,0,4,13,1,1,0,0,0,11,0,2,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,4
