ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L134,ApplicationTest,devliving.online.securedpreferencestoresample.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\devliving\online\securedpreferencestoresample\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L148,FileDemoActivity,devliving.online.securedpreferencestoresample.FileDemoActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\devliving\online\securedpreferencestoresample\FileDemoActivity.java,33,1,196,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,28,2,0,0,4,14,0.0,0.030303,4,0,0,3,0.030303,4,0,0,0,0,0,128,164,10,1,10,1,10,0,2,0,10,73,0,2,0,128,164,10,1,10,1,10,0,2,0,10,73,0,2,0,0,1,25,5,21,6,0,14,0,0,0,3,23,0,0,0,0,4,0,0,2
L342,MainActivity,devliving.online.securedpreferencestoresample.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\devliving\online\securedpreferencestoresample\MainActivity.java,19,1,133,2,0.163934,1,4,2,0.191304,0.252874,22,22,1,1,1,11,3,2,2,10,14,0.0,0.0724638,5,0,0,1,0.0543478,5,0,0,0,0,0,64,92,14,0,14,0,4,0,0,0,4,42,0,0,0,87,115,14,0,14,0,7,0,2,0,11,52,0,2,0,0,0,60,5,8,4,32,5,0,0,0,4,26,0,0,0,0,0,0,0,2
L476,ExampleUnitTest,devliving.online.securedpreferencestoresample.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\devliving\online\securedpreferencestoresample\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L505,ApplicationTest,devliving.online.securedpreferencestore.ApplicationTest,L480,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\securedpreferencestore\src\androidTest\java\devliving\online\securedpreferencestore\ApplicationTest.java,26,1,44,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.761905,16,3,1,1,0.761905,16,0,0,0,0,0,5,19,0,0,0,0,1,0,1,0,1,1,0,1,0,5,19,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L379,DefaultRecoveryHandler,devliving.online.securedpreferencestore.DefaultRecoveryHandler,L480,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\securedpreferencestore\src\main\java\devliving\online\securedpreferencestore\DefaultRecoveryHandler.java,13,1,28,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,2,2,1,3,4,1.0,0.176471,3,3,1,0,0.176471,3,1,1,1,1,1,14,16,0,0,0,0,1,0,0,0,4,7,0,0,0,14,16,0,0,0,0,1,0,0,0,4,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
L527,EncryptionManager,devliving.online.securedpreferencestore.EncryptionManager,L480,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\securedpreferencestore\src\main\java\devliving\online\securedpreferencestore\EncryptionManager.java,60,1,1001,2,0.0380474,1,8,2,0.0318471,0.0463458,30,26,1,2,2,124,3,4,13,4,48,0.785714,0.299458,221,215,11,3,0.28535,224,0,0,0,0,0,517,885,45,6,45,6,44,0,13,0,44,295,0,13,0,561,942,48,10,48,10,54,0,22,3,54,312,0,22,3,0,5,104,15,70,8,14,53,0,1,0,16,81,0,12,0,0,1,0,0,8
L1151,Logger,devliving.online.securedpreferencestore.Logger,L480,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\securedpreferencestore\src\main\java\devliving\online\securedpreferencestore\Logger.java,5,1,72,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,21,0,4,14,0,11,0.0,0.0,0,0,0,12,0.0,0,0,0,0,0,0,57,68,2,0,2,0,11,0,11,0,11,21,0,11,0,57,68,2,0,2,0,11,0,11,0,11,21,0,11,0,0,0,25,0,10,0,0,10,0,0,0,0,25,0,0,0,0,0,0,0,0
L509,RecoveryHandler,devliving.online.securedpreferencestore.RecoveryHandler,L480,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\securedpreferencestore\src\main\java\devliving\online\securedpreferencestore\RecoveryHandler.java,14,1,37,2,0.0,0,0,0,0.0,0.0,0,0,3,3,3,12,0,3,2,0,4,1.0,0.125,3,3,1,0,0.125,3,0,0,1,2,0,21,24,0,0,0,0,4,0,0,0,4,11,0,0,0,21,24,0,0,0,0,4,0,0,0,4,11,0,0,0,0,0,11,0,6,0,0,6,1,0,0,0,10,0,0,0,0,0,0,0,0
L433,SecuredPreferenceStore,devliving.online.securedpreferencestore.SecuredPreferenceStore,L480,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\securedpreferencestore\src\main\java\devliving\online\securedpreferencestore\SecuredPreferenceStore.java,34,1,594,2,0.0,0,0,0,0.0,0.0,0,0,2,4,4,48,7,5,9,10,30,0.166667,0.204444,46,44,3,15,0.136268,65,0,0,0,0,0,179,268,8,10,8,10,20,0,17,1,20,87,0,17,1,412,561,13,10,13,10,40,0,33,1,40,216,0,33,1,0,0,102,14,41,6,0,34,1,5,0,11,88,0,3,0,1,0,0,0,8
